# Figure 2: NSE Soliton Error Convergence
# Melchert & Demircan, Computer Physics Communications 273 (2022) 108257
# RMS error of numerical propagation vs exact soliton solution u(z,t)=sech(t)*exp(iz/2)
# Parameters: t_max=25.0 fs, M=4096, z_max=1.0
# Columns: dz (step size), rms_error for each method
dz,rms_error_SiSSM,rms_error_SySSM,rms_error_IFM-RK4IP,rms_error_LEM
1.25000000e-01,5.40280844e-03,6.36785987e-04,5.46459605e-06,1.53276264e-08
6.25000000e-02,2.60959674e-03,1.56369142e-04,3.61478054e-07,2.30532616e-08
3.12500000e-02,1.28563118e-03,3.86148865e-05,2.30532616e-08,1.45142213e-09
1.56250000e-02,6.38497673e-04,9.58608220e-06,1.45142213e-09,9.10382788e-11
7.81250000e-03,3.18228077e-04,2.38755872e-06,9.10382788e-11,6.53882368e-12
3.90625000e-03,1.58866141e-04,5.95737455e-07,6.53882368e-12,3.23453275e-12
1.95312500e-03,7.93720036e-05,1.48788325e-07,3.23453275e-12,3.21502900e-12
9.76562500e-04,3.96708484e-05,3.71787014e-08,3.21502900e-12,3.21492722e-12
4.88281250e-04,1.98316500e-05,9.29236814e-09,3.21492722e-12,3.21532842e-12
2.44140625e-04,9.91488322e-06,2.32280700e-09,3.21532842e-12,3.21582196e-12
1.22070312e-04,4.95720638e-06,5.80665843e-10,3.21582196e-12,3.22175507e-12
