time_ms,I_total_MA,I_re_MA,I_thermal_MA
0.00000000e+00,6.70000000e-01,6.70000000e-04,6.69330000e-01
1.40280561e-01,6.69994175e-01,6.70000000e-04,6.69324175e-01
2.80561122e-01,6.69988101e-01,6.70000000e-04,6.69318101e-01
4.20841683e-01,6.69981766e-01,6.70000000e-04,6.69311766e-01
5.61122244e-01,6.69975160e-01,6.70000000e-04,6.69305160e-01
7.01402806e-01,6.69968271e-01,6.70000000e-04,6.69298271e-01
8.41683367e-01,6.69961087e-01,6.70000000e-04,6.69291087e-01
9.81963928e-01,6.69953595e-01,6.70000000e-04,6.69283595e-01
1.12224449e+00,6.69945783e-01,6.70000000e-04,6.69275783e-01
1.26252505e+00,6.69937636e-01,6.70000000e-04,6.69267636e-01
1.40280561e+00,6.69929141e-01,6.70000000e-04,6.69259141e-01
1.54308617e+00,6.69920282e-01,6.70000000e-04,6.69250282e-01
1.68336673e+00,6.69911043e-01,6.70000000e-04,6.69241043e-01
1.82364729e+00,6.69901410e-01,6.70000000e-04,6.69231410e-01
1.96392786e+00,6.69891364e-01,6.70000000e-04,6.69221364e-01
2.10420842e+00,6.69880889e-01,6.70000000e-04,6.69210889e-01
2.24448898e+00,6.69869966e-01,6.70000000e-04,6.69199966e-01
2.38476954e+00,6.69858576e-01,6.70000000e-04,6.69188576e-01
2.52505010e+00,6.69846698e-01,6.70000000e-04,6.69176698e-01
2.66533066e+00,6.69834313e-01,6.70000000e-04,6.69164313e-01
2.80561122e+00,6.69821399e-01,6.70000000e-04,6.69151399e-01
2.94589178e+00,6.69807932e-01,6.70000000e-04,6.69137932e-01
3.08617234e+00,6.69793890e-01,6.70000000e-04,6.69123890e-01
3.22645291e+00,6.69779248e-01,6.70000000e-04,6.69109248e-01
3.36673347e+00,6.69763981e-01,6.70000000e-04,6.69093981e-01
3.50701403e+00,6.69748062e-01,6.70000000e-04,6.69078062e-01
3.64729459e+00,6.69731463e-01,6.70000000e-04,6.69061463e-01
3.78757515e+00,6.69714156e-01,6.70000000e-04,6.69044156e-01
3.92785571e+00,6.69696110e-01,6.70000000e-04,6.69026110e-01
4.06813627e+00,6.69677295e-01,6.70001676e-04,6.69007294e-01
4.20841683e+00,6.69657684e-01,6.70009084e-04,6.68987675e-01
4.34869739e+00,6.69637242e-01,6.70022458e-04,6.68967219e-01
4.48897796e+00,6.69615933e-01,6.70041909e-04,6.68945891e-01
4.62925852e+00,6.69593721e-01,6.70067566e-04,6.68923654e-01
4.76953908e+00,6.69570568e-01,6.70099598e-04,6.68900469e-01
4.90981964e+00,6.69546434e-01,6.70138201e-04,6.68876296e-01
5.05010020e+00,6.69521277e-01,6.70183591e-04,6.68851093e-01
5.19038076e+00,6.69495053e-01,6.70236019e-04,6.68824817e-01
5.33066132e+00,6.69467718e-01,6.70295750e-04,6.68797422e-01
5.47094188e+00,6.69439224e-01,6.70363081e-04,6.68768861e-01
5.61122244e+00,6.69409523e-01,6.70438330e-04,6.68739084e-01
5.75150301e+00,6.69378563e-01,6.70521832e-04,6.68708041e-01
5.89178357e+00,6.69346292e-01,6.70613954e-04,6.68675678e-01
