r_over_a,j_prequench_Am2,j_total_postquench_Am2,j_re_postquench_Am2,j_thermal_postquench_Am2
0.00000000e+00,4.26535247e+05,3.34838441e+05,3.34838202e+05,2.38322777e-01
5.02512563e-03,4.26524477e+05,3.34821530e+05,3.34821292e+05,2.38316759e-01
1.00502513e-02,4.26492164e+05,3.34770802e+05,3.34770564e+05,2.38298705e-01
1.50753769e-02,4.26438310e+05,3.34686263e+05,3.34686024e+05,2.38268614e-01
2.01005025e-02,4.26362914e+05,3.34567926e+05,3.34567688e+05,2.38226488e-01
2.51256281e-02,4.26265977e+05,3.34415809e+05,3.34415571e+05,2.38172325e-01
3.01507538e-02,4.26147498e+05,3.34229936e+05,3.34229698e+05,2.38106126e-01
3.51758794e-02,4.26007477e+05,3.34010334e+05,3.34010096e+05,2.38027890e-01
4.02010050e-02,4.25845915e+05,3.33757037e+05,3.33756799e+05,2.37937619e-01
4.52261307e-02,4.25662811e+05,3.33470083e+05,3.33469845e+05,2.37835311e-01
5.02512563e-02,4.25458165e+05,3.33149516e+05,3.33149278e+05,2.37720967e-01
5.52763819e-02,4.25231978e+05,3.32795384e+05,3.32795147e+05,2.37594587e-01
6.03015075e-02,4.24984249e+05,3.32407742e+05,3.32407504e+05,2.37456171e-01
6.53266332e-02,4.24714979e+05,3.31986648e+05,3.31986410e+05,2.37305718e-01
7.03517588e-02,4.24424167e+05,3.31532166e+05,3.31531928e+05,2.37143230e-01
7.53768844e-02,4.24111813e+05,3.31044365e+05,3.31044128e+05,2.36968705e-01
8.04020101e-02,4.23777918e+05,3.30523320e+05,3.30523083e+05,2.36782144e-01
8.54271357e-02,4.23422480e+05,3.29969110e+05,3.29968874e+05,2.36583546e-01
9.04522613e-02,4.23045502e+05,3.29381820e+05,3.29381584e+05,2.36372913e-01
9.54773869e-02,4.22646981e+05,3.28761540e+05,3.28761303e+05,2.36150243e-01
1.00502513e-01,4.22226919e+05,3.28108363e+05,3.28108127e+05,2.35915537e-01
1.05527638e-01,4.21785316e+05,3.27422391e+05,3.27422155e+05,2.35668795e-01
1.10552764e-01,4.21322171e+05,3.26703727e+05,3.26703492e+05,2.35410017e-01
1.15577889e-01,4.20837484e+05,3.25952483e+05,3.25952248e+05,2.35139202e-01
1.20603015e-01,4.20331255e+05,3.25168774e+05,3.25168539e+05,2.34856352e-01
1.25628141e-01,4.19803485e+05,3.24352719e+05,3.24352485e+05,2.34561465e-01
1.30653266e-01,4.19254173e+05,3.23504446e+05,3.23504211e+05,2.34254542e-01
1.35678392e-01,4.18683320e+05,3.22624083e+05,3.22623849e+05,2.33935582e-01
1.40703518e-01,4.18090925e+05,3.21711767e+05,3.21711534e+05,2.33604587e-01
1.45728643e-01,4.17476988e+05,3.20767640e+05,3.20767407e+05,2.33261555e-01
1.50753769e-01,4.16841509e+05,3.19791846e+05,3.19791613e+05,2.32906487e-01
1.55778894e-01,4.16184489e+05,3.18784538e+05,3.18784305e+05,2.32539383e-01
1.60804020e-01,4.15505928e+05,3.17745871e+05,3.17745639e+05,2.32160243e-01
1.65829146e-01,4.14805824e+05,3.16676007e+05,3.16675775e+05,2.31769066e-01
1.70854271e-01,4.14084179e+05,3.15575112e+05,3.15574881e+05,2.31365854e-01
1.75879397e-01,4.13340993e+05,3.14443358e+05,3.14443127e+05,2.30950605e-01
1.80904523e-01,4.12576265e+05,3.13280923e+05,3.13280692e+05,2.30523320e-01
1.85929648e-01,4.11789995e+05,3.12087987e+05,3.12087756e+05,2.30083998e-01
1.90954774e-01,4.10982183e+05,3.10864737e+05,3.10864508e+05,2.29632641e-01
1.95979899e-01,4.10152830e+05,3.09611367e+05,3.09611138e+05,2.29169247e-01
2.01005025e-01,4.09301935e+05,3.08328073e+05,3.08327844e+05,2.28693817e-01
2.06030151e-01,4.08429499e+05,3.07015058e+05,3.07014830e+05,2.28206351e-01
2.11055276e-01,4.07535521e+05,3.05672529e+05,3.05672301e+05,2.27706849e-01
2.16080402e-01,4.06620001e+05,3.04300698e+05,3.04300471e+05,2.27195310e-01
2.21105528e-01,4.05682940e+05,3.02899785e+05,3.02899558e+05,2.26671736e-01
2.26130653e-01,4.04724337e+05,3.01470011e+05,3.01469785e+05,2.26136125e-01
2.31155779e-01,4.03744192e+05,3.00011604e+05,3.00011379e+05,2.25588478e-01
2.36180905e-01,4.02742506e+05,2.98524798e+05,2.98524573e+05,2.25028794e-01
2.41206030e-01,4.01719278e+05,2.97009832e+05,2.97009607e+05,2.24457075e-01
2.46231156e-01,4.00674508e+05,2.95466947e+05,2.95466723e+05,2.23873319e-01
2.51256281e-01,3.99608197e+05,2.93896394e+05,2.93896170e+05,2.23277527e-01
2.56281407e-01,3.98520344e+05,2.92298425e+05,2.92298202e+05,2.22669699e-01
2.61306533e-01,3.97410950e+05,2.90673299e+05,2.90673077e+05,2.22049835e-01
2.66331658e-01,3.96280014e+05,2.89021281e+05,2.89021060e+05,2.21417934e-01
2.71356784e-01,3.95127536e+05,2.87342639e+05,2.87342419e+05,2.20773998e-01
2.76381910e-01,3.93953517e+05,2.85637648e+05,2.85637428e+05,2.20118025e-01
2.81407035e-01,3.92757956e+05,2.83906586e+05,2.83906367e+05,2.19450016e-01
2.86432161e-01,3.91540853e+05,2.82149739e+05,2.82149520e+05,2.18769970e-01
2.91457286e-01,3.90302209e+05,2.80367395e+05,2.80367177e+05,2.18077889e-01
2.96482412e-01,3.89042023e+05,2.78559849e+05,2.78559632e+05,2.17373771e-01
3.01507538e-01,3.87760295e+05,2.76727401e+05,2.76727185e+05,2.16657617e-01
3.06532663e-01,3.86457026e+05,2.74870357e+05,2.74870141e+05,2.15929427e-01
3.11557789e-01,3.85132215e+05,2.72989025e+05,2.72988810e+05,2.15189201e-01
3.16582915e-01,3.83785862e+05,2.71083721e+05,2.71083507e+05,2.14436938e-01
3.21608040e-01,3.82417968e+05,2.69154766e+05,2.69154553e+05,2.13672640e-01
3.26633166e-01,3.81028532e+05,2.67202485e+05,2.67202272e+05,2.12896305e-01
3.31658291e-01,3.79617555e+05,2.65227208e+05,2.65226996e+05,2.12107934e-01
3.36683417e-01,3.78185036e+05,2.63229271e+05,2.63229059e+05,2.11307526e-01
3.41708543e-01,3.76730975e+05,2.61209014e+05,2.61208804e+05,2.10495083e-01
3.46733668e-01,3.75255373e+05,2.59166784e+05,2.59166575e+05,2.09670603e-01
3.51758794e-01,3.73758229e+05,2.57102932e+05,2.57102723e+05,2.08834087e-01
3.56783920e-01,3.72239543e+05,2.55017814e+05,2.55017606e+05,2.07985535e-01
3.61809045e-01,3.70699316e+05,2.52911790e+05,2.52911583e+05,2.07124947e-01
3.66834171e-01,3.69137547e+05,2.50785228e+05,2.50785022e+05,2.06252322e-01
3.71859296e-01,3.67554237e+05,2.48638499e+05,2.48638293e+05,2.05367662e-01
3.76884422e-01,3.65949384e+05,2.46471979e+05,2.46471775e+05,2.04470965e-01
3.81909548e-01,3.64322990e+05,2.44286051e+05,2.44285847e+05,2.03562232e-01
3.86934673e-01,3.62675055e+05,2.42081101e+05,2.42080898e+05,2.02641462e-01
3.91959799e-01,3.61005578e+05,2.39857521e+05,2.39857319e+05,2.01708657e-01
3.96984925e-01,3.59314559e+05,2.37615708e+05,2.37615507e+05,2.00763815e-01
4.02010050e-01,3.57601999e+05,2.35356065e+05,2.35355865e+05,1.99806937e-01
4.07035176e-01,3.55867897e+05,2.33078999e+05,2.33078800e+05,1.98838023e-01
4.12060302e-01,3.54112253e+05,2.30784922e+05,2.30784724e+05,1.97857073e-01
4.17085427e-01,3.52335068e+05,2.28474253e+05,2.28474056e+05,1.96864086e-01
4.22110553e-01,3.50536341e+05,2.26147413e+05,2.26147217e+05,1.95859064e-01
4.27135678e-01,3.48716072e+05,2.23804831e+05,2.23804636e+05,1.94842005e-01
4.32160804e-01,3.46874262e+05,2.21446940e+05,2.21446746e+05,1.93812910e-01
4.37185930e-01,3.45010910e+05,2.19074178e+05,2.19073985e+05,1.92771778e-01
4.42211055e-01,3.43126016e+05,2.16686987e+05,2.16686796e+05,1.91718611e-01
4.47236181e-01,3.41219581e+05,2.14285818e+05,2.14285627e+05,1.90653407e-01
4.52261307e-01,3.39291605e+05,2.11871122e+05,2.11870932e+05,1.89576167e-01
4.57286432e-01,3.37342086e+05,2.09443359e+05,2.09443170e+05,1.88486891e-01
4.62311558e-01,3.35371026e+05,2.07002992e+05,2.07002805e+05,1.87385579e-01
4.67336683e-01,3.33378424e+05,2.04550490e+05,2.04550304e+05,1.86272230e-01
4.72361809e-01,3.31364281e+05,2.02086328e+05,2.02086143e+05,1.85146846e-01
4.77386935e-01,3.29328596e+05,1.99610984e+05,1.99610800e+05,1.84009425e-01
4.82412060e-01,3.27271369e+05,1.97124943e+05,1.97124760e+05,1.82859968e-01
4.87437186e-01,3.25192601e+05,1.94628693e+05,1.94628512e+05,1.81698475e-01
4.92462312e-01,3.23092291e+05,1.92122731e+05,1.92122550e+05,1.80524945e-01
4.97487437e-01,3.20970440e+05,1.89607554e+05,1.89607374e+05,1.79339379e-01
5.02512563e-01,3.18827046e+05,1.87083668e+05,1.87083490e+05,1.78141777e-01
5.07537688e-01,3.16662111e+05,1.84551582e+05,1.84551405e+05,1.76932139e-01
5.12562814e-01,3.14475635e+05,1.82011813e+05,1.82011637e+05,1.75710465e-01
5.17587940e-01,3.12267617e+05,1.79464879e+05,1.79464704e+05,1.74476755e-01
5.22613065e-01,3.10038057e+05,1.76911306e+05,1.76911133e+05,1.73231008e-01
5.27638191e-01,3.07786956e+05,1.74351625e+05,1.74351453e+05,1.71973225e-01
5.32663317e-01,3.05514313e+05,1.71786370e+05,1.71786200e+05,1.70703406e-01
5.37688442e-01,3.03220128e+05,1.69216083e+05,1.69215914e+05,1.69421551e-01
5.42713568e-01,3.00904402e+05,1.66641310e+05,1.66641141e+05,1.68127659e-01
5.47738693e-01,2.98567134e+05,1.64062600e+05,1.64062433e+05,1.66821731e-01
5.52763819e-01,2.96208324e+05,1.61480510e+05,1.61480345e+05,1.65503767e-01
5.57788945e-01,2.93827973e+05,1.58895602e+05,1.58895438e+05,1.64173767e-01
5.62814070e-01,2.91426080e+05,1.56308441e+05,1.56308278e+05,1.62831731e-01
5.67839196e-01,2.89002645e+05,1.53719599e+05,1.53719438e+05,1.61477659e-01
5.72864322e-01,2.86557669e+05,1.51129652e+05,1.51129492e+05,1.60111550e-01
5.77889447e-01,2.84091151e+05,1.48539182e+05,1.48539023e+05,1.58733405e-01
5.82914573e-01,2.81603092e+05,1.45948776e+05,1.45948619e+05,1.57343224e-01
5.87939698e-01,2.79093491e+05,1.43359025e+05,1.43358869e+05,1.55941007e-01
5.92964824e-01,2.76562348e+05,1.40770527e+05,1.40770372e+05,1.54526753e-01
5.97989950e-01,2.74009664e+05,1.38183883e+05,1.38183730e+05,1.53100463e-01
6.03015075e-01,2.71435438e+05,1.35599701e+05,1.35599549e+05,1.51662138e-01
6.08040201e-01,2.68839670e+05,1.33018593e+05,1.33018442e+05,1.50211775e-01
6.13065327e-01,2.66222361e+05,1.30441176e+05,1.30441028e+05,1.48749377e-01
6.18090452e-01,2.63583510e+05,1.27868074e+05,1.27867927e+05,1.47274943e-01
6.23115578e-01,2.60923117e+05,1.25299914e+05,1.25299768e+05,1.45788472e-01
6.28140704e-01,2.58241183e+05,1.22737329e+05,1.22737184e+05,1.44289965e-01
6.33165829e-01,2.55537707e+05,1.20180956e+05,1.20180813e+05,1.42779422e-01
6.38190955e-01,2.52812690e+05,1.17631439e+05,1.17631298e+05,1.41256843e-01
6.43216080e-01,2.50066131e+05,1.15089427e+05,1.15089287e+05,1.39722227e-01
6.48241206e-01,2.47298030e+05,1.12555571e+05,1.12555433e+05,1.38175575e-01
6.53266332e-01,2.44508387e+05,1.10030532e+05,1.10030395e+05,1.36616888e-01
6.58291457e-01,2.41697203e+05,1.07514972e+05,1.07514837e+05,1.35046163e-01
6.63316583e-01,2.38864478e+05,1.05009561e+05,1.05009427e+05,1.33463403e-01
