S_inv,gamma_fRE_0.0,gamma_fRE_0.5,gamma_fRE_1.0
1.00000000e-07,2.32079442e-03,1.84201575e-03,1.07721735e-07
1.05956018e-07,2.36598442e-03,1.87788308e-03,1.07721735e-07
1.12266777e-07,2.41205435e-03,1.91444881e-03,1.07721735e-07
1.18953407e-07,2.45902135e-03,1.95172654e-03,1.07721735e-07
1.26038293e-07,2.50690288e-03,1.98973013e-03,1.07721735e-07
1.33545156e-07,2.55571674e-03,2.02847372e-03,1.07721735e-07
1.41499130e-07,2.60548110e-03,2.06797172e-03,1.07721735e-07
1.49926843e-07,2.65621446e-03,2.10823881e-03,1.07721735e-07
1.58856513e-07,2.70793569e-03,2.14928998e-03,1.07721735e-07
1.68318035e-07,2.76066402e-03,2.19114049e-03,1.07721735e-07
1.78343088e-07,2.81441907e-03,2.23380590e-03,1.07721735e-07
1.88965234e-07,2.86922082e-03,2.27730208e-03,1.07721735e-07
2.00220037e-07,2.92508967e-03,2.32164521e-03,1.07721735e-07
2.12145178e-07,2.98204637e-03,2.36685178e-03,1.07721735e-07
2.24780583e-07,3.04011213e-03,2.41293860e-03,1.07721735e-07
2.38168555e-07,3.09930853e-03,2.45992281e-03,1.07721735e-07
2.52353917e-07,3.15965759e-03,2.50782189e-03,1.07721735e-07
2.67384162e-07,3.22118175e-03,2.55665365e-03,1.07721735e-07
2.83309610e-07,3.28390390e-03,2.60643626e-03,1.07721735e-07
3.00183581e-07,3.34784736e-03,2.65718821e-03,1.07721735e-07
3.18062569e-07,3.41303592e-03,2.70892840e-03,1.07721735e-07
3.37006433e-07,3.47949381e-03,2.76167607e-03,1.07721735e-07
3.57078596e-07,3.54724575e-03,2.81545082e-03,1.07721735e-07
3.78346262e-07,3.61631695e-03,2.87027266e-03,1.07721735e-07
4.00880633e-07,3.68673308e-03,2.92616199e-03,1.07721735e-07
4.24757155e-07,3.75852035e-03,2.98313958e-03,1.07721735e-07
4.50055768e-07,3.83170543e-03,3.04122662e-03,1.07721735e-07
4.76861170e-07,3.90631557e-03,3.10044472e-03,1.07721735e-07
5.05263107e-07,3.98237849e-03,3.16081590e-03,1.07721735e-07
5.35356668e-07,4.05992250e-03,3.22236262e-03,1.07721735e-07
