psi_N,eta_over_eta_axis
0.00000000e+00,1.00000000e+00
4.00801603e-03,1.00000000e+00
8.01603206e-03,1.00000000e+00
1.20240481e-02,1.00000000e+00
1.60320641e-02,1.00000000e+00
2.00400802e-02,1.00000000e+00
2.40480962e-02,1.00000000e+00
2.80561122e-02,1.00000000e+00
3.20641283e-02,1.00000000e+00
3.60721443e-02,1.00000000e+00
4.00801603e-02,1.00000000e+00
4.40881764e-02,1.00000000e+00
4.80961924e-02,1.00000000e+00
5.21042084e-02,1.00000000e+00
5.61122244e-02,1.00000000e+00
6.01202405e-02,1.00000000e+00
6.41282565e-02,1.00000000e+00
6.81362725e-02,1.00000000e+00
7.21442886e-02,1.00000000e+00
7.61523046e-02,1.00000000e+00
8.01603206e-02,1.00000000e+00
8.41683367e-02,1.00000000e+00
8.81763527e-02,1.00000000e+00
9.21843687e-02,1.00000000e+00
9.61923848e-02,1.00000000e+00
1.00200401e-01,1.00000000e+00
1.04208417e-01,1.00000000e+00
1.08216433e-01,1.00000000e+00
1.12224449e-01,1.00000000e+00
1.16232465e-01,1.00000000e+00
1.20240481e-01,1.00000000e+00
1.24248497e-01,1.00000000e+00
1.28256513e-01,1.00000000e+00
1.32264529e-01,1.00000000e+00
1.36272545e-01,1.00000000e+00
1.40280561e-01,1.00000000e+00
1.44288577e-01,1.00000000e+00
1.48296593e-01,1.00000000e+00
1.52304609e-01,1.00000000e+00
1.56312625e-01,1.00000000e+00
1.60320641e-01,1.00000000e+00
1.64328657e-01,1.00000000e+00
1.68336673e-01,1.00000000e+00
1.72344689e-01,1.00000000e+00
1.76352705e-01,1.00000000e+00
1.80360721e-01,1.00000000e+00
1.84368737e-01,1.00000000e+00
1.88376754e-01,1.00000000e+00
1.92384770e-01,1.00000000e+00
1.96392786e-01,1.00000000e+00
2.00400802e-01,1.00000000e+00
2.04408818e-01,1.00000000e+00
2.08416834e-01,1.00000000e+00
2.12424850e-01,1.00000000e+00
2.16432866e-01,1.00000000e+00
2.20440882e-01,1.00000000e+00
2.24448898e-01,1.00000000e+00
2.28456914e-01,1.00000000e+00
2.32464930e-01,1.00000000e+00
2.36472946e-01,1.00000000e+00
2.40480962e-01,1.00000000e+00
2.44488978e-01,1.00000000e+00
2.48496994e-01,1.00000000e+00
2.52505010e-01,1.00000000e+00
2.56513026e-01,1.00000000e+00
2.60521042e-01,1.00000000e+00
2.64529058e-01,1.00000000e+00
2.68537074e-01,1.00000000e+00
2.72545090e-01,1.00000000e+00
2.76553106e-01,1.00000000e+00
2.80561122e-01,1.00000000e+00
2.84569138e-01,1.00000000e+00
2.88577154e-01,1.00000000e+00
2.92585170e-01,1.00000000e+00
2.96593186e-01,1.00000000e+00
3.00601202e-01,1.00000000e+00
3.04609218e-01,1.00000000e+00
3.08617234e-01,1.00000000e+00
3.12625251e-01,1.00000000e+00
3.16633267e-01,1.00000000e+00
3.20641283e-01,1.00000000e+00
3.24649299e-01,1.00000000e+00
3.28657315e-01,1.00000000e+00
3.32665331e-01,1.00000000e+00
3.36673347e-01,1.00000000e+00
