time_ms,I_total_with_RE_MA,I_r_MA,I_th_with_RE_MA,I_total_baseline_MA
0.00000000e+00,1.45000000e+01,1.45000000e-02,1.44855000e+01,1.45000000e+01
2.40480962e-02,1.44915845e+01,1.46754012e-02,1.44769091e+01,1.44914005e+01
4.80961924e-02,1.44831763e+01,1.48529241e-02,1.44683234e+01,1.44828062e+01
7.21442886e-02,1.44747753e+01,1.50325945e-02,1.44597427e+01,1.44742169e+01
9.61923848e-02,1.44663815e+01,1.52144382e-02,1.44511671e+01,1.44656327e+01
1.20240481e-01,1.44579950e+01,1.53984817e-02,1.44425966e+01,1.44570536e+01
1.44288577e-01,1.44496159e+01,1.55847514e-02,1.44340311e+01,1.44484796e+01
1.68336673e-01,1.44412441e+01,1.57732744e-02,1.44254708e+01,1.44399107e+01
1.92384770e-01,1.44328796e+01,1.59640779e-02,1.44169155e+01,1.44313469e+01
2.16432866e-01,1.44245225e+01,1.61571894e-02,1.44083653e+01,1.44227881e+01
2.40480962e-01,1.44161728e+01,1.63526369e-02,1.43998202e+01,1.44142344e+01
2.64529058e-01,1.44078306e+01,1.65504486e-02,1.43912801e+01,1.44056858e+01
2.88577154e-01,1.43994958e+01,1.67506532e-02,1.43827452e+01,1.43971423e+01
3.12625251e-01,1.43911685e+01,1.69532796e-02,1.43742152e+01,1.43886038e+01
3.36673347e-01,1.43828487e+01,1.71583571e-02,1.43656903e+01,1.43800704e+01
3.60721443e-01,1.43745364e+01,1.73659153e-02,1.43571705e+01,1.43715421e+01
3.84769539e-01,1.43662318e+01,1.75759843e-02,1.43486558e+01,1.43630188e+01
4.08817635e-01,1.43579346e+01,1.77885944e-02,1.43401461e+01,1.43545006e+01
4.32865731e-01,1.43496452e+01,1.80037763e-02,1.43316414e+01,1.43459874e+01
4.56913828e-01,1.43413633e+01,1.82215612e-02,1.43231418e+01,1.43374792e+01
4.80961924e-01,1.43330892e+01,1.84419805e-02,1.43146472e+01,1.43289762e+01
