aMPS2_improved,Re_P_improved,aMPS2_unimproved,Re_P_unimproved
0.50000000,0.24368282,0.10000000,0.34874736
0.52020202,0.24240194,0.11414141,0.34859794
0.54040404,0.24108376,0.12828283,0.34843077
0.56060606,0.23972772,0.14242424,0.34824379
0.58080808,0.23833335,0.15656566,0.34803464
0.60101010,0.23690016,0.17070707,0.34780076
0.62121212,0.23542774,0.18484848,0.34753924
0.64141414,0.23391570,0.19898990,0.34724688
0.66161616,0.23236371,0.21313131,0.34692010
0.68181818,0.23077149,0.22727273,0.34655493
0.70202020,0.22913879,0.24141414,0.34614696
0.72222222,0.22746544,0.25555556,0.34569130
0.74242424,0.22575132,0.26969697,0.34518252
0.76262626,0.22399636,0.28383838,0.34461463
0.78282828,0.22220058,0.29797980,0.34398099
0.80303030,0.22036405,0.31212121,0.34327430
0.82323232,0.21848692,0.32626263,0.34248651
0.84343434,0.21656941,0.34040404,0.34160876
0.86363636,0.21461181,0.35454545,0.34063136
0.88383838,0.21261452,0.36868687,0.33954371
0.90404040,0.21057797,0.38282828,0.33833424
0.92424242,0.20850273,0.39696970,0.33699039
0.94444444,0.20638941,0.41111111,0.33549857
0.96464646,0.20423873,0.42525253,0.33384414
0.98484848,0.20205149,0.43939394,0.33201140
1.00505051,0.19982858,0.45353535,0.32998359
1.02525253,0.19757099,0.46767677,0.32774299
1.04545455,0.19527977,0.48181818,0.32527097
1.06565657,0.19295608,0.49595960,0.32254811
1.08585859,0.19060117,0.51010101,0.31955439
1.10606061,0.18821635,0.52424242,0.31626943
1.12626263,0.18580304,0.53838384,0.31267277
1.14646465,0.18336274,0.55252525,0.30874427
1.16666667,0.18089700,0.56666667,0.30446452
1.18686869,0.17840747,0.58080808,0.29981537
1.20707071,0.17589587,0.59494949,0.29478057
1.22727273,0.17336397,0.60909091,0.28934636
1.24747475,0.17081362,0.62323232,0.28350223
1.26767677,0.16824673,0.63737374,0.27724168
1.28787879,0.16566524,0.65151515,0.27056290
1.30808081,0.16307115,0.66565657,0.26346956
1.32828283,0.16046650,0.67979798,0.25597139
1.34848485,0.15785337,0.69393939,0.24808473
1.36868687,0.15523385,0.70808081,0.23983285
1.38888889,0.15261006,0.72222222,0.23124609
1.40909091,0.14998415,0.73636364,0.22236173
1.42929293,0.14735825,0.75050505,0.21322362
1.44949495,0.14473451,0.76464646,0.20388142
1.46969697,0.14211505,0.77878788,0.19438973
1.48989899,0.13950201,0.79292929,0.18480680
1.51010101,0.13689748,0.80707071,0.17519320
1.53030303,0.13430353,0.82121212,0.16561027
1.55050505,0.13172220,0.83535354,0.15611858
1.57070707,0.12915549,0.84949495,0.14677638
1.59090909,0.12660536,0.86363636,0.13763827
1.61111111,0.12407370,0.87777778,0.12875391
1.63131313,0.12156235,0.89191919,0.12016715
1.65151515,0.11907310,0.90606061,0.11191527
1.67171717,0.11660766,0.92020202,0.10402861
1.69191919,0.11416767,0.93434343,0.09653044
1.71212121,0.11175469,0.94848485,0.08943710
1.73232323,0.10937023,0.96262626,0.08275832
1.75252525,0.10701569,0.97676768,0.07649777
1.77272727,0.10469238,0.99090909,0.07065364
1.79292929,0.10240157,1.00505051,0.06521943
1.81313131,0.10014438,1.01919192,0.06018463
1.83333333,0.09792190,1.03333333,0.05553548
1.85353535,0.09573510,1.04747475,0.05125573
1.87373737,0.09358486,1.06161616,0.04732723
1.89393939,0.09147200,1.07575758,0.04373057
1.91414141,0.08939722,1.08989899,0.04044561
1.93434343,0.08736114,1.10404040,0.03745189
1.95454545,0.08536432,1.11818182,0.03472903
1.97474747,0.08340721,1.13232323,0.03225701
1.99494949,0.08149018,1.14646465,0.03001641
2.01515152,0.07961354,1.16060606,0.02798860
2.03535354,0.07777750,1.17474747,0.02615586
2.05555556,0.07598222,1.18888889,0.02450143
2.07575758,0.07422775,1.20303030,0.02300961
2.09595960,0.07251412,1.21717172,0.02166576
2.11616162,0.07084126,1.23131313,0.02045629
2.13636364,0.06920905,1.24545455,0.01936864
2.15656566,0.06761731,1.25959596,0.01839124
2.17676768,0.06606581,1.27373737,0.01751349
2.19696970,0.06455426,1.28787879,0.01672570
2.21717172,0.06308231,1.30202020,0.01601901
2.23737374,0.06164960,1.31616162,0.01538537
2.25757576,0.06025568,1.33030303,0.01481748
2.27777778,0.05890011,1.34444444,0.01430870
2.29797980,0.05758238,1.35858586,0.01385304
2.31818182,0.05630195,1.37272727,0.01344507
2.33838384,0.05505828,1.38686869,0.01307990
2.35858586,0.05385076,1.40101010,0.01275312
2.37878788,0.05267879,1.41515152,0.01246076
2.39898990,0.05154174,1.42929293,0.01219924
2.41919192,0.05043895,1.44343434,0.01196536
2.43939394,0.04936977,1.45757576,0.01175621
2.45959596,0.04833350,1.47171717,0.01156923
2.47979798,0.04732947,1.48585859,0.01140206
2.50000000,0.04635696,1.50000000,0.01125264
