beta_T_interp,kappa_T_interp,beta_C_interp,kappa_C_interp
6.40000000,0.14737200,6.40000000,0.14924851
6.40452261,0.14732412,6.40452261,0.14933003
6.40904523,0.14727415,6.40904523,0.14940694
6.41356784,0.14722211,6.41356784,0.14947926
6.41809045,0.14716801,6.41809045,0.14954702
6.42261307,0.14711186,6.42261307,0.14961026
6.42713568,0.14705369,6.42713568,0.14966901
6.43165829,0.14699349,6.43165829,0.14972330
6.43618090,0.14693129,6.43618090,0.14977316
6.44070352,0.14686710,6.44070352,0.14981862
6.44522613,0.14680092,6.44522613,0.14985972
6.44974874,0.14673278,6.44974874,0.14989647
6.45427136,0.14666269,6.45427136,0.14992893
6.45879397,0.14659066,6.45879397,0.14995711
6.46331658,0.14651670,6.46331658,0.14998105
6.46783920,0.14644082,6.46783920,0.15000078
6.47236181,0.14636305,6.47236181,0.15001633
6.47688442,0.14628339,6.47688442,0.15002774
6.48140704,0.14620185,6.48140704,0.15003503
6.48592965,0.14611845,6.48592965,0.15003823
6.49045226,0.14603320,6.49045226,0.15003738
6.49497487,0.14594612,6.49497487,0.15003251
6.49949749,0.14585722,6.49949749,0.15002364
6.50402010,0.14576651,6.50402010,0.15001082
6.50854271,0.14567400,6.50854271,0.14999407
6.51306533,0.14557971,6.51306533,0.14997342
6.51758794,0.14548365,6.51758794,0.14994891
6.52211055,0.14538583,6.52211055,0.14992056
6.52663317,0.14528627,6.52663317,0.14988842
6.53115578,0.14518498,6.53115578,0.14985249
6.53567839,0.14508198,6.53567839,0.14981283
6.54020101,0.14497727,6.54020101,0.14976946
6.54472362,0.14487087,6.54472362,0.14972242
6.54924623,0.14476279,6.54924623,0.14967172
6.55376884,0.14465305,6.55376884,0.14961742
6.55829146,0.14454166,6.55829146,0.14955952
6.56281407,0.14442862,6.56281407,0.14949808
6.56733668,0.14431397,6.56733668,0.14943312
6.57185930,0.14419770,6.57185930,0.14936466
6.57638191,0.14407983,6.57638191,0.14929275
6.58090452,0.14396038,6.58090452,0.14921741
6.58542714,0.14383936,6.58542714,0.14913868
6.58994975,0.14371677,6.58994975,0.14905658
6.59447236,0.14359264,6.59447236,0.14897115
6.59899497,0.14346698,6.59899497,0.14888242
6.60351759,0.14333980,6.60351759,0.14879042
6.60804020,0.14321111,6.60804020,0.14869517
6.61256281,0.14308093,6.61256281,0.14859673
6.61708543,0.14294926,6.61708543,0.14849510
6.62160804,0.14281613,6.62160804,0.14839033
6.62613065,0.14268155,6.62613065,0.14828245
6.63065327,0.14254552,6.63065327,0.14817148
6.63517588,0.14240807,6.63517588,0.14805747
6.63969849,0.14226920,6.63969849,0.14794043
6.64422111,0.14212893,6.64422111,0.14782041
6.64874372,0.14198727,6.64874372,0.14769743
6.65326633,0.14184424,6.65326633,0.14757153
6.65778894,0.14169984,6.65778894,0.14744273
6.66231156,0.14155410,6.66231156,0.14731107
6.66683417,0.14140701,6.66683417,0.14717657
6.67135678,0.14125861,6.67135678,0.14703928
6.67587940,0.14110890,6.67587940,0.14689922
6.68040201,0.14095789,6.68040201,0.14675642
6.68492462,0.14080559,6.68492462,0.14661091
6.68944724,0.14065203,6.68944724,0.14646273
6.69396985,0.14049721,6.69396985,0.14631191
6.69849246,0.14034114,6.69849246,0.14615847
6.70301508,0.14018385,6.70301508,0.14600246
6.70753769,0.14002533,6.70753769,0.14584389
6.71206030,0.13986561,6.71206030,0.14568281
6.71658291,0.13970471,6.71658291,0.14551924
6.72110553,0.13954262,6.72110553,0.14535321
6.72562814,0.13937936,6.72562814,0.14518476
6.73015075,0.13921496,6.73015075,0.14501392
6.73467337,0.13904941,6.73467337,0.14484071
6.73919598,0.13888274,6.73919598,0.14466518
6.74371859,0.13871496,6.74371859,0.14448734
6.74824121,0.13854608,6.74824121,0.14430724
6.75276382,0.13837611,6.75276382,0.14412491
6.75728643,0.13820507,6.75728643,0.14394037
6.76180905,0.13803297,6.76180905,0.14375365
6.76633166,0.13785982,6.76633166,0.14356480
6.77085427,0.13768563,6.77085427,0.14337383
6.77537688,0.13751043,6.77537688,0.14318078
6.77989950,0.13733422,6.77989950,0.14298569
6.78442211,0.13715701,6.78442211,0.14278857
6.78894472,0.13697883,6.78894472,0.14258948
6.79346734,0.13679967,6.79346734,0.14238843
6.79798995,0.13661956,6.79798995,0.14218545
6.80251256,0.13643851,6.80251256,0.14198059
6.80703518,0.13625653,6.80703518,0.14177386
6.81155779,0.13607363,6.81155779,0.14156531
6.81608040,0.13588983,6.81608040,0.14135496
6.82060302,0.13570514,6.82060302,0.14114284
6.82512563,0.13551958,6.82512563,0.14092899
6.82964824,0.13533315,6.82964824,0.14071343
6.83417085,0.13514587,6.83417085,0.14049621
6.83869347,0.13495776,6.83869347,0.14027734
6.84321608,0.13476882,6.84321608,0.14005686
6.84773869,0.13457907,6.84773869,0.13983480
6.85226131,0.13438852,6.85226131,0.13961120
6.85678392,0.13419719,6.85678392,0.13938608
6.86130653,0.13400509,6.86130653,0.13915948
