r_over_r0,R_lattice,V_lattice
1.70000000,10.01300000,1.11517032
1.70904523,10.06627638,1.11734219
1.71809045,10.11955276,1.11951207
1.72713568,10.17282915,1.12167998
1.73618090,10.22610553,1.12384595
1.74522613,10.27938191,1.12601001
1.75427136,10.33265829,1.12817219
1.76331658,10.38593467,1.13033253
1.77236181,10.43921106,1.13249104
1.78140704,10.49248744,1.13464775
1.79045226,10.54576382,1.13680271
1.79949749,10.59904020,1.13895592
1.80854271,10.65231658,1.14110742
1.81758794,10.70559296,1.14325722
1.82663317,10.75886935,1.14540537
1.83567839,10.81214573,1.14755188
1.84472362,10.86542211,1.14969677
1.85376884,10.91869849,1.15184007
1.86281407,10.97197487,1.15398181
1.87185930,11.02525126,1.15612200
1.88090452,11.07852764,1.15826067
1.88994975,11.13180402,1.16039783
1.89899497,11.18508040,1.16253352
1.90804020,11.23835678,1.16466775
1.91708543,11.29163317,1.16680054
1.92613065,11.34490955,1.16893192
1.93517588,11.39818593,1.17106189
1.94422111,11.45146231,1.17319049
1.95326633,11.50473869,1.17531773
1.96231156,11.55801508,1.17744363
1.97135678,11.61129146,1.17956821
1.98040201,11.66456784,1.18169148
1.98944724,11.71784422,1.18381347
1.99849246,11.77112060,1.18593419
2.00753769,11.82439698,1.18805366
2.01658291,11.87767337,1.19017190
2.02562814,11.93094975,1.19228892
2.03467337,11.98422613,1.19440473
2.04371859,12.03750251,1.19651936
2.05276382,12.09077889,1.19863282
2.06180905,12.14405528,1.20074513
2.07085427,12.19733166,1.20285630
2.07989950,12.25060804,1.20496634
2.08894472,12.30388442,1.20707527
2.09798995,12.35716080,1.20918311
2.10703518,12.41043719,1.21128986
2.11608040,12.46371357,1.21339555
2.12512563,12.51698995,1.21550018
2.13417085,12.57026633,1.21760378
2.14321608,12.62354271,1.21970634
2.15226131,12.67681910,1.22180790
2.16130653,12.73009548,1.22390845
2.17035176,12.78337186,1.22600801
2.17939698,12.83664824,1.22810659
2.18844221,12.88992462,1.23020421
2.19748744,12.94320101,1.23230088
2.20653266,12.99647739,1.23439660
2.21557789,13.04975377,1.23649140
2.22462312,13.10303015,1.23858528
2.23366834,13.15630653,1.24067825
2.24271357,13.20958291,1.24277032
2.25175879,13.26285930,1.24486151
2.26080402,13.31613568,1.24695183
2.26984925,13.36941206,1.24904128
2.27889447,13.42268844,1.25112987
2.28793970,13.47596482,1.25321762
2.29698492,13.52924121,1.25530454
2.30603015,13.58251759,1.25739064
2.31507538,13.63579397,1.25947592
2.32412060,13.68907035,1.26156040
2.33316583,13.74234673,1.26364408
2.34221106,13.79562312,1.26572697
2.35125628,13.84889950,1.26780909
2.36030151,13.90217588,1.26989044
2.36934673,13.95545226,1.27197102
2.37839196,14.00872864,1.27405086
2.38743719,14.06200503,1.27612996
