r_over_r0,c0_ground,c1_excited,c_sum
1.70000000,0.85000000,0.05000000,0.90000000
1.70904523,0.84728643,0.05271357,0.90000000
1.71809045,0.84457286,0.05542714,0.90000000
1.72713568,0.84185930,0.05814070,0.90000000
1.73618090,0.83914573,0.06085427,0.90000000
1.74522613,0.83643216,0.06356784,0.90000000
1.75427136,0.83371859,0.06628141,0.90000000
1.76331658,0.83100503,0.06899497,0.90000000
1.77236181,0.82829146,0.07170854,0.90000000
1.78140704,0.82557789,0.07442211,0.90000000
1.79045226,0.82286432,0.07713568,0.90000000
1.79949749,0.82015075,0.07984925,0.90000000
1.80854271,0.81743719,0.08256281,0.90000000
1.81758794,0.81472362,0.08527638,0.90000000
1.82663317,0.81201005,0.08798995,0.90000000
1.83567839,0.80929648,0.09070352,0.90000000
1.84472362,0.80658291,0.09341709,0.90000000
1.85376884,0.80386935,0.09613065,0.90000000
1.86281407,0.80115578,0.09884422,0.90000000
1.87185930,0.79844221,0.10155779,0.90000000
1.88090452,0.79572864,0.10427136,0.90000000
1.88994975,0.79301508,0.10698492,0.90000000
1.89899497,0.79030151,0.10969849,0.90000000
1.90804020,0.78758794,0.11241206,0.90000000
1.91708543,0.78487437,0.11512563,0.90000000
1.92613065,0.78216080,0.11783920,0.90000000
1.93517588,0.77944724,0.12055276,0.90000000
1.94422111,0.77673367,0.12326633,0.90000000
1.95326633,0.77402010,0.12597990,0.90000000
1.96231156,0.77130653,0.12869347,0.90000000
1.97135678,0.76859296,0.13140704,0.90000000
1.98040201,0.76587940,0.13412060,0.90000000
1.98944724,0.76316583,0.13683417,0.90000000
1.99849246,0.76045226,0.13954774,0.90000000
2.00753769,0.75773869,0.14226131,0.90000000
2.01658291,0.75502513,0.14497487,0.90000000
2.02562814,0.75231156,0.14768844,0.90000000
2.03467337,0.74959799,0.15040201,0.90000000
2.04371859,0.74688442,0.15311558,0.90000000
2.05276382,0.74417085,0.15582915,0.90000000
