R,err_no_smearing,err_link_smearing,err_source_link_smearing
8.00000000,0.02993428,0.00500000,0.00971809
8.50000000,0.02024019,0.01205097,0.00500000
9.00000000,0.03941637,0.00500000,0.01064039
9.50000000,0.06089983,0.01685662,0.00765233
10.00000000,0.03033038,0.00832691,0.00678538
10.50000000,0.03559232,0.01276618,0.01385725
11.00000000,0.07791160,0.01114300,0.01662163
11.50000000,0.06863782,0.03729889,0.01683209
12.00000000,0.05190760,0.02040936,0.00873251
12.50000000,0.08135963,0.01190197,0.01218199
13.00000000,0.07183565,0.03282148,0.01623327
13.50000000,0.08397721,0.01470391,0.02035606
14.00000000,0.11215036,0.03153543,0.01403959
14.50000000,0.08517156,0.01262323,0.01652348
15.00000000,0.10748818,0.02197235,0.01299926
15.50000000,0.15207765,0.04054287,0.01369579
16.00000000,0.16761000,0.04959162,0.02495620
16.50000000,0.22238300,0.04789545,0.02896676
17.00000000,0.23041145,0.04937442,0.02319739
17.50000000,0.25767971,0.05227858,0.03003181
18.00000000,0.35820591,0.04571125,0.02836912
18.50000000,0.37380140,0.05899524,0.02497777
19.00000000,0.43651861,0.06782104,0.03175435
19.50000000,0.47206744,0.08981945,0.03948940
