R,B_true,B_noisy,sigma,B_filtered
8.00000000,-6.00000000,-6.05428153,0.05000000,-6.13673352
8.06896552,-6.03448276,-5.98409694,0.05051993,-6.14392117
8.13793103,-6.06896552,-6.05452081,0.05104526,-6.16338334
8.20689655,-6.10344828,-6.18113701,0.05157605,-6.18130466
8.27586207,-6.13793103,-6.16808326,0.05211237,-6.19638651
8.34482759,-6.17241379,-6.08545862,0.05265426,-6.20539462
8.41379310,-6.20689655,-6.33600022,0.05320179,-6.22278152
8.48275862,-6.24137931,-6.26443551,0.05375501,-6.23919080
8.55172414,-6.27586207,-6.20710403,0.05431398,-6.27110969
8.62068966,-6.31034483,-6.35791047,0.05487876,-6.30224204
8.68965517,-6.34482759,-6.38247143,0.05544942,-6.33047607
8.75862069,-6.37931034,-6.38461651,0.05602601,-6.35537523
8.82758621,-6.41379310,-6.32936762,0.05660860,-6.38592283
8.89655172,-6.44827586,-6.48481930,0.05719725,-6.42430928
8.96551724,-6.48275862,-6.50841723,0.05779201,-6.44313224
9.03448276,-6.51724138,-6.54260444,0.05839296,-6.47863312
9.10344828,-6.55172414,-6.42157390,0.05900017,-6.51368942
9.17241379,-6.58620690,-6.45584453,0.05961368,-6.54854475
9.24137931,-6.62068966,-6.56021190,0.06023357,-6.58194116
9.31034483,-6.65517241,-6.63166914,0.06085991,-6.61206638
9.37931034,-6.68965517,-6.64431234,0.06149277,-6.65796705
9.44827586,-6.72413793,-6.63151547,0.06213220,-6.68973952
9.51724138,-6.75862069,-6.81737073,0.06277828,-6.72511202
9.58620690,-6.79310345,-6.71851934,0.06343108,-6.75818638
9.65517241,-6.82758621,-6.90794826,0.06409067,-6.81349284
9.72413793,-6.86206897,-6.90336792,0.06475712,-6.86525865
9.79310345,-6.89655172,-6.83719938,0.06543050,-6.90765301
9.86206897,-6.93103448,-7.02548582,0.06611088,-6.94070036
9.93103448,-6.96551724,-6.97487360,0.06679834,-6.97993227
10.00000000,-7.00000000,-7.05816237,0.06749294,-7.02223976
10.06896552,-7.03448276,-7.05191466,0.06819477,-7.04996341
10.13793103,-7.06896552,-7.26179920,0.06890389,-7.09463471
10.20689655,-7.10344828,-7.22678310,0.06962039,-7.12241582
10.27586207,-7.13793103,-7.18716344,0.07034434,-7.15783618
10.34482759,-7.17241379,-7.10649364,0.07107582,-7.20524765
10.41379310,-7.20689655,-7.21936618,0.07181490,-7.23502800
10.48275862,-7.24137931,-7.24117281,0.07256167,-7.26707214
10.55172414,-7.27586207,-7.22540419,0.07331620,-7.29627954
10.62068966,-7.31034483,-7.37549963,0.07407858,-7.33015536
10.68965517,-7.34482759,-7.32359840,0.07484889,-7.33916145
10.75862069,-7.37931034,-7.44021797,0.07562721,-7.36221131
10.82758621,-7.41379310,-7.54581058,0.07641362,-7.38813788
10.89655172,-7.44827586,-7.47845653,0.07720821,-7.41685456
10.96551724,-7.48275862,-7.43799542,0.07801106,-7.45621650
11.03448276,-7.51724138,-7.49055303,0.07882226,-7.49549563
11.10344828,-7.55172414,-7.55266634,0.07964189,-7.52517816
11.17241379,-7.58620690,-7.39369314,0.08047005,-7.55824523
11.24137931,-7.62068966,-7.58711708,0.08130682,-7.59393572
11.31034483,-7.65517241,-7.57476701,0.08215229,-7.61793916
11.37931034,-7.68965517,-7.50387461,0.08300655,-7.63701109
11.44827586,-7.72413793,-7.83267248,0.08386970,-7.65921617
11.51724138,-7.75862069,-7.84664949,0.08474182,-7.68829902
11.58620690,-7.79310345,-7.64380156,0.08562301,-7.71802549
11.65517241,-7.82758621,-7.89662930,0.08651336,-7.75527168
11.72413793,-7.86206897,-7.85947427,0.08741297,-7.79931342
11.79310345,-7.89655172,-7.80210767,0.08832194,-7.83367839
11.86206897,-7.93103448,-7.85154753,0.08924036,-7.88073478
11.93103448,-7.96551724,-7.80728210,0.09016832,-7.92110753
12.00000000,-8.00000000,-7.86373793,0.09110594,-7.94189352
12.06896552,-8.03448276,-7.93604163,0.09205331,-7.96828351
12.13793103,-8.06896552,-8.14083556,0.09301053,-8.01469766
12.20689655,-8.10344828,-8.02874891,0.09397770,-8.04986944
12.27586207,-8.13793103,-8.10808936,0.09495493,-8.08254324
12.34482759,-8.17241379,-8.29965877,0.09594232,-8.12077028
12.41379310,-8.20689655,-8.06950362,0.09693997,-8.16565581
12.48275862,-8.24137931,-8.16231210,0.09794801,-8.20492186
12.55172414,-8.27586207,-8.27136007,0.09896652,-8.25630362
12.62068966,-8.31034483,-8.33365301,0.09999563,-8.31148093
12.68965517,-8.34482759,-8.46589846,0.10103543,-8.33414600
12.75862069,-8.37931034,-8.35894172,0.10208605,-8.37707964
12.82758621,-8.41379310,-8.36547473,0.10314760,-8.41493481
12.89655172,-8.44827586,-8.53489898,0.10422018,-8.44514033
12.96551724,-8.48275862,-8.36037399,0.10530391,-8.50104566
13.03448276,-8.51724138,-8.63398260,0.10639892,-8.53413508
13.10344828,-8.55172414,-8.77996870,0.10750531,-8.57417568
13.17241379,-8.58620690,-8.47326841,0.10862321,-8.59643637
13.24137931,-8.62068966,-8.66496018,0.10975273,-8.61645217
13.31034483,-8.65517241,-8.66914834,0.11089399,-8.65487607
13.37931034,-8.68965517,-8.78349651,0.11204713,-8.70093130
13.44827586,-8.72413793,-8.90595259,0.11321225,-8.73426211
13.51724138,-8.75862069,-8.61503473,0.11438949,-8.78739021
13.58620690,-8.79310345,-8.87272222,0.11557897,-8.79870649
13.65517241,-8.82758621,-8.63361881,0.11678082,-8.81451452
13.72413793,-8.86206897,-8.76681050,0.11799517,-8.84946874
13.79310345,-8.89655172,-8.93407787,0.11922215,-8.88982942
13.86206897,-8.93103448,-9.06184433,0.12046188,-8.92200763
13.93103448,-8.96551724,-9.05466849,0.12171450,-8.94037237
14.00000000,-9.00000000,-9.14911628,0.12298016,-8.96290621
14.06896552,-9.03448276,-8.77514021,0.12425897,-9.00022858
14.13793103,-9.06896552,-9.04831974,0.12555108,-9.03644494
14.20689655,-9.10344828,-8.95753709,0.12685662,-9.09640663
14.27586207,-9.13793103,-9.30037483,0.12817574,-9.13548046
14.34482759,-9.17241379,-9.14896819,0.12950858,-9.17028259
14.41379310,-9.20689655,-9.05276710,0.13085528,-9.18956028
14.48275862,-9.24137931,-9.28567309,0.13221598,-9.23312473
14.55172414,-9.27586207,-9.13811463,0.13359083,-9.25015226
14.62068966,-9.31034483,-9.45673978,0.13497998,-9.28303455
14.68965517,-9.34482759,-9.53078270,0.13638357,-9.31904944
14.75862069,-9.37931034,-9.32702827,0.13780176,-9.36441332
14.82758621,-9.41379310,-9.46658762,0.13923469,-9.38459054
14.89655172,-9.44827586,-9.35794999,0.14068253,-9.43675639
14.96551724,-9.48275862,-9.76390632,0.14214542,-9.47961160
15.03448276,-9.51724138,-9.41494343,0.14362352,-9.52507686
15.10344828,-9.55172414,-9.17466609,0.14511699,-9.57462758
15.17241379,-9.58620690,-9.58981771,0.14662599,-9.58714110
15.24137931,-9.62068966,-9.61563148,0.14815069,-9.61407849
15.31034483,-9.65517241,-9.62829543,0.14969123,-9.64816326
15.37931034,-9.68965517,-9.97127490,0.15124780,-9.66918035
15.44827586,-9.72413793,-9.65901397,0.15282055,-9.70795945
15.51724138,-9.75862069,-10.00651147,0.15440966,-9.73342745
15.58620690,-9.79310345,-9.85982801,0.15601529,-9.77888061
15.65517241,-9.82758621,-9.63166321,0.15763762,-9.82381073
15.72413793,-9.86206897,-9.97917198,0.15927682,-9.87813071
15.79310345,-9.89655172,-9.81588419,0.16093306,-9.91636474
15.86206897,-9.93103448,-9.76635650,0.16260653,-9.95919038
15.93103448,-9.96551724,-9.91972084,0.16429740,-9.97124854
16.00000000,-10.00000000,-10.22758546,0.16600585,-10.00356033
16.06896552,-10.03448276,-10.09024952,0.16773206,-10.00230701
16.13793103,-10.06896552,-9.73689188,0.16947623,-10.03399559
16.20689655,-10.10344828,-10.45021413,0.17123853,-10.07478505
16.27586207,-10.13793103,-10.18564730,0.17301916,-10.09443084
16.34482759,-10.17241379,-10.26893239,0.17481830,-10.12948112
16.41379310,-10.20689655,-10.18556820,0.17663615,-10.18239955
16.48275862,-10.24137931,-10.10784310,0.17847291,-10.23122990
16.55172414,-10.27586207,-9.98576882,0.18032876,-10.26019815
16.62068966,-10.31034483,-10.35958223,0.18220391,-10.29877438
16.68965517,-10.34482759,-10.19527671,0.18409856,-10.35565462
16.75862069,-10.37931034,-10.28635222,0.18601292,-10.35472909
16.82758621,-10.41379310,-10.32464087,0.18794717,-10.38148232
16.89655172,-10.44827586,-10.55536589,0.18990155,-10.41444361
16.96551724,-10.48275862,-10.67412092,0.19187624,-10.42876603
17.03448276,-10.51724138,-10.73050836,0.19387147,-10.45467412
17.10344828,-10.55172414,-10.69990069,0.19588745,-10.51513955
17.17241379,-10.58620690,-10.52253728,0.19792439,-10.55534344
17.24137931,-10.62068966,-10.46851309,0.19998251,-10.59956844
17.31034483,-10.65517241,-10.58981164,0.20206203,-10.62535545
17.37931034,-10.68965517,-10.80173159,0.20416318,-10.66228217
17.44827586,-10.72413793,-10.35159127,0.20628617,-10.68098891
