# alpha,gamma_b,dominant_mode_id,max_growth_rate
1.000000e-01,1.000000e+00,0.000000e+00,3.190465e-01
1.029576e-01,1.000000e+00,0.000000e+00,3.221613e-01
1.060026e-01,1.000000e+00,0.000000e+00,3.253065e-01
1.091377e-01,1.000000e+00,0.000000e+00,3.284825e-01
1.123655e-01,1.000000e+00,0.000000e+00,3.316894e-01
1.156888e-01,1.000000e+00,0.000000e+00,3.349277e-01
1.191103e-01,1.000000e+00,0.000000e+00,3.381975e-01
1.226331e-01,1.000000e+00,0.000000e+00,3.414993e-01
1.262600e-01,1.000000e+00,0.000000e+00,3.448333e-01
1.299942e-01,1.000000e+00,0.000000e+00,3.481999e-01
1.338389e-01,1.000000e+00,0.000000e+00,3.515993e-01
1.377972e-01,1.000000e+00,0.000000e+00,3.550320e-01
1.418727e-01,1.000000e+00,0.000000e+00,3.584981e-01
1.460686e-01,1.000000e+00,0.000000e+00,3.619981e-01
1.503887e-01,1.000000e+00,0.000000e+00,3.655322e-01
1.548365e-01,1.000000e+00,0.000000e+00,3.691009e-01
1.594159e-01,1.000000e+00,0.000000e+00,3.727044e-01
1.641307e-01,1.000000e+00,0.000000e+00,3.763431e-01
1.689850e-01,1.000000e+00,0.000000e+00,3.800173e-01
1.739828e-01,1.000000e+00,0.000000e+00,3.837273e-01
1.791284e-01,1.000000e+00,0.000000e+00,3.874736e-01
1.844263e-01,1.000000e+00,0.000000e+00,3.912565e-01
1.898808e-01,1.000000e+00,0.000000e+00,3.950763e-01
1.954966e-01,1.000000e+00,0.000000e+00,3.989334e-01
2.012785e-01,1.000000e+00,0.000000e+00,4.028281e-01
2.072315e-01,1.000000e+00,0.000000e+00,4.067609e-01
2.133605e-01,1.000000e+00,0.000000e+00,4.107321e-01
2.196707e-01,1.000000e+00,0.000000e+00,4.147420e-01
2.261676e-01,1.000000e+00,0.000000e+00,4.187911e-01
2.328566e-01,1.000000e+00,0.000000e+00,4.228797e-01
2.397435e-01,1.000000e+00,0.000000e+00,4.270082e-01
2.468340e-01,1.000000e+00,0.000000e+00,4.311771e-01
2.541343e-01,1.000000e+00,0.000000e+00,4.353866e-01
2.616505e-01,1.000000e+00,0.000000e+00,4.396372e-01
2.693889e-01,1.000000e+00,0.000000e+00,4.439294e-01
2.773563e-01,1.000000e+00,0.000000e+00,4.482634e-01
2.855592e-01,1.000000e+00,0.000000e+00,4.526398e-01
2.940048e-01,1.000000e+00,0.000000e+00,4.570588e-01
3.027002e-01,1.000000e+00,0.000000e+00,4.615211e-01
3.116527e-01,1.000000e+00,0.000000e+00,4.660268e-01
3.208700e-01,1.000000e+00,0.000000e+00,4.705766e-01
3.303599e-01,1.000000e+00,0.000000e+00,4.751708e-01
3.401305e-01,1.000000e+00,0.000000e+00,4.798098e-01
3.501900e-01,1.000000e+00,0.000000e+00,4.844942e-01
3.605471e-01,1.000000e+00,0.000000e+00,4.892242e-01
3.712105e-01,1.000000e+00,0.000000e+00,4.940005e-01
3.821893e-01,1.000000e+00,0.000000e+00,4.988234e-01
3.934927e-01,1.000000e+00,0.000000e+00,5.036933e-01
4.051305e-01,1.000000e+00,0.000000e+00,5.086108e-01
4.171125e-01,1.000000e+00,0.000000e+00,5.135764e-01
4.294488e-01,1.000000e+00,0.000000e+00,5.185903e-01
4.421500e-01,1.000000e+00,0.000000e+00,5.236533e-01
4.552268e-01,1.000000e+00,0.000000e+00,5.287657e-01
4.686904e-01,1.000000e+00,0.000000e+00,5.339280e-01
4.825522e-01,1.000000e+00,0.000000e+00,5.391406e-01
4.968240e-01,1.000000e+00,0.000000e+00,5.444042e-01
5.115178e-01,1.000000e+00,0.000000e+00,5.497192e-01
5.266462e-01,1.000000e+00,0.000000e+00,5.550860e-01
5.422221e-01,1.000000e+00,0.000000e+00,5.605053e-01
5.582586e-01,1.000000e+00,0.000000e+00,5.659774e-01
5.747694e-01,1.000000e+00,0.000000e+00,5.715030e-01
5.917686e-01,1.000000e+00,0.000000e+00,5.770825e-01
6.092705e-01,1.000000e+00,0.000000e+00,5.827165e-01
6.272900e-01,1.000000e+00,0.000000e+00,5.884055e-01
6.458424e-01,1.000000e+00,0.000000e+00,5.941501e-01
6.649436e-01,1.000000e+00,0.000000e+00,5.999507e-01
6.846097e-01,1.000000e+00,0.000000e+00,6.058080e-01
7.048574e-01,1.000000e+00,0.000000e+00,6.117224e-01
7.257040e-01,1.000000e+00,0.000000e+00,6.176946e-01
7.471671e-01,1.000000e+00,0.000000e+00,6.237251e-01
7.692650e-01,1.000000e+00,0.000000e+00,6.298144e-01
7.920164e-01,1.000000e+00,0.000000e+00,6.359633e-01
8.154407e-01,1.000000e+00,0.000000e+00,6.421721e-01
8.395579e-01,1.000000e+00,0.000000e+00,6.484416e-01
8.643883e-01,1.000000e+00,0.000000e+00,6.547722e-01
8.899530e-01,1.000000e+00,0.000000e+00,6.611647e-01
9.162739e-01,1.000000e+00,0.000000e+00,6.676196e-01
9.433732e-01,1.000000e+00,0.000000e+00,6.741375e-01
9.712740e-01,1.000000e+00,0.000000e+00,6.807190e-01
1.000000e+00,1.000000e+00,0.000000e+00,6.873648e-01
1.000000e-01,1.072267e+00,3.000000e+00,3.117116e-01
1.029576e-01,1.072267e+00,3.000000e+00,3.147548e-01
1.060026e-01,1.072267e+00,3.000000e+00,3.178277e-01
1.091377e-01,1.072267e+00,3.000000e+00,3.209306e-01
1.123655e-01,1.072267e+00,3.000000e+00,3.240639e-01
1.156888e-01,1.072267e+00,3.000000e+00,3.272277e-01
1.191103e-01,1.072267e+00,3.000000e+00,3.304223e-01
1.226331e-01,1.072267e+00,3.000000e+00,3.336482e-01
1.262600e-01,1.072267e+00,3.000000e+00,3.369056e-01
1.299942e-01,1.072267e+00,3.000000e+00,3.401948e-01
1.338389e-01,1.072267e+00,3.000000e+00,3.435161e-01
1.377972e-01,1.072267e+00,3.000000e+00,3.468698e-01
1.418727e-01,1.072267e+00,3.000000e+00,3.502562e-01
1.460686e-01,1.072267e+00,3.000000e+00,3.536757e-01
1.503887e-01,1.072267e+00,3.000000e+00,3.571286e-01
1.548365e-01,1.072267e+00,3.000000e+00,3.606153e-01
1.594159e-01,1.072267e+00,3.000000e+00,3.641359e-01
1.641307e-01,1.072267e+00,3.000000e+00,3.676909e-01
1.689850e-01,1.072267e+00,3.000000e+00,3.712807e-01
1.739828e-01,1.072267e+00,3.000000e+00,3.749054e-01
1.791284e-01,1.072267e+00,3.000000e+00,3.785656e-01
1.844263e-01,1.072267e+00,3.000000e+00,3.822615e-01
1.898808e-01,1.072267e+00,3.000000e+00,3.859935e-01
1.954966e-01,1.072267e+00,3.000000e+00,3.897619e-01
2.012785e-01,1.072267e+00,3.000000e+00,3.935671e-01
2.072315e-01,1.072267e+00,3.000000e+00,3.974094e-01
2.133605e-01,1.072267e+00,3.000000e+00,4.012893e-01
2.196707e-01,1.072267e+00,3.000000e+00,4.052071e-01
2.261676e-01,1.072267e+00,3.000000e+00,4.091631e-01
2.328566e-01,1.072267e+00,3.000000e+00,4.131577e-01
2.397435e-01,1.072267e+00,3.000000e+00,4.171913e-01
2.468340e-01,1.072267e+00,3.000000e+00,4.212643e-01
2.541343e-01,1.072267e+00,3.000000e+00,4.253770e-01
2.616505e-01,1.072267e+00,3.000000e+00,4.295300e-01
2.693889e-01,1.072267e+00,3.000000e+00,4.337234e-01
2.773563e-01,1.072267e+00,3.000000e+00,4.379578e-01
2.855592e-01,1.072267e+00,3.000000e+00,4.422336e-01
2.940048e-01,1.072267e+00,3.000000e+00,4.465510e-01
3.027002e-01,1.072267e+00,3.000000e+00,4.509107e-01
3.116527e-01,1.072267e+00,3.000000e+00,4.553129e-01
3.208700e-01,1.072267e+00,3.000000e+00,4.597580e-01
3.303599e-01,1.072267e+00,3.000000e+00,4.642466e-01
3.401305e-01,1.072267e+00,3.000000e+00,4.687790e-01
3.501900e-01,1.072267e+00,3.000000e+00,4.733556e-01
3.605471e-01,1.072267e+00,3.000000e+00,4.779770e-01
3.712105e-01,1.072267e+00,3.000000e+00,4.826434e-01
3.821893e-01,1.072267e+00,3.000000e+00,4.873554e-01
3.934927e-01,1.072267e+00,3.000000e+00,4.921134e-01
4.051305e-01,1.072267e+00,3.000000e+00,4.969179e-01
4.171125e-01,1.072267e+00,3.000000e+00,5.017692e-01
4.294488e-01,1.072267e+00,3.000000e+00,5.066679e-01
4.421500e-01,1.072267e+00,3.000000e+00,5.116145e-01
4.552268e-01,1.072267e+00,3.000000e+00,5.166093e-01
4.686904e-01,1.072267e+00,3.000000e+00,5.216529e-01
4.825522e-01,1.072267e+00,3.000000e+00,5.267458e-01
4.968240e-01,1.072267e+00,3.000000e+00,5.318883e-01
5.115178e-01,1.072267e+00,3.000000e+00,5.370811e-01
5.266462e-01,1.072267e+00,3.000000e+00,5.423246e-01
5.422221e-01,1.072267e+00,3.000000e+00,5.476192e-01
5.582586e-01,1.072267e+00,3.000000e+00,5.529656e-01
5.747694e-01,1.072267e+00,3.000000e+00,5.583641e-01
5.917686e-01,1.072267e+00,3.000000e+00,5.638154e-01
6.092705e-01,1.072267e+00,3.000000e+00,5.693199e-01
6.272900e-01,1.072267e+00,3.000000e+00,5.748781e-01
6.458424e-01,1.072267e+00,3.000000e+00,5.804905e-01
6.649436e-01,1.072267e+00,3.000000e+00,5.861578e-01
6.846097e-01,1.072267e+00,3.000000e+00,5.918804e-01
7.048574e-01,1.072267e+00,3.000000e+00,5.976589e-01
7.257040e-01,1.072267e+00,3.000000e+00,6.034938e-01
7.471671e-01,1.072267e+00,3.000000e+00,6.093856e-01
7.692650e-01,1.072267e+00,3.000000e+00,6.153350e-01
7.920164e-01,1.072267e+00,3.000000e+00,6.213424e-01
8.154407e-01,1.072267e+00,3.000000e+00,6.274085e-01
8.395579e-01,1.072267e+00,3.000000e+00,6.335339e-01
8.643883e-01,1.072267e+00,3.000000e+00,6.397190e-01
8.899530e-01,1.072267e+00,3.000000e+00,6.459645e-01
9.162739e-01,1.072267e+00,3.000000e+00,6.522710e-01
9.433732e-01,1.072267e+00,3.000000e+00,6.586390e-01
9.712740e-01,1.072267e+00,3.000000e+00,6.650693e-01
1.000000e+00,1.072267e+00,3.000000e+00,6.715623e-01
1.000000e-01,1.149757e+00,3.000000e+00,3.045453e-01
1.029576e-01,1.149757e+00,3.000000e+00,3.075186e-01
1.060026e-01,1.149757e+00,3.000000e+00,3.105208e-01
1.091377e-01,1.149757e+00,3.000000e+00,3.135524e-01
1.123655e-01,1.149757e+00,3.000000e+00,3.166136e-01
1.156888e-01,1.149757e+00,3.000000e+00,3.197047e-01
1.191103e-01,1.149757e+00,3.000000e+00,3.228259e-01
1.226331e-01,1.149757e+00,3.000000e+00,3.259776e-01
1.262600e-01,1.149757e+00,3.000000e+00,3.291601e-01
1.299942e-01,1.149757e+00,3.000000e+00,3.323737e-01
1.338389e-01,1.149757e+00,3.000000e+00,3.356186e-01
1.377972e-01,1.149757e+00,3.000000e+00,3.388952e-01
1.418727e-01,1.149757e+00,3.000000e+00,3.422038e-01
1.460686e-01,1.149757e+00,3.000000e+00,3.455447e-01
1.503887e-01,1.149757e+00,3.000000e+00,3.489182e-01
1.548365e-01,1.149757e+00,3.000000e+00,3.523247e-01
1.594159e-01,1.149757e+00,3.000000e+00,3.557644e-01
1.641307e-01,1.149757e+00,3.000000e+00,3.592377e-01
1.689850e-01,1.149757e+00,3.000000e+00,3.627449e-01
1.739828e-01,1.149757e+00,3.000000e+00,3.662863e-01
1.791284e-01,1.149757e+00,3.000000e+00,3.698624e-01
1.844263e-01,1.149757e+00,3.000000e+00,3.734733e-01
1.898808e-01,1.149757e+00,3.000000e+00,3.771195e-01
1.954966e-01,1.149757e+00,3.000000e+00,3.808012e-01
2.012785e-01,1.149757e+00,3.000000e+00,3.845190e-01
2.072315e-01,1.149757e+00,3.000000e+00,3.882730e-01
2.133605e-01,1.149757e+00,3.000000e+00,3.920637e-01
2.196707e-01,1.149757e+00,3.000000e+00,3.958913e-01
2.261676e-01,1.149757e+00,3.000000e+00,3.997564e-01
2.328566e-01,1.149757e+00,3.000000e+00,4.036592e-01
2.397435e-01,1.149757e+00,3.000000e+00,4.076000e-01
2.468340e-01,1.149757e+00,3.000000e+00,4.115794e-01
2.541343e-01,1.149757e+00,3.000000e+00,4.155976e-01
2.616505e-01,1.149757e+00,3.000000e+00,4.196550e-01
2.693889e-01,1.149757e+00,3.000000e+00,4.237521e-01
2.773563e-01,1.149757e+00,3.000000e+00,4.278891e-01
2.855592e-01,1.149757e+00,3.000000e+00,4.320666e-01
2.940048e-01,1.149757e+00,3.000000e+00,4.362848e-01
3.027002e-01,1.149757e+00,3.000000e+00,4.405442e-01
3.116527e-01,1.149757e+00,3.000000e+00,4.448452e-01
3.208700e-01,1.149757e+00,3.000000e+00,4.491882e-01
3.303599e-01,1.149757e+00,3.000000e+00,4.535736e-01
3.401305e-01,1.149757e+00,3.000000e+00,4.580017e-01
3.501900e-01,1.149757e+00,3.000000e+00,4.624732e-01
3.605471e-01,1.149757e+00,3.000000e+00,4.669883e-01
3.712105e-01,1.149757e+00,3.000000e+00,4.715474e-01
3.821893e-01,1.149757e+00,3.000000e+00,4.761511e-01
3.934927e-01,1.149757e+00,3.000000e+00,4.807997e-01
4.051305e-01,1.149757e+00,3.000000e+00,4.854937e-01
4.171125e-01,1.149757e+00,3.000000e+00,4.902335e-01
4.294488e-01,1.149757e+00,3.000000e+00,4.950196e-01
4.421500e-01,1.149757e+00,3.000000e+00,4.998524e-01
4.552268e-01,1.149757e+00,3.000000e+00,5.047325e-01
4.686904e-01,1.149757e+00,3.000000e+00,5.096601e-01
4.825522e-01,1.149757e+00,3.000000e+00,5.146359e-01
4.968240e-01,1.149757e+00,3.000000e+00,5.196602e-01
5.115178e-01,1.149757e+00,3.000000e+00,5.247336e-01
5.266462e-01,1.149757e+00,3.000000e+00,5.298565e-01
5.422221e-01,1.149757e+00,3.000000e+00,5.350294e-01
5.582586e-01,1.149757e+00,3.000000e+00,5.402529e-01
5.747694e-01,1.149757e+00,3.000000e+00,5.455273e-01
5.917686e-01,1.149757e+00,3.000000e+00,5.508532e-01
6.092705e-01,1.149757e+00,3.000000e+00,5.562312e-01
6.272900e-01,1.149757e+00,3.000000e+00,5.616616e-01
6.458424e-01,1.149757e+00,3.000000e+00,5.671450e-01
6.649436e-01,1.149757e+00,3.000000e+00,5.726820e-01
6.846097e-01,1.149757e+00,3.000000e+00,5.782731e-01
7.048574e-01,1.149757e+00,3.000000e+00,5.839187e-01
7.257040e-01,1.149757e+00,3.000000e+00,5.896194e-01
7.471671e-01,1.149757e+00,3.000000e+00,5.953758e-01
7.692650e-01,1.149757e+00,3.000000e+00,6.011884e-01
7.920164e-01,1.149757e+00,3.000000e+00,6.070577e-01
8.154407e-01,1.149757e+00,3.000000e+00,6.129844e-01
8.395579e-01,1.149757e+00,3.000000e+00,6.189689e-01
8.643883e-01,1.149757e+00,3.000000e+00,6.250118e-01
8.899530e-01,1.149757e+00,3.000000e+00,6.311138e-01
9.162739e-01,1.149757e+00,3.000000e+00,6.372752e-01
9.433732e-01,1.149757e+00,3.000000e+00,6.434969e-01
9.712740e-01,1.149757e+00,3.000000e+00,6.497793e-01
1.000000e+00,1.149757e+00,3.000000e+00,6.561230e-01
1.000000e-01,1.232847e+00,3.000000e+00,2.975438e-01
1.029576e-01,1.232847e+00,3.000000e+00,3.004487e-01
1.060026e-01,1.232847e+00,3.000000e+00,3.033820e-01
1.091377e-01,1.232847e+00,3.000000e+00,3.063438e-01
1.123655e-01,1.232847e+00,3.000000e+00,3.093347e-01
1.156888e-01,1.232847e+00,3.000000e+00,3.123547e-01
1.191103e-01,1.232847e+00,3.000000e+00,3.154041e-01
1.226331e-01,1.232847e+00,3.000000e+00,3.184834e-01
1.262600e-01,1.232847e+00,3.000000e+00,3.215927e-01
1.299942e-01,1.232847e+00,3.000000e+00,3.247324e-01
1.338389e-01,1.232847e+00,3.000000e+00,3.279027e-01
1.377972e-01,1.232847e+00,3.000000e+00,3.311040e-01
1.418727e-01,1.232847e+00,3.000000e+00,3.343365e-01
1.460686e-01,1.232847e+00,3.000000e+00,3.376006e-01
1.503887e-01,1.232847e+00,3.000000e+00,3.408966e-01
