# Figure 2: Chiral extrapolation data for hadron mass ratios
# Columns: particle, beta, a_fm, Mpi_sq_GeV2, r_pi_sq, r_X, r_X_err
particle,beta,a_fm,Mpi_sq_GeV2,r_pi_sq,r_X,r_X_err
N,3.30,0.12500000,0.42250000,0.24321810,0.99221081,0.01500000
N,3.30,0.12500000,0.28090000,0.16170406,0.94687341,0.01500000
N,3.30,0.12500000,0.16810000,0.09676914,0.91657019,0.01500000
N,3.30,0.12500000,0.10240000,0.05894801,0.90079923,0.01500000
N,3.30,0.12500000,0.04000000,0.02302657,0.87417191,0.01500000
N,3.57,0.08500000,0.31360000,0.18052828,0.87225198,0.01500000
N,3.57,0.08500000,0.23040000,0.13263302,0.85545205,0.01500000
N,3.57,0.08500000,0.14440000,0.08312590,0.82599905,0.01500000
N,3.57,0.08500000,0.03610000,0.02078148,0.78794296,0.01500000
N,3.70,0.06500000,0.34810000,0.20038869,0.85609712,0.01500000
N,3.70,0.06500000,0.26010000,0.14973024,0.82517022,0.01500000
N,3.70,0.06500000,0.17640000,0.10154715,0.80004981,0.01500000
N,3.70,0.06500000,0.14440000,0.08312590,0.79363443,0.01500000
N,3.70,0.06500000,0.09610000,0.05532132,0.76944583,0.01500000
Omega,3.30,0.12500000,0.42250000,0.24321810,1.51016420,0.03000000
Omega,3.30,0.12500000,0.28090000,0.16170406,1.47612939,0.03000000
Omega,3.30,0.12500000,0.16810000,0.09676914,1.46064297,0.03000000
Omega,3.30,0.12500000,0.10240000,0.05894801,1.45538104,0.03000000
Omega,3.30,0.12500000,0.04000000,0.02302657,1.42708639,0.03000000
Omega,3.57,0.08500000,0.31360000,0.18052828,1.39780654,0.03000000
Omega,3.57,0.08500000,0.23040000,0.13263302,1.39748669,0.03000000
Omega,3.57,0.08500000,0.14440000,0.08312590,1.37298068,0.03000000
Omega,3.57,0.08500000,0.03610000,0.02078148,1.34018850,0.03000000
Omega,3.70,0.06500000,0.34810000,0.20038869,1.38169681,0.03000000
Omega,3.70,0.06500000,0.26010000,0.14973024,1.35504301,0.03000000
Omega,3.70,0.06500000,0.17640000,0.10154715,1.33828220,0.03000000
Omega,3.70,0.06500000,0.14440000,0.08312590,1.33825143,0.03000000
Omega,3.70,0.06500000,0.09610000,0.05532132,1.30919425,0.03000000
