# Figure 3: Light hadron spectrum - lattice QCD vs experiment
# Columns: particle, exp_mass_GeV, lat_mass_GeV, lat_stat_err, lat_sys_err, lat_total_err
particle,exp_mass_GeV,lat_mass_GeV,lat_stat_err,lat_sys_err,lat_total_err
pi,0.13500000,0.13500000,0.00000000,0.00000000,0.00000000
K,0.49500000,0.49500000,0.00000000,0.00000000,0.00000000
rho,0.77500000,0.77500000,0.02900000,0.01300000,0.03178050
K*,0.89400000,0.90600000,0.01400000,0.00400000,0.01456022
N,0.93900000,0.93600000,0.02500000,0.02200000,0.03330165
Lambda,1.11600000,1.11400000,0.01500000,0.00500000,0.01581139
Sigma,1.19100000,1.16900000,0.01800000,0.01500000,0.02343075
Xi,1.31800000,1.31800000,0.00000000,0.00000000,0.00000000
Delta,1.23200000,1.24800000,0.09700000,0.06100000,0.11458621
Sigma*,1.38500000,1.42700000,0.04600000,0.03500000,0.05780138
Xi*,1.53300000,1.56500000,0.02600000,0.01500000,0.03001666
Omega,1.67200000,1.67600000,0.02000000,0.01500000,0.02500000
