# Figure S4: Volume dependence at Mpi~320 MeV, a~0.125 fm
# Columns: L_over_a, MpiL, aM_pi, aM_pi_err, aM_N, aM_N_err
L_over_a,MpiL,aM_pi,aM_pi_err,aM_N,aM_N_err
16,3.24329803,0.20750000,0.00250000,0.63000000,0.01500000
24,4.86494704,0.20400000,0.00150000,0.61000000,0.00800000
32,6.48659606,0.20350000,0.00100000,0.60700000,0.00600000
# Fit curves (L/a, aM_pi_fit, aM_N_fit):
# 12.00000000,0.21748586,0.68740294
# 12.14070352,0.21685604,0.68378571
# 12.28140704,0.21625711,0.68034591
# 12.42211055,0.21568740,0.67707391
# 12.56281407,0.21514534,0.67396070
# 12.70351759,0.21462944,0.67099776
# 12.84422111,0.21413832,0.66817711
# 12.98492462,0.21367066,0.66549123
# 13.12562814,0.21322524,0.66293304
# 13.26633166,0.21280089,0.66049589
# 13.40703518,0.21239652,0.65817349
# 13.54773869,0.21201110,0.65595992
# 13.68844221,0.21164366,0.65384961
# 13.82914573,0.21129328,0.65183730
# 13.96984925,0.21095910,0.64991801
# 14.11055276,0.21064030,0.64808706
# 14.25125628,0.21033611,0.64634001
# 14.39195980,0.21004580,0.64467269
# 14.53266332,0.20976869,0.64308113
# 14.67336683,0.20950411,0.64156160
# 14.81407035,0.20925146,0.64011056
# 14.95477387,0.20901015,0.63872467
# 15.09547739,0.20877964,0.63740075
# 15.23618090,0.20855939,0.63613581
# 15.37688442,0.20834892,0.63492700
# 15.51758794,0.20814775,0.63377164
# 15.65829146,0.20795544,0.63266717
# 15.79899497,0.20777158,0.63161119
# 15.93969849,0.20759575,0.63060138
# 16.08040201,0.20742759,0.62963559
# 16.22110553,0.20726674,0.62871175
# 16.36180905,0.20711284,0.62782789
# 16.50251256,0.20696559,0.62698217
# 16.64321608,0.20682467,0.62617281
# 16.78391960,0.20668978,0.62539814
# 16.92462312,0.20656066,0.62465657
# 17.06532663,0.20643704,0.62394658
# 17.20603015,0.20631867,0.62326673
# 17.34673367,0.20620530,0.62261566
# 17.48743719,0.20609673,0.62199206
# 17.62814070,0.20599272,0.62139470
# 17.76884422,0.20589307,0.62082240
# 17.90954774,0.20579759,0.62027403
# 18.05025126,0.20570609,0.61974854
# 18.19095477,0.20561840,0.61924490
# 18.33165829,0.20553434,0.61876215
# 18.47236181,0.20545377,0.61829937
# 18.61306533,0.20537651,0.61785568
# 18.75376884,0.20530244,0.61743025
# 18.89447236,0.20523140,0.61702227
# 19.03517588,0.20516327,0.61663099
# 19.17587940,0.20509792,0.61625568
# 19.31658291,0.20503524,0.61589565
# 19.45728643,0.20497510,0.61555025
# 19.59798995,0.20491739,0.61521884
# 19.73869347,0.20486202,0.61490083
# 19.87939698,0.20480888,0.61459564
# 20.02010050,0.20475788,0.61430272
# 20.16080402,0.20470893,0.61402157
# 20.30150754,0.20466193,0.61375167
# 20.44221106,0.20461682,0.61349255
# 20.58291457,0.20457350,0.61324376
# 20.72361809,0.20453190,0.61300487
# 20.86432161,0.20449196,0.61277545
# 21.00502513,0.20445360,0.61255512
# 21.14572864,0.20441675,0.61234350
# 21.28643216,0.20438135,0.61214022
# 21.42713568,0.20434735,0.61194494
# 21.56783920,0.20431469,0.61175732
# 21.70854271,0.20428330,0.61157706
# 21.84924623,0.20425314,0.61140385
# 21.98994975,0.20422416,0.61123740
# 22.13065327,0.20419631,0.61107743
# 22.27135678,0.20416953,0.61092368
# 22.41206030,0.20414380,0.61077590
# 22.55276382,0.20411907,0.61063384
# 22.69346734,0.20409529,0.61049727
# 22.83417085,0.20407243,0.61036597
# 22.97487437,0.20405045,0.61023972
# 23.11557789,0.20402931,0.61011833
# 23.25628141,0.20400898,0.61000160
# 23.39698492,0.20398944,0.60988934
