# Figure S5: Nucleon mass distribution from 432 fitting procedures
# Columns: bin_center_GeV, weighted_density
bin_center_GeV,weighted_density
0.83889318,0.00000000
0.84289318,0.00000000
0.84689318,0.00000000
0.85089318,0.00000000
0.85489318,0.00000000
0.85889318,0.00000000
0.86289318,0.00000000
0.86689318,0.00000000
0.87089318,0.00000000
0.87489318,0.00000000
0.87889318,0.00000000
0.88289318,0.00000000
0.88689318,0.00000000
0.89089318,0.00000000
0.89489318,1.18324874
0.89889318,0.99885155
0.90289318,1.61765027
0.90689318,4.27185301
0.91089318,2.64710089
0.91489318,7.58423776
0.91889318,14.06346506
0.92289318,18.69223314
0.92689318,28.52017483
0.93089318,25.03935886
0.93489318,20.53945607
0.93889318,30.76033801
0.94289318,27.16680025
0.94689318,21.45971283
0.95089318,16.69792562
0.95489318,9.08566803
0.95889318,8.48634621
0.96289318,4.29591189
0.96689318,2.08539573
0.97089318,3.18669001
0.97489318,1.06946913
0.97889318,0.00000000
0.98289318,0.00000000
0.98689318,0.00000000
0.99089318,0.54811210
0.99489318,0.00000000
0.99889318,0.00000000
1.00289318,0.00000000
1.00689318,0.00000000
1.01089318,0.00000000
1.01489318,0.00000000
1.01889318,0.00000000
1.02289318,0.00000000
1.02689318,0.00000000
1.03089318,0.00000000
1.03489318,0.00000000
