# Luscher phase shift function and pi-pi scattering
# Part 1: phi(q) function
q,phi_approx
0.01000000,0.00000100
0.01398798,0.00000274
0.01797595,0.00000581
0.02196393,0.00001060
0.02595190,0.00001748
0.02993988,0.00002684
0.03392786,0.00003905
0.03791583,0.00005451
0.04190381,0.00007358
0.04589178,0.00009665
0.04987976,0.00012410
0.05386774,0.00015631
0.05785571,0.00019366
0.06184369,0.00023653
0.06583166,0.00028530
0.06981964,0.00034036
0.07380762,0.00040207
0.07779559,0.00047083
0.08178357,0.00054701
0.08577154,0.00063100
0.08975952,0.00072317
0.09374749,0.00082391
0.09773547,0.00093359
0.10172345,0.03250813
0.10571142,0.03510700
0.10969940,0.03780579
0.11368737,0.04060452
0.11767535,0.04350317
0.12166333,0.04650174
0.12565130,0.04960025
0.12963928,0.05279868
0.13362725,0.05609704
0.13761523,0.05949533
0.14160321,0.06299354
0.14559118,0.06659169
0.14957916,0.07028976
0.15356713,0.07408775
0.15755511,0.07798568
0.16154309,0.08198353
0.16553106,0.08608131
0.16951904,0.09027902
0.17350701,0.09457665
0.17749499,0.09897422
0.18148297,0.10347171
0.18547094,0.10806912
0.18945892,0.11276647
0.19344689,0.11756374
0.19743487,0.12246094
0.20142285,0.12745807
0.20541082,0.13255512
0.20939880,0.13775210
0.21338677,0.14304901
0.21737475,0.14844585
0.22136273,0.15394261
0.22535070,0.15953931
0.22933868,0.16523593
0.23332665,0.17103247
0.23731463,0.17692895
0.24130261,0.18292535
0.24529058,0.18902168
0.24927856,0.19521794
0.25326653,0.20151412
0.25725451,0.20791023
0.26124248,0.21440627
0.26523046,0.22100224
0.26921844,0.22769813
0.27320641,0.23449395
0.27719439,0.24138970
0.28118236,0.24838538
0.28517034,0.25548098
0.28915832,0.26267652
0.29314629,0.26997198
0.29713427,0.27736736
0.30112224,0.28486268
0.30511022,0.29245792
0.30909820,0.30015309
0.31308617,0.30794818
0.31707415,0.31584321
0.32106212,0.32383816
0.32505010,0.33193304
0.32903808,0.34012784
0.33302605,0.34842258
0.33701403,0.35681724
0.34100200,0.36531183
0.34498998,0.37390635
0.34897796,0.38260079
0.35296593,0.39139516
0.35695391,0.40028946
0.36094188,0.40928369
0.36492986,0.41837784
0.36891784,0.42757192
0.37290581,0.43686593
0.37689379,0.44625987
0.38088176,0.45575373
0.38486974,0.46534752
0.38885772,0.47504124
0.39284569,0.48483489
0.39683367,0.49472846
0.40082164,0.50472196
0.40480962,0.51481539
0.40879760,0.52500874
0.41278557,0.53530203
0.41677355,0.54569524
0.42076152,0.55618838
0.42474950,0.56678144
0.42873747,0.57747444
0.43272545,0.58826736
0.43671343,0.59916021
0.44070140,0.61015298
0.44468938,0.62124569
0.44867735,0.63243832
0.45266533,0.64373088
0.45665331,0.65512336
0.46064128,0.66661577
0.46462926,0.67820811
0.46861723,0.68990038
0.47260521,0.70169258
0.47659319,0.71358470
0.48058116,0.72557675
0.48456914,0.73766873
0.48855711,0.74986064
0.49254509,0.76215247
0.49653307,0.77454423
0.50052104,0.78703592
0.50450902,0.79962753
0.50849699,0.81231908
0.51248497,0.82511055
0.51647295,0.83800195
0.52046092,0.85099327
0.52444890,0.86408452
0.52843687,0.87727570
0.53242485,0.89056681
0.53641283,0.90395785
0.54040080,0.91744881
0.54438878,0.93103970
0.54837675,0.94473052
0.55236473,0.95852126
0.55635271,0.97241194
0.56034068,0.98640254
0.56432866,1.00049306
0.56831663,1.01468352
0.57230461,1.02897390
0.57629259,1.04336421
0.58028056,1.05785445
0.58426854,1.07244462
0.58825651,1.08713471
0.59224449,1.10192473
0.59623246,1.11681468
0.60022044,1.13180455
0.60420842,1.14689435
0.60819639,1.16208408
0.61218437,1.17737374
0.61617234,1.19276333
0.62016032,1.20825284
0.62414830,1.22384228
0.62813627,1.23953165
0.63212425,1.25532094
0.63611222,1.27121016
0.64010020,1.28719931
0.64408818,1.30328839
0.64807615,1.31947739
0.65206413,1.33576633
0.65605210,1.35215519
0.66004008,1.36864397
0.66402806,1.38523269
0.66801603,1.40192133
0.67200401,1.41870990
0.67599198,1.43559840
0.67997996,1.45258682
0.68396794,1.46967517
0.68795591,1.48686345
0.69194389,1.50415166
0.69593186,1.52153979
0.69991984,1.53902786
0.70390782,1.55661585
0.70789579,1.57430376
0.71188377,1.59209161
0.71587174,1.60997938
0.71985972,1.62796708
0.72384770,1.64605471
0.72783567,1.66424226
0.73182365,1.68252974
0.73581162,1.70091715
0.73979960,1.71940449
0.74378758,1.73799175
0.74777555,1.75667894
0.75176353,1.77546606
0.75575150,1.79435311
0.75973948,1.81334008
0.76372745,1.83242699
0.76771543,1.85161382
0.77170341,1.87090057
0.77569138,1.89028726
0.77967936,1.90977387
0.78366733,1.92936041
0.78765531,1.94904687
0.79164329,1.96883327
0.79563126,1.98871959
