# pi-pi scattering phase shift in rho channel (I=1, J=1)
# Columns: k_MeV, delta_11_deg
k_MeV,delta_11_deg
10.00000000,0.00074948
10.98196393,0.00099226
11.96392786,0.00128237
12.94589178,0.00162398
13.92785571,0.00202121
14.90981964,0.00247820
15.89178357,0.00299903
16.87374749,0.00358778
17.85571142,0.00424850
18.83767535,0.00498521
19.81963928,0.00580191
20.80160321,0.00670257
21.78356713,0.00769112
22.76553106,0.00877149
23.74749499,0.00994754
24.72945892,0.01122313
25.71142285,0.01260208
26.69338677,0.01408816
27.67535070,0.01568513
28.65731463,0.01739670
29.63927856,0.01922654
30.62124248,0.02117831
31.60320641,0.02325560
32.58517034,0.02546200
33.56713427,0.02780102
34.54909820,0.03027617
35.53106212,0.03289091
36.51302605,0.03564865
37.49498998,0.03855278
38.47695391,0.04160664
39.45891784,0.04481354
40.44088176,0.04817675
41.42284569,0.05169949
42.40480962,0.05538497
43.38677355,0.05923633
44.36873747,0.06325670
45.35070140,0.06744915
46.33266533,0.07181674
47.31462926,0.07636247
48.29659319,0.08108931
49.27855711,0.08600021
50.26052104,0.09109806
51.24248497,0.09638574
52.22444890,0.10186609
53.20641283,0.10754191
54.18837675,0.11341597
55.17034068,0.11949102
56.15230461,0.12576977
57.13426854,0.13225489
58.11623246,0.13894905
59.09819639,0.14585487
60.08016032,0.15297494
61.06212425,0.16031185
62.04408818,0.16786814
63.02605210,0.17564635
64.00801603,0.18364896
64.98997996,0.19187846
65.97194389,0.20033732
66.95390782,0.20902798
67.93587174,0.21795285
68.91783567,0.22711435
69.89979960,0.23651486
70.88176353,0.24615676
71.86372745,0.25604242
72.84569138,0.26617417
73.82765531,0.27655436
74.80961924,0.28718532
75.79158317,0.29806937
76.77354709,0.30920880
77.75551102,0.32060594
78.73747495,0.33226309
79.71943888,0.34418252
80.70140281,0.35636655
81.68336673,0.36881746
82.66533066,0.38153754
83.64729459,0.39452909
84.62925852,0.40779440
85.61122244,0.42133577
86.59318637,0.43515550
87.57515030,0.44925591
88.55711423,0.46363931
89.53907816,0.47830803
90.52104208,0.49326441
91.50300601,0.50851079
92.48496994,0.52404954
93.46693387,0.53988302
94.44889780,0.55601363
95.43086172,0.57244378
96.41282565,0.58917589
97.39478958,0.60621241
98.37675351,0.62355579
99.35871743,0.64120852
100.34068136,0.65917311
101.32264529,0.67745210
102.30460922,0.69604805
103.28657315,0.71496353
104.26853707,0.73420116
105.25050100,0.75376359
106.23246493,0.77365348
107.21442886,0.79387356
108.19639279,0.81442655
109.17835671,0.83531523
110.16032064,0.85654241
