# Figure 2: Critical exponent nu vs L_min
# Columns: L_min, nu_1corr, nu_1corr_err, nu_2corr, nu_2corr_err, nu_3corr, nu_3corr_err
L_min,nu_1corr,nu_1corr_err,nu_2corr,nu_2corr_err,nu_3corr,nu_3corr_err
16,0.631814,0.000018,0.630806,0.000030,0.630072,0.000045
24,0.631046,0.000026,0.630513,0.000040,0.630049,0.000057
32,0.630722,0.000033,0.630241,0.000055,0.629980,0.000077
48,0.630350,0.000048,0.630278,0.000078,0.629990,0.000110
64,0.630319,0.000062,0.630210,0.000110,0.630060,0.000150
80,0.630285,0.000078,0.630100,0.000150,0.629930,0.000210
96,0.630250,0.000100,0.629930,0.000180,0.629900,0.000290
112,0.630140,0.000130,0.630010,0.000170,0.629930,0.000180
128,0.630040,0.000150,0.630040,0.000150,0.629840,0.000220
144,0.629850,0.000180,0.629850,0.000180,0.629960,0.000260
160,0.629950,0.000220,0.629950,0.000220,,
