# Figure 4: Critical coupling K_c vs L_min with fixed correction exponents
# Columns: L_min, Kc_1corr, Kc_1corr_err, Kc_2corr, Kc_2corr_err, Kc_3corr, Kc_3corr_err
L_min,Kc_1corr,Kc_1corr_err,Kc_2corr,Kc_2corr_err,Kc_3corr,Kc_3corr_err
16,0.2216546562,1.0e-09,0.2216546393,1.1e-09,0.2216546257,2.1e-09
24,0.2216546388,1.1e-09,0.2216546308,1.2e-09,0.2216546257,2.4e-09
32,0.2216546343,1.1e-09,0.2216546307,1.2e-09,0.2216546253,3.2e-09
48,0.2216546307,1.2e-09,0.2216546305,1.2e-09,0.2216546232,3.0e-09
64,0.2216546284,1.3e-09,0.2216546284,1.3e-09,0.2216546234,6.0e-09
80,0.2216546275,1.4e-09,0.2216546275,1.5e-09,0.2216546250,7.5e-09
96,0.2216546260,1.7e-09,0.2216546260,1.6e-09,0.2216546279,9.7e-09
112,0.2216546259,1.8e-09,0.2216546260,1.8e-09,0.2216546250,4.9e-09
128,0.2216546258,2.1e-09,0.2216546258,2.1e-09,0.2216546263,4.8e-09
144,0.2216546270,2.5e-09,0.2216546270,2.5e-09,0.2216546271,3.4e-09
160,0.2216546263,2.3e-09,0.2216546264,2.3e-09,,
