# Figure 5: Fourth-order magnetization cumulant U_4 vs K
# Columns: K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
0.2210000000,0.46941336,0.45991267,0.44034057,0.41061837,0.36729569
0.2210075377,0.46955493,0.46020091,0.44077799,0.41147575,0.36867554
0.2210150754,0.46969646,0.46048901,0.44121524,0.41233299,0.37005753
0.2210226131,0.46983797,0.46077696,0.44165232,0.41319006,0.37144160
0.2210301508,0.46997944,0.46106476,0.44208923,0.41404697,0.37282766
0.2210376884,0.47012088,0.46135242,0.44252597,0.41490368,0.37421561
0.2210452261,0.47026229,0.46163993,0.44296253,0.41576020,0.37560539
0.2210527638,0.47040367,0.46192729,0.44339891,0.41661650,0.37699689
0.2210603015,0.47054502,0.46221449,0.44383511,0.41747257,0.37839004
0.2210678392,0.47068633,0.46250155,0.44427114,0.41832840,0.37978476
0.2210753769,0.47082761,0.46278846,0.44470697,0.41918398,0.38118095
0.2210829146,0.47096886,0.46307522,0.44514262,0.42003928,0.38257853
0.2210904523,0.47111008,0.46336182,0.44557808,0.42089430,0.38397742
0.2210979899,0.47125126,0.46364827,0.44601336,0.42174902,0.38537752
0.2211055276,0.47139242,0.46393457,0.44644843,0.42260343,0.38677876
0.2211130653,0.47153353,0.46422072,0.44688332,0.42345752,0.38818105
0.2211206030,0.47167462,0.46450671,0.44731800,0.42431126,0.38958429
0.2211281407,0.47181567,0.46479255,0.44775249,0.42516465,0.39098841
0.2211356784,0.47195670,0.46507823,0.44818677,0.42601766,0.39239331
0.2211432161,0.47209768,0.46536376,0.44862085,0.42687030,0.39379892
0.2211507538,0.47223864,0.46564913,0.44905472,0.42772253,0.39520514
0.2211582915,0.47237956,0.46593434,0.44948838,0.42857435,0.39661189
0.2211658291,0.47252045,0.46621939,0.44992184,0.42942574,0.39801908
0.2211733668,0.47266130,0.46650429,0.45035508,0.43027669,0.39942662
0.2211809045,0.47280213,0.46678903,0.45078810,0.43112718,0.40083443
0.2211884422,0.47294291,0.46707361,0.45122091,0.43197720,0.40224242
0.2211959799,0.47308367,0.46735803,0.45165350,0.43282673,0.40365051
0.2212035176,0.47322439,0.46764229,0.45208587,0.43367576,0.40505861
0.2212110553,0.47336508,0.46792639,0.45251801,0.43452427,0.40646663
0.2212185930,0.47350573,0.46821033,0.45294993,0.43537224,0.40787449
0.2212261307,0.47364635,0.46849410,0.45338162,0.43621967,0.40928210
0.2212336683,0.47378694,0.46877772,0.45381308,0.43706654,0.41068937
0.2212412060,0.47392749,0.46906117,0.45424430,0.43791283,0.41209623
0.2212487437,0.47406801,0.46934445,0.45467530,0.43875852,0.41350259
0.2212562814,0.47420849,0.46962758,0.45510605,0.43960361,0.41490835
0.2212638191,0.47434894,0.46991053,0.45553657,0.44044807,0.41631345
0.2212713568,0.47448935,0.47019333,0.45596684,0.44129189,0.41771778
0.2212788945,0.47462974,0.47047595,0.45639687,0.44213506,0.41912128
0.2212864322,0.47477008,0.47075841,0.45682666,0.44297756,0.42052385
0.2212939698,0.47491039,0.47104071,0.45725619,0.44381937,0.42192541
0.2213015075,0.47505067,0.47132284,0.45768548,0.44466048,0.42332589
0.2213090452,0.47519091,0.47160479,0.45811451,0.44550088,0.42472518
0.2213165829,0.47533112,0.47188658,0.45854329,0.44634054,0.42612323
0.2213241206,0.47547129,0.47216821,0.45897182,0.44717946,0.42751994
0.2213316583,0.47561143,0.47244966,0.45940008,0.44801761,0.42891523
0.2213391960,0.47575153,0.47273094,0.45982809,0.44885499,0.43030902
0.2213467337,0.47589160,0.47301205,0.46025583,0.44969157,0.43170123
0.2213542714,0.47603163,0.47329299,0.46068330,0.45052734,0.43309178
0.2213618090,0.47617163,0.47357376,0.46111051,0.45136229,0.43448059
0.2213693467,0.47631159,0.47385436,0.46153745,0.45219639,0.43586759
0.2213768844,0.47645151,0.47413478,0.46196411,0.45302964,0.43725269
0.2213844221,0.47659140,0.47441503,0.46239051,0.45386202,0.43863581
0.2213919598,0.47673126,0.47469511,0.46281662,0.45469351,0.44001689
0.2213994975,0.47687108,0.47497501,0.46324246,0.45552410,0.44139583
0.2214070352,0.47701086,0.47525474,0.46366802,0.45635377,0.44277257
0.2214145729,0.47715061,0.47553429,0.46409329,0.45718250,0.44414704
0.2214221106,0.47729032,0.47581367,0.46451828,0.45801029,0.44551914
0.2214296482,0.47742999,0.47609287,0.46494299,0.45883711,0.44688882
0.2214371859,0.47756963,0.47637189,0.46536740,0.45966295,0.44825599
0.2214447236,0.47770923,0.47665074,0.46579152,0.46048779,0.44962059
0.2214522613,0.47784880,0.47692940,0.46621535,0.46131162,0.45098254
0.2214597990,0.47798833,0.47720789,0.46663889,0.46213442,0.45234176
0.2214673367,0.47812782,0.47748620,0.46706212,0.46295619,0.45369820
0.2214748744,0.47826728,0.47776433,0.46748506,0.46377689,0.45505177
0.2214824121,0.47840670,0.47804228,0.46790769,0.46459651,0.45640241
0.2214899497,0.47854609,0.47832005,0.46833002,0.46541505,0.45775004
0.2214974874,0.47868543,0.47859764,0.46875205,0.46623249,0.45909461
0.2215050251,0.47882474,0.47887505,0.46917377,0.46704880,0.46043604
0.2215125628,0.47896402,0.47915227,0.46959517,0.46786398,0.46177426
0.2215201005,0.47910325,0.47942932,0.47001626,0.46867800,0.46310921
0.2215276382,0.47924245,0.47970618,0.47043704,0.46949086,0.46444082
0.2215351759,0.47938161,0.47998285,0.47085750,0.47030254,0.46576903
0.2215427136,0.47952074,0.48025934,0.47127765,0.47111302,0.46709378
0.2215502513,0.47965982,0.48053565,0.47169747,0.47192229,0.46841499
0.2215577889,0.47979887,0.48081177,0.47211697,0.47273033,0.46973261
0.2215653266,0.47993789,0.48108771,0.47253614,0.47353713,0.47104658
0.2215728643,0.48007686,0.48136346,0.47295498,0.47434267,0.47235684
0.2215804020,0.48021580,0.48163902,0.47337350,0.47514693,0.47366332
0.2215879397,0.48035470,0.48191440,0.47379168,0.47594991,0.47496596
0.2215954774,0.48049356,0.48218959,0.47420954,0.47675159,0.47626471
0.2216030151,0.48063238,0.48246459,0.47462705,0.47755195,0.47755951
