# Topological charge evolution: Wilson vs Luscher action
# Columns: sweep, Q_wilson(beta=2.0), Q_luscher_N0(beta=0.5,eps=1.0), Q_luscher_N2(beta=0.5,eps=1.0)
# L=16, 500 sweeps
sweep,Q_wilson,Q_luscher_N0,Q_luscher_N2
0,0,0,2
1,0,0,2
2,0,0,2
3,0,0,2
4,0,0,2
5,0,0,2
6,0,0,2
7,0,0,2
8,-1,0,2
9,-1,0,2
10,-1,0,2
11,-1,0,2
12,-1,0,2
13,-1,0,2
14,-2,0,2
15,-3,0,2
16,-4,0,2
17,-3,0,2
18,-2,0,2
19,-2,0,2
20,-2,0,2
21,-2,0,2
22,-1,0,2
23,-1,0,2
24,0,0,2
25,-1,0,2
26,-1,0,2
27,-1,0,2
28,0,0,2
29,0,0,2
30,-1,0,2
31,-1,0,2
32,-1,0,2
33,-2,0,2
34,-1,0,2
35,-2,0,2
36,-4,0,2
37,-3,0,2
38,-3,0,2
39,-3,0,2
40,-2,0,2
41,-2,0,2
42,-3,0,2
43,-3,0,2
44,-3,0,2
45,-3,0,2
46,-2,0,2
47,-1,0,2
48,-2,0,2
49,-1,0,2
50,-1,0,2
51,-2,0,2
52,-2,0,2
53,-2,0,2
54,-1,0,2
55,-1,0,2
56,0,0,2
57,-2,0,2
58,-3,0,2
59,-3,0,2
60,-2,0,2
61,-1,0,2
62,-1,0,2
63,0,0,2
64,0,0,2
65,0,0,2
66,0,0,2
67,0,0,2
68,0,0,2
69,-2,0,2
70,-1,0,2
71,-1,0,2
72,1,0,2
73,0,0,2
74,0,0,2
75,-2,0,2
76,-3,0,2
77,-3,0,2
78,-4,0,2
79,-4,0,2
80,-5,0,2
81,-4,0,2
82,-5,0,2
83,-5,0,2
84,-5,0,2
85,-5,0,2
86,-6,0,2
87,-5,0,2
88,-5,0,2
89,-5,0,2
90,-4,0,2
91,-5,0,2
92,-6,0,2
93,-5,0,2
94,-7,0,2
95,-7,0,2
96,-7,0,2
97,-7,0,2
98,-4,0,2
99,-6,0,2
100,-5,0,2
101,-4,0,2
102,-4,0,2
103,-5,0,2
104,-5,0,2
105,-4,0,2
106,-4,0,2
107,-3,0,2
108,-4,0,2
109,-4,0,2
110,-3,0,2
111,-4,0,2
112,-4,0,2
113,-4,0,2
114,-5,0,2
115,-5,0,2
116,-4,0,2
117,-4,0,2
118,-4,0,2
119,-3,0,2
120,-3,0,2
121,-4,0,2
122,-3,0,2
123,-2,0,2
124,-1,0,2
125,-2,0,2
126,-2,0,2
127,-2,0,2
128,-2,0,2
129,-2,0,2
130,-3,0,2
131,-2,0,2
132,-3,0,2
133,-2,0,2
134,-2,0,2
135,-2,0,2
136,-2,0,2
137,-2,0,2
138,-2,0,2
139,-2,0,2
140,-1,0,2
141,-1,0,2
142,-2,0,2
143,-1,0,2
144,-2,0,2
145,-2,0,2
146,-1,0,2
147,-1,0,2
148,-1,0,2
149,-1,0,2
150,-1,0,2
151,-1,0,2
152,-1,0,2
153,-2,0,2
154,-3,0,2
155,-4,0,2
156,-2,0,2
157,-3,0,2
158,-3,0,2
159,-4,0,2
160,-5,0,2
161,-5,0,2
162,-5,0,2
163,-5,0,2
164,-4,0,2
165,-4,0,2
166,-4,0,2
167,-6,0,2
168,-5,0,2
169,-6,0,2
170,-7,0,2
171,-8,0,2
172,-8,0,2
173,-7,0,2
174,-7,0,2
175,-7,0,2
176,-6,0,2
177,-5,0,2
178,-5,0,2
179,-5,0,2
180,-4,0,2
181,-4,0,2
182,-4,0,2
183,-6,0,2
184,-4,0,2
185,-4,0,2
186,-5,0,2
