# Minimum classical action S_Gmin^N vs topological charge
# Luscher action, L=16, beta=0.5, epsilon=1.0
# Columns: N, N_squared, S_Gmin, S_fit_quadratic
N,N_squared,S_Gmin,S_fit_quadratic
0.00000000,0.00000000,0.00000000,-0.08733246
1.00000000,1.00000000,0.03952118,-0.03708594
2.00000000,4.00000000,0.16213983,0.11365362
3.00000000,9.00000000,0.37438143,0.36488622
4.00000000,16.00000000,0.68342293,0.71661186
5.00000000,25.00000000,1.09717925,1.16883054
6.00000000,36.00000000,1.62440384,1.72154226
7.00000000,49.00000000,2.27480631,2.37474702
8.00000000,64.00000000,3.05919027,3.12844482
9.00000000,81.00000000,3.98961590,3.98263567
10.00000000,100.00000000,5.07959222,4.93731955
