# Theta dependence of pion mass
# L=16, L3=6, M=0.9, beta=0.5, eps=1.0, m=0.2
# m_pi(theta=0) = 0.50000000
# Continuum: m_pi(theta) = m_pi(0) * |cos(theta/2)|^(2/3)
theta_over_2pi,theta_rad,m_pion,m_pion_err
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-02,3.14159265e-01,0.00000000e+00,0.00000000e+00
1.00000000e-01,6.28318531e-01,0.00000000e+00,0.00000000e+00
1.50000000e-01,9.42477796e-01,0.00000000e+00,0.00000000e+00
2.00000000e-01,1.25663706e+00,0.00000000e+00,0.00000000e+00
2.50000000e-01,1.57079633e+00,0.00000000e+00,0.00000000e+00
3.00000000e-01,1.88495559e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.19911486e+00,0.00000000e+00,0.00000000e+00
4.00000000e-01,2.51327412e+00,0.00000000e+00,0.00000000e+00
4.50000000e-01,2.82743339e+00,0.00000000e+00,0.00000000e+00
5.00000000e-01,3.14159265e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,3.45575192e+00,0.00000000e+00,0.00000000e+00
6.00000000e-01,3.76991118e+00,0.00000000e+00,0.00000000e+00
6.50000000e-01,4.08407045e+00,0.00000000e+00,0.00000000e+00
7.00000000e-01,4.39822972e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,4.71238898e+00,0.00000000e+00,0.00000000e+00
8.00000000e-01,5.02654825e+00,0.00000000e+00,0.00000000e+00
8.50000000e-01,5.34070751e+00,0.00000000e+00,0.00000000e+00
9.00000000e-01,5.65486678e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,5.96902604e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.28318531e+00,0.00000000e+00,0.00000000e+00
