# Figure 1: Stability threshold from Eq.(25), Z=1
# Columns: B_T [T], T_crit_nr_5e-4 [eV], T_crit_nr_1e-3 [eV], T_crit_nr_5e-3 [eV]
B_T,T_crit_nr_5e-4,T_crit_nr_1e-3,T_crit_nr_5e-3
1.00000000,21.54434690,13.57208808,4.64158883
1.01507538,21.76033258,13.70815053,4.68812154
1.03015075,21.97525162,13.84354104,4.73442444
1.04522613,22.18912478,13.97827269,4.78050202
1.06030151,22.40197213,14.11235812,4.82635859
1.07537688,22.61381307,14.24580955,4.87199834
1.09045226,22.82466638,14.37863881,4.91742530
1.10552764,23.03455021,14.51085734,4.96264340
1.12060302,23.24348215,14.64247622,5.00765643
1.13567839,23.45147924,14.77350618,5.05246804
1.15075377,23.65855800,14.90395762,5.09708181
1.16582915,23.86473442,15.03384062,5.14150117
1.18090452,24.07002403,15.16316498,5.18572948
1.19597990,24.27444190,15.29194016,5.22976997
1.21105528,24.47800265,15.42017540,5.27362580
1.22613065,24.68072047,15.54787962,5.31730004
1.24120603,24.88260915,15.67506153,5.36079563
1.25628141,25.08368211,15.80172955,5.40411549
1.27135678,25.28395235,15.92789189,5.44726240
1.28643216,25.48343255,16.05355655,5.49023911
1.30150754,25.68213503,16.17873127,5.53304826
1.31658291,25.88007178,16.30342361,5.57569244
1.33165829,26.07725447,16.42764092,5.61817417
1.34673367,26.27369446,16.55139035,5.66049588
1.36180905,26.46940280,16.67467889,5.70265996
1.37688442,26.66439030,16.79751331,5.74466874
1.39195980,26.85866743,16.91990024,5.78652448
1.40703518,27.05224446,17.04184612,5.82822939
1.42211055,27.24513135,17.16335725,5.86978561
1.43718593,27.43733786,17.28443976,5.91119525
1.45226131,27.62887347,17.40509964,5.95246035
1.46733668,27.81974747,17.52534272,5.99358290
1.48241206,28.00996888,17.64517470,6.03456486
1.49748744,28.19954656,17.76460116,6.07540814
1.51256281,28.38848913,17.88362751,6.11611458
1.52763819,28.57680501,18.00225908,6.15668600
1.54271357,28.76450243,18.12050105,6.19712419
1.55778894,28.95158945,18.23835849,6.23743086
1.57286432,29.13807392,18.35583634,6.27760773
1.58793970,29.32396354,18.47293946,6.31765643
1.60301508,29.50926581,18.58967258,6.35757859
1.61809045,29.69398810,18.70604033,6.39737581
1.63316583,29.87813760,18.82204725,6.43704961
1.64824121,30.06172135,18.93769776,6.47660153
1.66331658,30.24474623,19.05299621,6.51603305
1.67839196,30.42721900,19.16794685,6.55534561
1.69346734,30.60914624,19.28255383,6.59454065
1.70854271,30.79053444,19.39682124,6.63361955
1.72361809,30.97138991,19.51075305,6.67258368
1.73869347,31.15171887,19.62435317,6.71143438
1.75376884,31.33152740,19.73762545,6.75017295
1.76884422,31.51082144,19.85057362,6.78880068
1.78391960,31.68960684,19.96320136,6.82731883
1.79899497,31.86788932,20.07551229,6.86572862
1.81407035,32.04567449,20.18750993,6.90403128
1.82914573,32.22296786,20.29919775,6.94222798
1.84422111,32.39977482,20.41057916,6.98031988
1.85929648,32.57610067,20.52165748,7.01830814
1.87437186,32.75195060,20.63243599,7.05619385
1.88944724,32.92732971,20.74291791,7.09397814
1.90452261,33.10224299,20.85310637,7.13166206
1.91959799,33.27669537,20.96300448,7.16924669
1.93467337,33.45069166,21.07261528,7.20673305
1.94974874,33.62423659,21.18194173,7.24412217
1.96482412,33.79733481,21.29098678,7.28141505
1.97989950,33.96999088,21.39975329,7.31861268
1.99497487,34.14220929,21.50824409,7.35571601
2.01005025,34.31399444,21.61646195,7.39272600
2.02512563,34.48535067,21.72440961,7.42964358
2.04020101,34.65628221,21.83208973,7.46646966
2.05527638,34.82679325,21.93950496,7.50320515
2.07035176,34.99688790,22.04665787,7.53985093
2.08542714,35.16657020,22.15355102,7.57640788
2.10050251,35.33584411,22.26018690,7.61287683
2.11557789,35.50471353,22.36656798,7.64925865
2.13065327,35.67318232,22.47269666,7.68555415
2.14572864,35.84125424,22.57857534,7.72176415
2.16080402,36.00893300,22.68420634,7.75788944
2.17587940,36.17622227,22.78959197,7.79393082
2.19095477,36.34312562,22.89473449,7.82988906
2.20603015,36.50964661,22.99963614,7.86576492
2.22110553,36.67578870,23.10429910,7.90155915
2.23618090,36.84155533,23.20872553,7.93727248
2.25125628,37.00694986,23.31291756,7.97290566
2.26633166,37.17197562,23.41687728,8.00845938
2.28140704,37.33663587,23.52060673,8.04393435
2.29648241,37.50093383,23.62410796,8.07933127
2.31155779,37.66487266,23.72738295,8.11465083
2.32663317,37.82845549,23.83043368,8.14989368
2.34170854,37.99168539,23.93326207,8.18506049
2.35678392,38.15456538,24.03587004,8.22015192
2.37185930,38.31709845,24.13825945,8.25516861
2.38693467,38.47928753,24.24043217,8.29011119
2.40201005,38.64113551,24.34239001,8.32498028
2.41708543,38.80264525,24.44413477,8.35977650
2.43216080,38.96381956,24.54566822,8.39450045
2.44723618,39.12466121,24.64699211,8.42915273
2.46231156,39.28517292,24.74810815,8.46373393
2.47738693,39.44535739,24.84901805,8.49824463
2.49246231,39.60521726,24.94972346,8.53268540
2.50753769,39.76475517,25.05022604,8.56705680
2.52261307,39.92397367,25.15052741,8.60135938
2.53768844,40.08287532,25.25062918,8.63559371
2.55276382,40.24146262,25.35053292,8.66976030
2.56783920,40.39973805,25.45024019,8.70385971
2.58291457,40.55770404,25.54975253,8.73789245
2.59798995,40.71536300,25.64907145,8.77185905
2.61306533,40.87271730,25.74819845,8.80576000
2.62814070,41.02976929,25.84713500,8.83959583
2.64321608,41.18652128,25.94588256,8.87336702
2.65829146,41.34297553,26.04444257,8.90707407
2.67336683,41.49913431,26.14281644,8.94071746
2.68844221,41.65499983,26.24100556,8.97429767
2.70351759,41.81057429,26.33901133,9.00781517
2.71859296,41.96585984,26.43683509,9.04127042
2.73366834,42.12085862,26.53447821,9.07466390
2.74874372,42.27557273,26.63194199,9.10799604
2.76381910,42.43000426,26.72922776,9.14126731
2.77889447,42.58415526,26.82633680,9.17447813
2.79396985,42.73802776,26.92327040,9.20762896
