# Figure 2: Dispersion relations at theta_k=85deg
# Columns: k [m^-1], omega_magnetosonic/omega_ci, omega_whistler/omega_ci, omega_analytic/omega_ci
k,omega_magnetosonic,omega_whistler,omega_analytic
5.00000000,0.22771077,0.00451922,0.22775561
7.99331104,0.36403260,0.01154986,0.36421578
10.98662207,0.50035443,0.02181984,0.50082997
13.97993311,0.63667626,0.03532916,0.63765571
16.97324415,0.77299809,0.05207783,0.77475038
19.96655518,0.90931992,0.07206583,0.91217115
22.95986622,1.04564175,0.09529318,1.04997498
25.95317726,1.18196358,0.12175988,1.18821857
28.94648829,1.31828541,0.15146591,1.32695831
31.93979933,1.45460724,0.18441129,1.46625024
34.93311037,1.59092907,0.22059601,1.60615003
37.92642140,1.72725091,0.26002007,1.74671295
40.91973244,1.86357274,0.30268347,1.88799381
43.91304348,1.99989457,0.34858622,2.03004695
46.90635452,2.13621640,0.39772830,2.17292621
49.89966555,2.27253823,0.45010973,2.31668487
52.89297659,2.40886006,0.50573050,2.46137566
55.88628763,2.54518189,0.56459062,2.60705071
58.87959866,2.68150372,0.62669007,2.75376155
61.87290970,2.81782555,0.69202887,2.90155903
64.86622074,2.95414738,0.76060701,3.05049337
67.85953177,3.09046921,0.83242449,3.20061408
70.85284281,3.22679104,0.90748132,3.35196998
73.84615385,3.36311287,0.98577749,3.50460917
76.83946488,3.49943470,1.06731300,3.65857900
79.83277592,3.63575653,1.15208785,3.81392606
82.82608696,3.77207837,1.24010204,3.97069619
85.81939799,3.90840020,1.33135557,4.12893446
88.81270903,4.04472203,1.42584845,4.28868512
91.80602007,4.18104386,1.52358067,4.44999166
94.79933110,4.31736569,1.62455223,4.61289675
97.79264214,4.45368752,1.72876314,4.77744226
100.78595318,4.59000935,1.83621338,4.94366923
103.77926421,4.72633118,1.94690297,5.11161791
106.77257525,4.86265301,2.06083190,5.28132772
109.76588629,4.99897484,2.17800018,5.45283726
112.75919732,5.13529667,2.29840779,5.62618435
115.75250836,5.27161850,2.42205475,5.80140594
118.74581940,5.40794033,2.54894105,5.97853821
121.73913043,5.54426216,2.67906669,6.15761653
124.73244147,5.68058400,2.81243167,6.33867545
127.72575251,5.81690583,2.94903600,6.52174875
130.71906355,5.95322766,3.08887967,6.70686940
133.71237458,6.08954949,3.23196268,6.89406960
136.70568562,6.22587132,3.37828503,7.08338079
139.69899666,6.36219315,3.52784672,7.27483362
142.69230769,6.49851498,3.68064776,7.46845800
145.68561873,6.63483681,3.83668814,7.66428310
148.67892977,6.77115864,3.99596786,7.86233734
151.67224080,6.90748047,4.15848692,8.06264844
154.66555184,7.04380230,4.32424533,8.26524340
157.65886288,7.18012413,4.49324307,8.47014852
160.65217391,7.31644596,4.66548016,8.67738939
163.64548495,7.45276779,4.84095659,8.88699097
166.63879599,7.58908963,5.01967237,9.09897753
169.63210702,7.72541146,5.20162748,9.31337268
172.62541806,7.86173329,5.38682194,9.53019942
175.61872910,7.99805512,5.57525574,9.74948010
178.61204013,8.13437695,5.76692888,9.97123649
181.60535117,8.27069878,5.96184137,10.19548973
184.59866221,8.40702061,6.15999320,10.42226039
187.59197324,8.54334244,6.36138436,10.65156848
190.58528428,8.67966427,6.56601488,10.88343343
193.57859532,8.81598610,6.77388473,11.11787413
196.57190635,8.95230793,6.98499392,11.35490896
199.56521739,9.08862976,7.19934246,11.59455574
202.55852843,9.22495159,7.41693034,11.83683182
205.55183946,9.36127342,7.63775756,12.08175404
208.54515050,9.49759525,7.86182413,12.32933876
