# Figure 3: Growth rate vs wave number at theta_k=85deg
# Analytical columns: k [m^-1], gamma_eq22/omega_ci, gamma_eq20/omega_ci
k,gamma_eq22,gamma_eq20
20.00000000,0.00000000,0.00000000
24.42211055,0.00000000,0.00000000
28.84422111,0.00000009,0.00000008
33.26633166,0.00000078,0.00000077
37.68844221,0.00000432,0.00000424
42.11055276,0.00001681,0.00001646
46.53266332,0.00005100,0.00004982
50.95477387,0.00012846,0.00012523
55.37688442,0.00028080,0.00027316
59.79899497,0.00054931,0.00053324
64.22110553,0.00098354,0.00095275
68.64321608,0.00163906,0.00158440
73.06532663,0.00257488,0.00248373
77.48743719,0.00385082,0.00370661
81.90954774,0.00552524,0.00530700
86.33165829,0.00765310,0.00733511
90.75376884,0.01028444,0.00983600
95.17587940,0.01346339,0.01284867
99.59798995,0.01722745,0.01640543
104.02010050,0.02160724,0.02053173
108.44221106,0.02662640,0.02524617
112.86432161,0.03230182,0.03056071
117.28643216,0.03864390,0.03648105
121.70854271,0.04565706,0.04300715
126.13065327,0.05334018,0.05013371
130.55276382,0.06168720,0.05785078
134.97487437,0.07068763,0.06614432
139.39698492,0.08032716,0.07499675
143.81909548,0.09058816,0.08438752
148.24120603,0.10145020,0.09429360
152.66331658,0.11289056,0.10468997
157.08542714,0.12488461,0.11555001
161.50753769,0.13740628,0.12684598
165.92964824,0.15042839,0.13854929
170.35175879,0.16392298,0.15063084
174.77386935,0.17786161,0.16306130
179.19597990,0.19221559,0.17581137
183.61809045,0.20695624,0.18885193
188.04020101,0.22205507,0.20215427
192.46231156,0.23748390,0.21569022
196.88442211,0.25321508,0.22943227
201.30653266,0.26922154,0.24335366
205.72864322,0.28547691,0.25742850
210.15075377,0.30195560,0.27163179
214.57286432,0.31863284,0.28593949
218.99497487,0.33548476,0.30032855
223.41708543,0.35248840,0.31477695
227.83919598,0.36962173,0.32926366
232.26130653,0.38686369,0.34376871
236.68341709,0.40419417,0.35827313
241.10552764,0.42159400,0.37275898
245.52763819,0.43904498,0.38720930
249.94974874,0.45652982,0.40160811
254.37185930,0.47403216,0.41594040
258.79396985,0.49153653,0.43019205
263.21608040,0.50902835,0.44434987
267.63819095,0.52649386,0.45840149
272.06030151,0.54392013,0.47233543
276.48241206,0.56129503,0.48614095
280.90452261,0.57860717,0.49980812
285.32663317,0.59584591,0.51332771
289.74874372,0.61300130,0.52669122
294.17085427,0.63006407,0.53989078
298.59296482,0.64702557,0.55291919
303.01507538,0.66387779,0.56576982
307.43718593,0.68061328,0.57843664
311.85929648,0.69722515,0.59091412
316.28140704,0.71370703,0.60319728
320.70351759,0.73005305,0.61528159
325.12562814,0.74625780,0.62716301
329.54773869,0.76231635,0.63883789
333.96984925,0.77822415,0.65030302
338.39195980,0.79397707,0.66155554
342.81407035,0.80957136,0.67259295
347.23618090,0.82500359,0.68341310
351.65829146,0.84027071,0.69401415
356.08040201,0.85536995,0.70439453
360.50251256,0.87029883,0.71455297
364.92462312,0.88505517,0.72448845
369.34673367,0.89963702,0.73420018
373.76884422,0.91404270,0.74368759
378.19095477,0.92827074,0.75295034
382.61306533,0.94231987,0.76198825
