# Figure 4: Normalized growth rate vs angle for different B
# Analytical: theta_deg, ratio_B1.5, ratio_B2.0, ratio_B3.0
theta_deg,ratio_analytic_B1.5,ratio_analytic_B2.0,ratio_analytic_B3.0
1.00000000,-0.73422322,-0.65888378,-0.54116343
2.12025316,-0.73408862,-0.65871800,-0.54096728
3.24050633,-0.73385711,-0.65843287,-0.54063000
4.36075949,-0.73352827,-0.65802791,-0.54015110
5.48101266,-0.73310151,-0.65750242,-0.53952991
6.60126582,-0.73257605,-0.65685551,-0.53876557
7.72151899,-0.73195095,-0.65608607,-0.53785699
8.84177215,-0.73122505,-0.65519275,-0.53680288
9.96202532,-0.73039703,-0.65417402,-0.53560175
11.08227848,-0.72946535,-0.65302809,-0.53425189
12.20253165,-0.72842827,-0.65175294,-0.53275136
13.32278481,-0.72728385,-0.65034630,-0.53109800
14.44303797,-0.72602991,-0.64880567,-0.52928940
15.56329114,-0.72466404,-0.64712825,-0.52732293
16.68354430,-0.72318360,-0.64531098,-0.52519570
17.80379747,-0.72158568,-0.64335051,-0.52290456
18.92405063,-0.71986711,-0.64124317,-0.52044608
20.04430380,-0.71802442,-0.63898497,-0.51781657
21.16455696,-0.71605385,-0.63657159,-0.51501203
22.28481013,-0.71395129,-0.63399832,-0.51202816
23.40506329,-0.71171232,-0.63126007,-0.50886034
24.52531646,-0.70933211,-0.62835136,-0.50550361
25.64556962,-0.70680547,-0.62526624,-0.50195267
26.76582278,-0.70412676,-0.62199829,-0.49820183
27.88607595,-0.70128988,-0.61854061,-0.49424502
29.00632911,-0.69828824,-0.61488572,-0.49007578
30.12658228,-0.69511472,-0.61102557,-0.48568718
31.24683544,-0.69176159,-0.60695148,-0.48107188
32.36708861,-0.68822050,-0.60265408,-0.47622202
33.48734177,-0.68448243,-0.59812325,-0.47112927
34.60759494,-0.68053758,-0.59334808,-0.46578474
35.72784810,-0.67637533,-0.58831679,-0.46017900
36.84810127,-0.67198417,-0.58301661,-0.45430202
37.96835443,-0.66735159,-0.57743377,-0.44814315
39.08860759,-0.66246398,-0.57155334,-0.44169109
40.20886076,-0.65730655,-0.56535915,-0.43493383
41.32911392,-0.65186316,-0.55883367,-0.42785868
42.44936709,-0.64611620,-0.55195785,-0.42045218
43.56962025,-0.64004642,-0.54471100,-0.41270010
44.68987342,-0.63363277,-0.53707060,-0.40458738
45.81012658,-0.62685213,-0.52901209,-0.39609817
46.93037975,-0.61967913,-0.52050869,-0.38721575
48.05063291,-0.61208584,-0.51153114,-0.37792257
49.17088608,-0.60404146,-0.50204738,-0.36820024
50.29113924,-0.59551193,-0.49202229,-0.35802956
51.41139241,-0.58645955,-0.48141732,-0.34739059
52.53164557,-0.57684242,-0.47019002,-0.33626273
53.65189873,-0.56661394,-0.45829364,-0.32462486
54.77215190,-0.55572205,-0.44567657,-0.31245557
55.89240506,-0.54410849,-0.43228171,-0.29973342
57.01265823,-0.53170784,-0.41804578,-0.28643739
58.13291139,-0.51844642,-0.40289851,-0.27254742
59.25316456,-0.50424094,-0.38676172,-0.25804523
60.37341772,-0.48899692,-0.36954824,-0.24291536
61.49367089,-0.47260681,-0.35116072,-0.22714666
62.61392405,-0.45494764,-0.33149026,-0.21073428
63.73417722,-0.43587826,-0.31041479,-0.19368238
64.85443038,-0.41523527,-0.28779737,-0.17600789
65.97468354,-0.39283039,-0.26348423,-0.15774558
67.09493671,-0.36844406,-0.23730270,-0.13895515
68.21518987,-0.34181914,-0.20905904,-0.11973095
69.33544304,-0.31265297,-0.17853650,-0.10021569
70.45569620,-0.28058727,-0.14549375,-0.08061959
71.57594937,-0.24519541,-0.10966459,-0.06124759
72.69620253,-0.20596643,-0.07075997,-0.04253829
73.81645570,-0.16228484,-0.02847227,-0.02512022
74.93670886,-0.11340554,0.01751223,-0.00989389
76.05696203,-0.05842315,0.06746229,0.00184732
77.17721519,0.00376358,0.12155823,0.00823772
78.29746835,0.07448811,0.17976032,0.00657202
79.41772152,0.15534737,0.24156313,-0.00709117
80.53797468,0.24816836,0.30550398,-0.03850234
81.65822785,0.35480031,0.36815076,-0.09598468
82.77848101,0.47645526,0.42193735,-0.19118344
83.89873418,0.61158046,0.45044785,-0.33868712
85.01898734,0.74888698,0.41695543,-0.55027810
86.13924051,0.84306300,0.23867599,-0.80618141
87.25949367,0.72032435,-0.24939546,-0.98428589
88.37974684,-0.24468278,-0.95889512,-1.00000000
89.50000000,-1.00000000,-1.00000000,-1.00000000
# Numerical: theta_deg, ratio_B1.5, ratio_B2.0, ratio_B3.0
# num,75.00000000,0.87646170,1.46197827,2.07259425
# num,76.27272727,0.75202730,1.24903140,1.92449608
# num,77.54545455,0.57213583,1.06840960,1.75143663
# num,78.81818182,0.36894413,0.92655838,0.54434013
# num,80.09090909,0.24977702,0.76505754,0.52923947
# num,81.36363636,0.23111606,0.59649482,0.48010410
# num,82.63636364,0.26712247,0.54349824,0.37615064
# num,83.90909091,0.27487952,0.51360837,0.18560781
# num,85.18181818,0.23055583,0.38596798,-0.13253687
# num,86.45454545,0.05339806,0.06468895,-0.56327036
# num,87.72727273,-0.39286501,-0.55904727,-0.96414356
# num,89.00000000,-0.97395570,-0.99981254,-1.00000000
