# Figure 5: Normalized growth rate vs angle for different n_e
# Analytical: theta_deg, ratio_ne_2e19, ratio_ne_5e19, ratio_ne_1e20
theta_deg,ratio_analytic_ne_2e19,ratio_analytic_ne_5e19,ratio_analytic_ne_1e20
1.00000000,-0.25181276,-0.65888378,-0.82184839
2.12025316,-0.25150174,-0.65871800,-0.82175765
3.24050633,-0.25096694,-0.65843287,-0.82160157
4.36075949,-0.25020765,-0.65802791,-0.82137987
5.48101266,-0.24922285,-0.65750242,-0.82109215
6.60126582,-0.24801123,-0.65685551,-0.82073789
7.72151899,-0.24657115,-0.65608607,-0.82031643
8.84177215,-0.24490069,-0.65519275,-0.81982699
9.96202532,-0.24299758,-0.65417402,-0.81926868
11.08227848,-0.24085925,-0.65302809,-0.81864045
12.20253165,-0.23848278,-0.65175294,-0.81794113
13.32278481,-0.23586493,-0.65034630,-0.81716937
14.44303797,-0.23300210,-0.64880567,-0.81632371
15.56329114,-0.22989032,-0.64712825,-0.81540252
16.68354430,-0.22652528,-0.64531098,-0.81440399
17.80379747,-0.22290226,-0.64335051,-0.81332615
18.92405063,-0.21901616,-0.64124317,-0.81216683
20.04430380,-0.21486145,-0.63898497,-0.81092368
21.16455696,-0.21043221,-0.63657159,-0.80959414
22.28481013,-0.20572204,-0.63399832,-0.80817541
23.40506329,-0.20072410,-0.63126007,-0.80666449
24.52531646,-0.19543106,-0.62835136,-0.80505809
25.64556962,-0.18983510,-0.62526624,-0.80335266
26.76582278,-0.18392786,-0.62199829,-0.80154436
27.88607595,-0.17770044,-0.61854061,-0.79962904
29.00632911,-0.17114339,-0.61488572,-0.79760220
30.12658228,-0.16424664,-0.61102557,-0.79545899
31.24683544,-0.15699950,-0.60695148,-0.79319413
32.36708861,-0.14939065,-0.60265408,-0.79080194
33.48734177,-0.14140806,-0.59812325,-0.78827623
34.60759494,-0.13303903,-0.59334808,-0.78561032
35.72784810,-0.12427010,-0.58831679,-0.78279695
36.84810127,-0.11508705,-0.58301661,-0.77982825
37.96835443,-0.10547489,-0.57743377,-0.77669566
39.08860759,-0.09541779,-0.57155334,-0.77338986
40.20886076,-0.08489912,-0.56535915,-0.76990072
41.32911392,-0.07390135,-0.55883367,-0.76621717
42.44936709,-0.06240613,-0.55195785,-0.76232714
43.56962025,-0.05039423,-0.54471100,-0.75821742
44.68987342,-0.03784557,-0.53707060,-0.75387353
45.81012658,-0.02473923,-0.52901209,-0.74927960
46.93037975,-0.01105355,-0.52050869,-0.74441816
48.05063291,0.00323721,-0.51153114,-0.73926999
49.17088608,0.01815383,-0.50204738,-0.73381384
50.29113924,0.03371917,-0.49202229,-0.72802622
51.41139241,0.04995690,-0.48141732,-0.72188109
52.53164557,0.06689061,-0.47019002,-0.71534947
53.65189873,0.08454335,-0.45829364,-0.70839909
54.77215190,0.10293713,-0.44567657,-0.70099387
55.89240506,0.12209214,-0.43228171,-0.69309335
57.01265823,0.14202581,-0.41804578,-0.68465203
58.13291139,0.16275147,-0.40289851,-0.67561860
59.25316456,0.18427669,-0.38676172,-0.66593491
60.37341772,0.20660098,-0.36954824,-0.65553492
61.49367089,0.22971281,-0.35116072,-0.64434325
62.61392405,0.25358559,-0.33149026,-0.63227351
63.73417722,0.27817239,-0.31041479,-0.61922630
64.85443038,0.30339878,-0.28779737,-0.60508661
65.97468354,0.32915326,-0.26348423,-0.58972077
67.09493671,0.35527429,-0.23730270,-0.57297257
68.21518987,0.38153260,-0.20905904,-0.55465835
69.33544304,0.40760701,-0.17853650,-0.53456094
70.45569620,0.43305097,-0.14549375,-0.51242149
71.57594937,0.45724607,-0.10966459,-0.48792985
72.69620253,0.47933674,-0.07075997,-0.46071241
73.81645570,0.49813802,-0.02847227,-0.43031445
74.93670886,0.51200418,0.01751223,-0.39617918
76.05696203,0.51864068,0.06746229,-0.35762014
77.17721519,0.51483458,0.12155823,-0.31378635
78.29746835,0.49607047,0.17976032,-0.26361941
79.41772152,0.45599650,0.24156313,-0.20580266
80.53797468,0.38573004,0.30550398,-0.13874092
81.65822785,0.27312412,0.36815076,-0.06058130
82.77848101,0.10261709,0.42193735,0.03053150
83.89873418,-0.14196902,0.45044785,0.13533998
85.01898734,-0.46370444,0.41695543,0.24966828
86.13924051,-0.80681435,0.23867599,0.34961673
87.25949367,-0.99133313,-0.24939546,0.32839813
88.37974684,-1.00000000,-0.95889512,-0.28202192
89.50000000,-1.00000000,-1.00000000,-1.00000000
# Numerical: theta_deg, ratio_ne_2e19, ratio_ne_5e19, ratio_ne_1e20
# num,75.00000000,3.96234376,1.46197827,-0.02825601
# num,76.27272727,3.69032186,1.24903140,-0.06427557
# num,77.54545455,1.37006490,1.06840960,-0.10336536
# num,78.81818182,1.35914540,0.92655838,-0.14621928
# num,80.09090909,1.31067824,0.76505754,-0.19248165
# num,81.36363636,1.20358479,0.59649482,-0.17669794
# num,82.63636364,1.00589716,0.54349824,-0.15416884
# num,83.90909091,0.67225975,0.51360837,-0.14343140
# num,85.18181818,0.15424599,0.38596798,-0.16597086
# num,86.45454545,-0.52080858,0.06468895,-0.27648253
# num,87.72727273,-0.97962297,-0.55904727,-0.57070599
# num,89.00000000,-1.00000000,-0.99981254,-0.97492230
