# Figure 6: Normalized growth rate vs angle for different T
# Analytical: theta_deg, ratio_T5, ratio_T10, ratio_T15
theta_deg,ratio_analytic_T5,ratio_analytic_T10,ratio_analytic_T15
1.00000000,-0.87939720,-0.65888378,-0.37332949
2.12025316,-0.87933859,-0.65871800,-0.37302493
3.24050633,-0.87923778,-0.65843287,-0.37250111
4.36075949,-0.87909461,-0.65802791,-0.37175715
5.48101266,-0.87890882,-0.65750242,-0.37079177
6.60126582,-0.87868010,-0.65685551,-0.36960332
7.72151899,-0.87840806,-0.65608607,-0.36818976
8.84177215,-0.87809223,-0.65519275,-0.36654864
9.96202532,-0.87773205,-0.65417402,-0.36467711
11.08227848,-0.87732690,-0.65302809,-0.36257190
12.20253165,-0.87687607,-0.65175294,-0.36022929
13.32278481,-0.87637875,-0.65034630,-0.35764514
14.44303797,-0.87583405,-0.64880567,-0.35481482
15.56329114,-0.87524100,-0.64712825,-0.35173320
16.68354430,-0.87459850,-0.64531098,-0.34839467
17.80379747,-0.87390536,-0.64335051,-0.34479305
18.92405063,-0.87316031,-0.64124317,-0.34092162
20.04430380,-0.87236191,-0.63898497,-0.33677305
21.16455696,-0.87150865,-0.63657159,-0.33233937
22.28481013,-0.87059886,-0.63399832,-0.32761197
23.40506329,-0.86963075,-0.63126007,-0.32258150
24.52531646,-0.86860236,-0.62835136,-0.31723785
25.64556962,-0.86751161,-0.62526624,-0.31157012
26.76582278,-0.86635622,-0.62199829,-0.30556653
27.88607595,-0.86513374,-0.61854061,-0.29921435
29.00632911,-0.86384154,-0.61488572,-0.29249989
30.12658228,-0.86247677,-0.61102557,-0.28540834
31.24683544,-0.86103636,-0.60695148,-0.27792376
32.36708861,-0.85951700,-0.60265408,-0.27002893
33.48734177,-0.85791511,-0.59812325,-0.26170527
34.60759494,-0.85622684,-0.59334808,-0.25293273
35.72784810,-0.85444800,-0.58831679,-0.24368964
36.84810127,-0.85257411,-0.58301661,-0.23395259
37.96835443,-0.85060028,-0.57743377,-0.22369626
39.08860759,-0.84852123,-0.57155334,-0.21289322
40.20886076,-0.84633125,-0.56535915,-0.20151377
41.32911392,-0.84402415,-0.55883367,-0.18952570
42.44936709,-0.84159318,-0.55195785,-0.17689401
43.56962025,-0.83903103,-0.54471100,-0.16358070
44.68987342,-0.83632974,-0.53707060,-0.14954438
45.81012658,-0.83348063,-0.52901209,-0.13473996
46.93037975,-0.83047422,-0.52050869,-0.11911822
48.05063291,-0.82730018,-0.51153114,-0.10262539
49.17088608,-0.82394716,-0.50204738,-0.08520262
50.29113924,-0.82040276,-0.49202229,-0.06678537
51.41139241,-0.81665333,-0.48141732,-0.04730278
52.53164557,-0.81268388,-0.47019002,-0.02667691
53.65189873,-0.80847788,-0.45829364,-0.00482188
54.77215190,-0.80401707,-0.44567657,0.01835716
55.89240506,-0.79928128,-0.43228171,0.04296509
57.01265823,-0.79424811,-0.41804578,0.06911816
58.13291139,-0.78889274,-0.40289851,0.09694548
59.25316456,-0.78318753,-0.38676172,0.12659066
60.37341772,-0.77710164,-0.36954824,0.15821384
61.49367089,-0.77060067,-0.35116072,0.19199386
62.61392405,-0.76364611,-0.33149026,0.22813081
63.73417722,-0.75619481,-0.31041479,0.26684892
64.85443038,-0.74819835,-0.28779737,0.30839977
65.97468354,-0.73960235,-0.26348423,0.35306586
67.09493671,-0.73034578,-0.23730270,0.40116441
68.21518987,-0.72036014,-0.20905904,0.45305132
69.33544304,-0.70956879,-0.17853650,0.50912482
70.45569620,-0.69788642,-0.14549375,0.56982822
71.57594937,-0.68521890,-0.10966459,0.63565060
72.69620253,-0.67146404,-0.07075997,0.70712294
73.81645570,-0.65651308,-0.02847227,0.78481040
74.93670886,-0.64025510,0.01751223,0.86928932
76.05696203,-0.62259509,0.06746229,0.96105344
77.17721519,-0.60346928,0.12155823,1.06043404
78.29746835,-0.58289174,0.17976032,1.16735810
79.41772152,-0.56104115,0.24156313,1.28089711
80.53797468,-0.53843464,0.30550398,1.39836396
81.65822785,-0.51628566,0.36815076,1.51345344
82.77848101,-0.49726923,0.42193735,1.61226571
83.89873418,-0.48718925,0.45044785,1.66464284
85.01898734,-0.49903060,0.41695543,1.60311335
86.13924051,-0.56206190,0.23867599,1.27559310
87.25949367,-0.73462122,-0.24939546,0.37894859
88.37974684,-0.98546723,-0.95889512,-0.92448551
89.50000000,-1.00000000,-1.00000000,-1.00000000
# Numerical: theta_deg, ratio_T5, ratio_T10, ratio_T15
# num,75.00000000,-0.12955924,1.46197827,3.52294289
# num,76.27272727,-0.20484732,1.24903140,3.13173452
# num,77.54545455,-0.26870677,1.06840960,2.79991107
# num,78.81818182,-0.31885875,0.92655838,2.53931375
# num,80.09090909,-0.37595792,0.76505754,2.24261775
# num,81.36363636,-0.43555384,0.59649482,1.93294827
# num,82.63636364,-0.45429096,0.54349824,1.83558733
# num,83.90909091,-0.46485863,0.51360837,1.78067613
# num,85.18181818,-0.50998632,0.38596798,1.54618576
# num,86.45454545,-0.62357561,0.06468895,0.95595849
# num,87.72727273,-0.84409967,-0.55904727,-0.18991810
# num,89.00000000,-0.99993372,-0.99981254,-0.99965561
