# Figure 1: Running coupling alpha_s^MSbar(mu) at NNLO
# Quenched QCD: N_c=3, N_f=0, Lambda_QCD=0.251 GeV
# Columns: mu_GeV, alpha_s_central, alpha_s_low, alpha_s_high
mu_GeV,alpha_s_central,alpha_s_low,alpha_s_high
0.80000000,0.36663926,0.33928702,0.39728137
0.81843687,0.35898540,0.33295522,0.38794873
0.83687375,0.35187600,0.32703809,0.37934034
0.85531062,0.34525069,0.32149298,0.37136949
0.87374749,0.33905793,0.31628305,0.36396307
0.89218437,0.33325344,0.31137632,0.35705894
0.91062124,0.32779895,0.30674490,0.35060395
0.92905812,0.32266119,0.30236432,0.34455238
0.94749499,0.31781113,0.29821303,0.33886467
0.96593186,0.31322327,0.29427195,0.33350639
0.98436874,0.30887515,0.29052416,0.32844746
1.00280561,0.30474688,0.28695454,0.32366146
1.02124248,0.30082079,0.28354959,0.31912508
1.03967936,0.29708112,0.28029719,0.31481768
1.05811623,0.29351376,0.27718640,0.31072089
1.07655311,0.29010604,0.27420737,0.30681834
1.09498998,0.28684656,0.27135115,0.30309537
1.11342685,0.28372499,0.26860963,0.29953879
1.13186373,0.28073200,0.26597543,0.29613674
1.15030060,0.27785911,0.26344179,0.29287848
1.16873747,0.27509859,0.26100256,0.28975431
1.18717435,0.27244338,0.25865207,0.28675537
1.20561122,0.26988704,0.25638513,0.28387363
1.22404810,0.26742365,0.25419697,0.28110174
1.24248497,0.26504778,0.25208316,0.27843299
1.26092184,0.26275442,0.25003964,0.27586120
1.27935872,0.26053895,0.24806264,0.27338072
1.29779559,0.25839713,0.24614865,0.27098633
1.31623246,0.25632499,0.24429445,0.26867322
1.33466934,0.25431889,0.24249700,0.26643695
1.35310621,0.25237542,0.24075351,0.26427341
1.37154309,0.25049143,0.23906135,0.26217878
1.38997996,0.24866397,0.23741807,0.26014952
1.40841683,0.24689031,0.23582139,0.25818234
1.42685371,0.24516788,0.23426917,0.25627418
1.44529058,0.24349429,0.23275940,0.25442216
1.46372745,0.24186730,0.23129019,0.25262363
1.48216433,0.24028480,0.22985978,0.25087608
1.50060120,0.23874482,0.22846651,0.24917718
1.51903808,0.23724552,0.22710880,0.24752473
1.53747495,0.23578514,0.22578519,0.24591667
1.55591182,0.23436205,0.22449428,0.24435108
1.57434870,0.23297470,0.22323476,0.24282613
1.59278557,0.23162163,0.22200538,0.24134012
1.61122244,0.23030147,0.22080497,0.23989143
1.62965932,0.22901292,0.21963242,0.23847854
1.64809619,0.22775474,0.21848668,0.23710002
1.66653307,0.22652577,0.21736674,0.23575450
1.68496994,0.22532491,0.21627166,0.23444071
1.70340681,0.22415111,0.21520053,0.23315742
1.72184369,0.22300337,0.21415251,0.23190348
1.74028056,0.22188076,0.21312677,0.23067781
1.75871743,0.22078237,0.21212256,0.22947936
1.77715431,0.21970736,0.21113911,0.22830715
1.79559118,0.21865491,0.21017574,0.22716025
1.81402806,0.21762425,0.20923178,0.22603777
1.83246493,0.21661464,0.20830658,0.22493885
1.85090180,0.21562538,0.20739953,0.22386269
1.86933868,0.21465581,0.20651005,0.22280852
1.88777555,0.21370527,0.20563759,0.22177562
1.90621242,0.21277316,0.20478160,0.22076327
1.92464930,0.21185890,0.20394158,0.21977082
1.94308617,0.21096192,0.20311705,0.21879761
1.96152305,0.21008169,0.20230753,0.21784305
1.97995992,0.20921770,0.20151257,0.21690655
1.99839679,0.20836945,0.20073175,0.21598755
2.01683367,0.20753649,0.19996464,0.21508551
2.03527054,0.20671835,0.19921087,0.21419993
2.05370741,0.20591460,0.19847003,0.21333031
2.07214429,0.20512483,0.19774178,0.21247618
2.09058116,0.20434864,0.19702576,0.21163709
2.10901804,0.20358565,0.19632162,0.21081260
2.12745491,0.20283548,0.19562905,0.21000230
2.14589178,0.20209779,0.19494774,0.20920579
2.16432866,0.20137223,0.19427737,0.20842269
2.18276553,0.20065848,0.19361767,0.20765262
2.20120240,0.19995621,0.19296835,0.20689522
2.21963928,0.19926513,0.19232914,0.20615017
2.23807615,0.19858495,0.19169979,0.20541712
2.25651303,0.19791537,0.19108004,0.20469575
2.27494990,0.19725613,0.19046965,0.20398577
2.29338677,0.19660696,0.18986839,0.20328687
2.31182365,0.19596761,0.18927604,0.20259878
2.33026052,0.19533784,0.18869236,0.20192122
2.34869739,0.19471741,0.18811716,0.20125392
2.36713427,0.19410610,0.18755024,0.20059662
2.38557114,0.19350367,0.18699139,0.19994909
2.40400802,0.19290992,0.18644042,0.19931108
2.42244489,0.19232464,0.18589715,0.19868236
2.44088176,0.19174763,0.18536141,0.19806270
2.45931864,0.19117871,0.18483302,0.19745190
2.47775551,0.19061767,0.18431181,0.19684975
2.49619238,0.19006435,0.18379762,0.19625604
2.51462926,0.18951856,0.18329030,0.19567058
2.53306613,0.18898014,0.18278969,0.19509317
2.55150301,0.18844893,0.18229565,0.19452365
2.56993988,0.18792475,0.18180803,0.19396182
2.58837675,0.18740747,0.18132670,0.19340751
2.60681363,0.18689692,0.18085152,0.19286057
2.62525050,0.18639297,0.18038235,0.19232083
2.64368737,0.18589547,0.17991909,0.19178813
2.66212425,0.18540429,0.17946159,0.19126233
2.68056112,0.18491929,0.17900975,0.19074326
2.69899800,0.18444034,0.17856344,0.19023080
2.71743487,0.18396733,0.17812255,0.18972480
2.73587174,0.18350012,0.17768698,0.18922513
2.75430862,0.18303860,0.17725662,0.18873165
2.77274549,0.18258266,0.17683136,0.18824424
2.79118236,0.18213218,0.17641110,0.18776278
2.80961924,0.18168705,0.17599575,0.18728715
2.82805611,0.18124717,0.17558521,0.18681722
2.84649299,0.18081244,0.17517939,0.18635289
2.86492986,0.18038276,0.17477820,0.18589405
2.88336673,0.17995802,0.17438154,0.18544058
2.90180361,0.17953814,0.17398934,0.18499239
2.92024048,0.17912302,0.17360151,0.18454937
2.93867735,0.17871258,0.17321797,0.18411142
2.95711423,0.17830672,0.17283865,0.18367845
2.97555110,0.17790535,0.17246345,0.18325037
2.99398798,0.17750841,0.17209232,0.18282707
3.01242485,0.17711580,0.17172517,0.18240848
3.03086172,0.17672745,0.17136193,0.18199450
3.04929860,0.17634329,0.17100254,0.18158506
3.06773547,0.17596322,0.17064693,0.18118006
3.08617234,0.17558719,0.17029502,0.18077943
3.10460922,0.17521512,0.16994677,0.18038310
3.12304609,0.17484695,0.16960209,0.17999098
3.14148297,0.17448260,0.16926094,0.17960300
3.15991984,0.17412200,0.16892325,0.17921908
3.17835671,0.17376511,0.16858896,0.17883917
3.19679359,0.17341184,0.16825802,0.17846318
3.21523046,0.17306214,0.16793037,0.17809105
3.23366733,0.17271595,0.16760595,0.17772271
3.25210421,0.17237321,0.16728472,0.17735810
3.27054108,0.17203386,0.16696661,0.17699716
3.28897796,0.17169785,0.16665159,0.17663983
3.30741483,0.17136512,0.16633959,0.17628604
3.32585170,0.17103562,0.16603057,0.17593574
3.34428858,0.17070930,0.16572448,0.17558887
3.36272545,0.17038611,0.16542129,0.17524537
3.38116232,0.17006599,0.16512093,0.17490519
3.39959920,0.16974889,0.16482336,0.17456828
3.41803607,0.16943478,0.16452855,0.17423458
3.43647295,0.16912359,0.16423645,0.17390404
3.45490982,0.16881530,0.16394702,0.17357662
3.47334669,0.16850984,0.16366021,0.17325226
3.49178357,0.16820718,0.16337600,0.17293091
3.51022044,0.16790728,0.16309433,0.17261253
3.52865731,0.16761009,0.16281517,0.17229708
3.54709419,0.16731558,0.16253848,0.17198451
3.56553106,0.16702369,0.16226423,0.17167477
3.58396794,0.16673440,0.16199238,0.17136782
3.60240481,0.16644766,0.16172289,0.17106363
3.62084168,0.16616344,0.16145573,0.17076214
3.63927856,0.16588170,0.16119087,0.17046332
3.65771543,0.16560240,0.16092827,0.17016713
3.67615230,0.16532551,0.16066791,0.16987353
3.69458918,0.16505099,0.16040974,0.16958248
3.71302605,0.16477881,0.16015374,0.16929394
3.73146293,0.16450894,0.15989988,0.16900789
3.74989980,0.16424134,0.15964812,0.16872428
3.76833667,0.16397598,0.15939845,0.16844308
3.78677355,0.16371283,0.15915082,0.16816425
3.80521042,0.16345186,0.15890521,0.16788777
3.82364729,0.16319304,0.15866160,0.16761359
3.84208417,0.16293633,0.15841995,0.16734169
3.86052104,0.16268172,0.15818024,0.16707203
3.87895792,0.16242916,0.15794245,0.16680459
3.89739479,0.16217864,0.15770654,0.16653933
3.91583166,0.16193013,0.15747249,0.16627622
3.93426854,0.16168359,0.15724029,0.16601524
3.95270541,0.16143901,0.15700989,0.16575635
3.97114228,0.16119635,0.15678129,0.16549953
3.98957916,0.16095560,0.15655445,0.16524474
4.00801603,0.16071672,0.15632935,0.16499197
4.02645291,0.16047969,0.15610598,0.16474119
4.04488978,0.16024449,0.15588430,0.16449236
4.06332665,0.16001109,0.15566431,0.16424547
4.08176353,0.15977947,0.15544596,0.16400049
4.10020040,0.15954961,0.15522925,0.16375739
4.11863727,0.15932149,0.15501416,0.16351615
4.13707415,0.15909508,0.15480066,0.16327675
4.15551102,0.15887036,0.15458873,0.16303915
4.17394790,0.15864731,0.15437836,0.16280335
4.19238477,0.15842591,0.15416952,0.16256932
4.21082164,0.15820614,0.15396220,0.16233703
4.22925852,0.15798798,0.15375637,0.16210646
4.24769539,0.15777141,0.15355203,0.16187759
