# Figure 2: RI/MSbar matching and RG evolution at NNLO
# Quenched QCD: N_c=3, N_f=0
# Columns: mu_GeV, delta_z_ri_msbar, c_s_msbar, rg_ratio_to_2GeV
mu_GeV,delta_z_ri_msbar,c_s_msbar,rg_ratio_to_2GeV
1.00000000,1.24099538,1.42139769,1.18221105
1.02255639,1.23546840,1.43173983,1.17367138
1.04511278,1.23031077,1.44166765,1.16558907
1.06766917,1.22548505,1.45121159,1.15792353
1.09022556,1.22095876,1.46039890,1.15063908
1.11278195,1.21670360,1.46925405,1.14370422
1.13533835,1.21269478,1.47779907,1.13709102
1.15789474,1.20891049,1.48605391,1.13077462
1.18045113,1.20533147,1.49403668,1.12473280
1.20300752,1.20194064,1.50176383,1.11894561
1.22556391,1.19872280,1.50925041,1.11339513
1.24812030,1.19566438,1.51651016,1.10806514
1.27067669,1.19275319,1.52355571,1.10294099
1.29323308,1.18997833,1.53039867,1.09800935
1.31578947,1.18732991,1.53704972,1.09325810
1.33834586,1.18479904,1.54351875,1.08867615
1.36090226,1.18237763,1.54981491,1.08425338
1.38345865,1.18005836,1.55594668,1.07998049
1.40601504,1.17783452,1.56192193,1.07584894
1.42857143,1.17570004,1.56774800,1.07185087
1.45112782,1.17364932,1.57343172,1.06797901
1.47368421,1.17167724,1.57897947,1.06422666
1.49624060,1.16977912,1.58439724,1.06058759
1.51879699,1.16795062,1.58969059,1.05705605
1.54135338,1.16618776,1.59486478,1.05362666
1.56390977,1.16448687,1.59992473,1.05029444
1.58646617,1.16284453,1.60487507,1.04705475
1.60902256,1.16125759,1.60972014,1.04390323
1.63157895,1.15972312,1.61446407,1.04083583
1.65413534,1.15823841,1.61911071,1.03784876
1.67669173,1.15680092,1.62366374,1.03493846
1.69924812,1.15540831,1.62812662,1.03210158
1.72180451,1.15405835,1.63250261,1.02933499
1.74436090,1.15274902,1.63679482,1.02663574
1.76691729,1.15147837,1.64100619,1.02400104
1.78947368,1.15024461,1.64513952,1.02142829
1.81203008,1.14904605,1.64919747,1.01891501
1.83458647,1.14788112,1.65318254,1.01645887
1.85714286,1.14674831,1.65709715,1.01405766
1.87969925,1.14564624,1.66094358,1.01170929
1.90225564,1.14457359,1.66472402,1.00941179
1.92481203,1.14352911,1.66844053,1.00716329
1.94736842,1.14251163,1.67209510,1.00496201
1.96992481,1.14152005,1.67568963,1.00280626
1.99248120,1.14055333,1.67922593,1.00069444
2.01503759,1.13961048,1.68270572,0.99862503
2.03759398,1.13869056,1.68613068,0.99659657
2.06015038,1.13779269,1.68950237,0.99460769
2.08270677,1.13691603,1.69282234,0.99265707
2.10526316,1.13605978,1.69609202,0.99074345
2.12781955,1.13522319,1.69931282,0.98886564
2.15037594,1.13440555,1.70248609,0.98702249
2.17293233,1.13360616,1.70561310,0.98521291
2.19548872,1.13282438,1.70869511,0.98343587
2.21804511,1.13205960,1.71173329,0.98169035
2.24060150,1.13131122,1.71472880,0.97997540
2.26315789,1.13057868,1.71768274,0.97829012
2.28571429,1.12986145,1.72059616,0.97663362
2.30827068,1.12915902,1.72347009,0.97500506
2.33082707,1.12847090,1.72630551,0.97340363
2.35338346,1.12779662,1.72910337,0.97182857
