# Figure 3: Chiral condensate comparison
# All values are -<psibar psi>^MSbar at mu=2 GeV in GeV^3
run,method,action,beta,computed,paper_value,paper_stat_err,paper_sys_err
C60a,2,Clover,6.0,0.02980944,0.01410000,0.00050000,0.00210000
C60b,2,Clover,6.0,0.03178341,0.01460000,0.00030000,0.00210000
W60,2,Wilson,6.0,0.03436054,0.01520000,0.00040000,0.00200000
W60,1,Wilson,6.0,0.03353406,0.01500000,0.00030000,0.00020000
C62,2,Clover,6.2,0.04022871,0.01470000,0.00080000,0.00160000
W62,2,Wilson,6.2,0.04720500,0.01580000,0.00050000,0.00160000
W62,1,Wilson,6.2,0.04656073,0.01560000,0.00050000,0.00020000
C64,2,Clover,6.4,0.07425840,0.01870000,0.00090000,0.00100000
W64,2,Wilson,6.4,0.07372084,0.01790000,0.00080000,0.00130000
W64,1,Wilson,6.4,0.07112283,0.01720000,0.00070000,0.00020000
