# Figure 4: Scale dependence of the chiral condensate
# Input: -<psibar psi>^MSbar(2 GeV) = 0.0147 GeV^3
# Columns: mu_GeV, condensate_lo, condensate_nlo, condensate_nnlo
mu_GeV,condensate_lo_GeV3,condensate_nlo_GeV3,condensate_nnlo_GeV3
1.00000000,0.01279103,0.01250642,0.01243433
1.02255639,0.01286514,0.01259309,0.01252480
1.04511278,0.01293648,0.01267637,0.01261165
1.06766917,0.01300523,0.01275651,0.01269514
1.09022556,0.01307158,0.01283373,0.01277551
1.11278195,0.01313567,0.01290822,0.01285297
1.13533835,0.01319764,0.01298017,0.01292772
1.15789474,0.01325763,0.01304972,0.01299994
1.18045113,0.01331576,0.01311704,0.01306977
1.20300752,0.01337212,0.01318224,0.01313737
1.22556391,0.01342683,0.01324546,0.01320286
1.24812030,0.01347997,0.01330680,0.01326637
1.27067669,0.01353162,0.01336636,0.01332800
1.29323308,0.01358186,0.01342425,0.01338786
1.31578947,0.01363076,0.01348054,0.01344605
1.33834586,0.01367839,0.01353532,0.01350264
1.36090226,0.01372481,0.01358866,0.01355772
1.38345865,0.01377008,0.01364064,0.01361136
1.40601504,0.01381424,0.01369131,0.01366363
1.42857143,0.01385735,0.01374073,0.01371459
1.45112782,0.01389946,0.01378897,0.01376432
1.47368421,0.01394060,0.01383607,0.01381285
1.49624060,0.01398083,0.01388209,0.01386024
1.51879699,0.01402016,0.01392706,0.01390655
1.54135338,0.01405866,0.01397104,0.01395181
1.56390977,0.01409633,0.01401407,0.01399608
1.58646617,0.01413323,0.01405617,0.01403938
1.60902256,0.01416937,0.01409739,0.01408177
1.63157895,0.01420479,0.01413776,0.01412326
1.65413534,0.01423951,0.01417732,0.01416391
1.67669173,0.01427356,0.01421609,0.01420374
1.69924812,0.01430696,0.01425410,0.01424278
1.72180451,0.01433974,0.01429139,0.01428107
1.74436090,0.01437191,0.01432797,0.01431861
1.76691729,0.01440350,0.01436386,0.01435545
1.78947368,0.01443453,0.01439911,0.01439161
1.81203008,0.01446501,0.01443371,0.01442711
1.83458647,0.01449496,0.01446771,0.01446197
1.85714286,0.01452441,0.01450110,0.01449622
1.87969925,0.01455335,0.01453393,0.01452987
1.90225564,0.01458182,0.01456620,0.01456294
1.92481203,0.01460983,0.01459793,0.01459545
1.94736842,0.01463738,0.01462913,0.01462742
1.96992481,0.01466450,0.01465983,0.01465886
1.99248120,0.01469119,0.01469004,0.01468980
2.01503759,0.01471748,0.01471977,0.01472024
2.03759398,0.01474336,0.01474903,0.01475020
2.06015038,0.01476885,0.01477785,0.01477970
