# Figure 1: Average plaquette vs beta
# MC data: L=6, n_therm=20, n_meas=10
beta,mc_plaquette,mc_error
0.5,0.12578152,0.00114520
1.0,0.24337410,0.00142527
1.5,0.36363596,0.00115627
2.0,0.50115801,0.00127694
2.2,0.57464812,0.00119938
2.4,0.63152794,0.00180201
2.6,0.66875539,0.00133013
2.8,0.70261149,0.00115661
3.0,0.72174567,0.00062434
3.5,0.76845413,0.00105284
4.0,0.79969801,0.00079657

# Analytical: strong coupling expansion
# beta,sc_plaquette
# 0.1000,0.02531771
# 0.1246,0.03165120
# 0.1492,0.03802495
# 0.1739,0.04443942
# 0.1985,0.05089507
# 0.2231,0.05739239
# 0.2477,0.06393182
# 0.2724,0.07051384
# 0.2970,0.07713891
# 0.3216,0.08380750
# 0.3462,0.09052009
# 0.3709,0.09727712
# 0.3955,0.10407907
# 0.4201,0.11092642
# 0.4447,0.11781961
# 0.4693,0.12475913
# 0.4940,0.13174543
# 0.5186,0.13877898
# 0.5432,0.14586025
# 0.5678,0.15298971
# 0.5925,0.16016782
# 0.6171,0.16739505
# 0.6417,0.17467187
# 0.6663,0.18199873
# 0.6910,0.18937612
# 0.7156,0.19680449
# 0.7402,0.20428431
# 0.7648,0.21181605
# 0.7894,0.21940018
# 0.8141,0.22703715
# 0.8387,0.23472745
# 0.8633,0.24247152
# 0.8879,0.25026985
# 0.9126,0.25812290
# 0.9372,0.26603113
# 0.9618,0.27399501
# 0.9864,0.28201500
# 1.0111,0.29009158
# 1.0357,0.29822521
# 1.0603,0.30641636
# 1.0849,0.31466549
# 1.1095,0.32297307
# 1.1342,0.33133956
# 1.1588,0.33976544
# 1.1834,0.34825116
# 1.2080,0.35679720
# 1.2327,0.36540403
# 1.2573,0.37407210
# 1.2819,0.38280189
# 1.3065,0.39159386
# 1.3312,0.40044848
# 1.3558,0.40936621
# 1.3804,0.41834752
# 1.4050,0.42739288
# 1.4296,0.43650276
# 1.4543,0.44567762
# 1.4789,0.45491792
# 1.5035,0.46422414
# 1.5281,0.47359674
# 1.5528,0.48303618
# 1.5774,0.49254294
# 1.6020,0.50211748
# 1.6266,0.51176027
# 1.6513,0.52147176
# 1.6759,0.53125244
# 1.7005,0.54110277
# 1.7251,0.55102321
# 1.7497,0.56101422
# 1.7744,0.57107628
# 1.7990,0.58120986
# 1.8236,0.59141541
# 1.8482,0.60169341
# 1.8729,0.61204432
# 1.8975,0.62246861
# 1.9221,0.63296675
# 1.9467,0.64353919
# 1.9714,0.65418641
# 1.9960,0.66490888
# 2.0206,0.67570706
# 2.0452,0.68658142
# 2.0698,0.69753242
# 2.0945,0.70856053
# 2.1191,0.71966622
# 2.1437,0.73084995
# 2.1683,0.74211219
# 2.1930,0.75345341
# 2.2176,0.76487408
# 2.2422,0.77637465
# 2.2668,0.78795560
# 2.2915,0.79961739
# 2.3161,0.81136049
# 2.3407,0.82318537
# 2.3653,0.83509249
# 2.3899,0.84708232
# 2.4146,0.85915532
# 2.4392,0.87131197
# 2.4638,0.88355272
# 2.4884,0.89587805
# 2.5131,0.90828842
# 2.5377,0.92078430
# 2.5623,0.93336616
# 2.5869,0.94603445
# 2.6116,0.95878966
# 2.6362,0.97163223
# 2.6608,0.98456265
# 2.6854,0.99758138
# 2.7101,1.00000000
# 2.7347,1.00000000
# 2.7593,1.00000000
# 2.7839,1.00000000
# 2.8085,1.00000000
# 2.8332,1.00000000
# 2.8578,1.00000000
# 2.8824,1.00000000
# 2.9070,1.00000000
# 2.9317,1.00000000
# 2.9563,1.00000000
# 2.9809,1.00000000
# 3.0055,1.00000000
# 3.0302,1.00000000
# 3.0548,1.00000000
# 3.0794,1.00000000
# 3.1040,1.00000000
# 3.1286,1.00000000
# 3.1533,1.00000000
# 3.1779,1.00000000
# 3.2025,1.00000000
# 3.2271,1.00000000
# 3.2518,1.00000000
# 3.2764,1.00000000
# 3.3010,1.00000000
# 3.3256,1.00000000
# 3.3503,1.00000000
# 3.3749,1.00000000
# 3.3995,1.00000000
# 3.4241,1.00000000
# 3.4487,1.00000000
# 3.4734,1.00000000
# 3.4980,1.00000000
# 3.5226,1.00000000
# 3.5472,1.00000000
# 3.5719,1.00000000
# 3.5965,1.00000000
# 3.6211,1.00000000
# 3.6457,1.00000000
# 3.6704,1.00000000
# 3.6950,1.00000000
# 3.7196,1.00000000
# 3.7442,1.00000000
# 3.7688,1.00000000
# 3.7935,1.00000000
# 3.8181,1.00000000
# 3.8427,1.00000000
# 3.8673,1.00000000
# 3.8920,1.00000000
# 3.9166,1.00000000
# 3.9412,1.00000000
# 3.9658,1.00000000
# 3.9905,1.00000000
# 4.0151,1.00000000
# 4.0397,1.00000000
# 4.0643,1.00000000
# 4.0889,1.00000000
# 4.1136,1.00000000
# 4.1382,1.00000000
# 4.1628,1.00000000
# 4.1874,1.00000000
# 4.2121,1.00000000
# 4.2367,1.00000000
# 4.2613,1.00000000
# 4.2859,1.00000000
# 4.3106,1.00000000
# 4.3352,1.00000000
# 4.3598,1.00000000
# 4.3844,1.00000000
