# Figure 5: Random center vortex model Wilson loops
# 2D lattice L=16, n_configs=500
f,loop_size,area,wilson_mc,wilson_analytic,string_tension
0.05,1,1,0.89987500,0.90000000,0.10536052
0.05,2,4,0.65665625,0.65610000,0.10536052
0.05,3,9,0.38903125,0.38742049,0.10536052
0.05,4,16,0.18946875,0.18530202,0.10536052
0.05,5,25,0.07865625,0.07178980,0.10536052
0.05,6,36,0.02706250,0.02252840,0.10536052
0.05,7,49,0.00743750,0.00572642,0.10536052
0.05,8,64,0.00156250,0.00117902,0.10536052
0.10,1,1,0.80089062,0.80000000,0.22314355
0.10,2,4,0.40853125,0.40960000,0.22314355
0.10,3,9,0.13757812,0.13421773,0.22314355
0.10,4,16,0.02809375,0.02814750,0.22314355
0.10,5,25,0.00314063,0.00377789,0.22314355
0.10,6,36,0.00418750,0.00032452,0.22314355
0.10,7,49,0.00210938,0.00001784,0.22314355
0.10,8,64,0.00034375,0.00000063,0.22314355
0.15,1,1,0.69892188,0.70000000,0.35667494
0.15,2,4,0.23931250,0.24010000,0.35667494
0.15,3,9,0.03920312,0.04035361,0.35667494
0.15,4,16,0.00153125,0.00332329,0.35667494
0.15,5,25,-0.00829688,0.00013411,0.35667494
0.15,6,36,-0.00009375,0.00000265,0.35667494
0.15,7,49,0.00135937,0.00000003,0.35667494
0.15,8,64,-0.00190625,0.00000000,0.35667494
0.20,1,1,0.59750000,0.60000000,0.51082562
0.20,2,4,0.12859375,0.12960000,0.51082562
0.20,3,9,0.00787500,0.01007770,0.51082562
0.20,4,16,-0.00040625,0.00028211,0.51082562
0.20,5,25,-0.00021875,0.00000284,0.51082562
0.20,6,36,-0.00321875,0.00000001,0.51082562
0.20,7,49,-0.00140625,0.00000000,0.51082562
0.20,8,64,-0.00262500,0.00000000,0.51082562
0.25,1,1,0.50503125,0.50000000,0.69314718
0.25,2,4,0.06731250,0.06250000,0.69314718
0.25,3,9,0.00075000,0.00195312,0.69314718
0.25,4,16,0.00453125,0.00001526,0.69314718
0.25,5,25,0.00056250,0.00000003,0.69314718
0.25,6,36,0.00125000,0.00000000,0.69314718
0.25,7,49,0.00415625,0.00000000,0.69314718
0.25,8,64,-0.00159375,0.00000000,0.69314718
