# Figure 1: DMFT-IPT convergence, beta=50.0, U=2.8
iteration,ImSigma_metallic,ImSigma_insulating
1,-0.16033994,-21.77766548
2,-0.21008527,-20.52143868
3,-0.25392880,-19.54013231
4,-0.29199940,-18.78434332
5,-0.32479111,-18.20413433
6,-0.35288375,-17.75797042
7,-0.37685429,-17.41365624
8,-0.39724330,-17.14686985
9,-0.41454189,-16.93935986
10,-0.42918783,-16.77740657
11,-0.44156635,-16.65064250
12,-0.45201326,-16.55118295
13,-0.46081917,-16.47299283
14,-0.46823419,-16.41142543
15,-0.47447254,-16.36288451
16,-0.47971707,-16.32457444
17,-0.48412335,-16.29431403
18,-0.48782342,-16.27039624
19,-0.49092907,-16.25148183
20,-0.49353482,-16.23651798
21,-0.49572044,-16.22467571
22,-0.49755318,-16.21530142
23,-0.49908966,-16.20787928
24,-0.50037754,-16.20200183
25,-0.50145686,-16.19734701
26,-0.50236128,-16.19366013
27,-0.50311906,-16.19073969
28,-0.50375390,-16.18842622
29,-0.50428572,-16.18659350
30,-0.50473120,-16.18514156
31,-0.50510433,-16.18399127
32,-0.50541686,-16.18307994
33,-0.50567861,-16.18235791
34,-0.50589783,-16.18178585
35,-0.50608143,-16.18133262
36,-0.50623518,-16.18097353
37,-0.50636394,-16.18068902
38,-0.50647177,-16.18046360
39,-0.50656207,-16.18028501
40,-0.50663768,-16.18014350
41,-0.50670100,-16.18003139
42,-0.50675403,-16.17994256
43,-0.50679843,-16.17987219
44,-0.50683562,-16.17981643
45,-0.50686675,-16.17977225
46,-0.50689283,-16.17973725
47,-0.50691466,-16.17970951
48,-0.50693294,-16.17968754
49,-0.50694825,-16.17967013
50,-0.50696107,-16.17965634
51,-0.50697181,-16.17964541
52,-0.50698080,-16.17963676
53,-0.50698832,-16.17962990
54,-0.50699463,-16.17962446
55,-0.50699990,-16.17962016
56,-0.50700432,-16.17961675
57,-0.50700802,-16.17961404
58,-0.50701112,-16.17961190
59,-0.50701372,-16.17961021
60,-0.50701589,-16.17960886
61,-0.50701771,-16.17960780
62,-0.50701923,-16.17960695
63,-0.50702051,-16.17960628
64,-0.50702158,-16.17960576
65,-0.50702247,-16.17960534
66,-0.50702322,-16.17960500
67,-0.50702385,-16.17960474
68,-0.50702437,-16.17960453
69,-0.50702481,-16.17960437
70,-0.50702518,-16.17960423
71,-0.50702549,-16.17960413
72,-0.50702575,-16.17960405
73,-0.50702597,-16.17960398
74,-0.50702615,-16.17960393
75,-0.50702630,-16.17960389
76,-0.50702642,-16.17960386
77,-0.50702653,-16.17960383
78,-0.50702662,-16.17960381
79,-0.50702669,-16.17960380
80,-0.50702676,-16.17960378
