# Figure 2: G(tau) coexistence, beta=50.0, U=2.8
tau,neg_G_tau_metallic,neg_G_tau_insulating
0.00000000,0.50000000,0.50000000
0.24414062,0.36591110,0.35909061
0.48828125,0.27487888,0.26186620
0.73242188,0.21235028,0.19399184
0.97656250,0.16871859,0.14586192
1.22070312,0.13780366,0.11121248
1.46484375,0.11560925,0.08593950
1.75781250,0.09680796,0.06416228
2.00195312,0.08556462,0.05093007
2.24609375,0.07712572,0.04086723
2.49023438,0.07071694,0.03313718
2.73437500,0.06577119,0.02712195
2.97851562,0.06188744,0.02237895
3.22265625,0.05880110,0.01860958
3.51562500,0.05588850,0.01507085
3.75976562,0.05392731,0.01272236
4.00390625,0.05229309,0.01080299
4.24804688,0.05091963,0.00923084
4.49218750,0.04974238,0.00792812
4.73632812,0.04871197,0.00683424
4.98046875,0.04780453,0.00591576
5.27343750,0.04685490,0.00501074
5.51757812,0.04614017,0.00437332
5.76171875,0.04548842,0.00382916
6.00585938,0.04489485,0.00336847
6.25000000,0.04434482,0.00297234
6.49414062,0.04382617,0.00262496
6.73828125,0.04333929,0.00232357
7.03125000,0.04279919,0.00202100
7.27539062,0.04236827,0.00179782
7.51953125,0.04195808,0.00160217
7.76367188,0.04157104,0.00143481
8.00781250,0.04120052,0.00128768
8.25195312,0.04084063,0.00115366
8.49609375,0.04049459,0.00103492
8.78906250,0.04010273,0.00091647
9.03320312,0.03978354,0.00082476
9.27734375,0.03947524,0.00074294
9.52148438,0.03918100,0.00067363
9.76562500,0.03889629,0.00061186
10.00976562,0.03861692,0.00055304
10.25390625,0.03834621,0.00050016
10.54687500,0.03803784,0.00044922
10.79101562,0.03778477,0.00040712
11.03515625,0.03753919,0.00036906
11.27929688,0.03730413,0.00033793
11.52343750,0.03707593,0.00030995
11.76757812,0.03685114,0.00028158
12.01171875,0.03663282,0.00025577
12.30468750,0.03638402,0.00023278
12.54882812,0.03617920,0.00021173
12.79296875,0.03598023,0.00019250
13.03710938,0.03578991,0.00017786
13.28125000,0.03560507,0.00016465
13.52539062,0.03542272,0.00014986
13.81835938,0.03521253,0.00013538
14.06250000,0.03504438,0.00012587
14.30664062,0.03487845,0.00011454
14.55078125,0.03471741,0.00010409
14.79492188,0.03456386,0.00009713
15.03906250,0.03441496,0.00009086
15.28320312,0.03426801,0.00008258
15.57617188,0.03409916,0.00007498
15.82031250,0.03396461,0.00007053
16.06445312,0.03383182,0.00006399
16.30859375,0.03370331,0.00005790
16.55273438,0.03358149,0.00005471
16.79687500,0.03346379,0.00005187
17.04101562,0.03334768,0.00004690
17.33398438,0.03321510,0.00004280
17.57812500,0.03311016,0.00004089
17.82226562,0.03300671,0.00003684
18.06640625,0.03290711,0.00003302
18.31054688,0.03281367,0.00003178
18.55468750,0.03272396,0.00003072
18.79882812,0.03263562,0.00002751
19.09179688,0.03253584,0.00002526
19.33593750,0.03245782,0.00002471
19.58007812,0.03238111,0.00002200
19.82421875,0.03230795,0.00001943
20.06835938,0.03224057,0.00001923
20.31250000,0.03217667,0.00001914
20.55664062,0.03211400,0.00001691
20.84960938,0.03204467,0.00001570
21.09375000,0.03199175,0.00001589
21.33789062,0.03194000,0.00001395
21.58203125,0.03189162,0.00001210
21.82617188,0.03184878,0.00001251
22.07031250,0.03180926,0.00001298
22.31445312,0.03177087,0.00001133
22.60742188,0.03173045,0.00001074
22.85156250,0.03170146,0.00001139
23.09570312,0.03167357,0.00000993
23.33984375,0.03164893,0.00000852
23.58398438,0.03162970,0.00000932
23.82812500,0.03161370,0.00001016
24.07226562,0.03159879,0.00000890
24.36523438,0.03158643,0.00000873
24.60937500,0.03158075,0.00000971
24.85351562,0.03157614,0.00000859
25.09765625,0.03157474,0.00000752
25.34179688,0.03157871,0.00000863
25.58593750,0.03158589,0.00000978
25.87890625,0.03159533,0.00000779
26.12304688,0.03160960,0.00000904
26.36718750,0.03162710,0.00001034
26.61132812,0.03164569,0.00000954
26.85546875,0.03166752,0.00000878
27.09960938,0.03169475,0.00001023
27.34375000,0.03172526,0.00001173
27.63671875,0.03176271,0.00001014
27.88085938,0.03180045,0.00001177
28.12500000,0.03184149,0.00001347
28.36914062,0.03188366,0.00001305
28.61328125,0.03192917,0.00001269
28.85742188,0.03198024,0.00001461
29.10156250,0.03203470,0.00001662
29.39453125,0.03210099,0.00001558
29.63867188,0.03216297,0.00001779
29.88281250,0.03222841,0.00002011
30.12695312,0.03229509,0.00002028
30.37109375,0.03236528,0.00002056
30.61523438,0.03244128,0.00002324
30.85937500,0.03252087,0.00002606
31.15234375,0.03261747,0.00002596
31.39648438,0.03270506,0.00002914
31.64062500,0.03279637,0.00003249
31.88476562,0.03288906,0.00003370
32.12890625,0.03298553,0.00003510
32.37304688,0.03308821,0.00003911
32.61718750,0.03319477,0.00004337
32.91015625,0.03332396,0.00004497
33.15429688,0.03343926,0.00004987
33.39843750,0.03355862,0.00005511
33.64257812,0.03367961,0.00005823
33.88671875,0.03380476,0.00006172
34.13085938,0.03393669,0.00006816
34.37500000,0.03407294,0.00007509
34.66796875,0.03423811,0.00007995
34.91210938,0.03438415,0.00008810
35.15625000,0.03453478,0.00009690
35.40039062,0.03468740,0.00010372
35.64453125,0.03484476,0.00011129
35.88867188,0.03500970,0.00012243
36.13281250,0.03517962,0.00013452
36.42578125,0.03538574,0.00014591
36.66992188,0.03556703,0.00016044
36.91406250,0.03575368,0.00017629
37.15820312,0.03594290,0.00019063
37.40234375,0.03613773,0.00020653
37.64648438,0.03634136,0.00022720
37.93945312,0.03659178,0.00025276
38.18359375,0.03680569,0.00027494
38.42773438,0.03702916,0.00030278
38.67187500,0.03725927,0.00033342
38.91601562,0.03749294,0.00036389
39.16015625,0.03773369,0.00039782
39.40429688,0.03798523,0.00043907
39.69726562,0.03829519,0.00049235
39.94140625,0.03856063,0.00054054
40.18554688,0.03883823,0.00059811
40.42968750,0.03912484,0.00066224
40.67382812,0.03941714,0.00072996
40.91796875,0.03971942,0.00080604
41.16210938,0.04003637,0.00089566
41.45507812,0.04042944,0.00101533
41.69921875,0.04076860,0.00112701
41.94335938,0.04112562,0.00125779
42.18750000,0.04149751,0.00140571
42.43164062,0.04188112,0.00156879
42.67578125,0.04228269,0.00175466
42.91992188,0.04270925,0.00197198
43.21289062,0.04324843,0.00227125
43.45703125,0.04372422,0.00255906
43.70117188,0.04423611,0.00289661
43.94531250,0.04478395,0.00328679
44.18945312,0.04536822,0.00373365
44.43359375,0.04600260,0.00425502
44.67773438,0.04670374,0.00487235
44.97070312,0.04763965,0.00575423
45.21484375,0.04851855,0.00663469
45.45898438,0.04952208,0.00769049
45.70312500,0.05067330,0.00895394
45.94726562,0.05200359,0.01046729
46.19140625,0.05357328,0.01230367
46.43554688,0.05546196,0.01455783
46.72851562,0.05826703,0.01795749
46.97265625,0.06120901,0.02155079
47.21679688,0.06491390,0.02607717
47.46093750,0.06963081,0.03181847
47.70507812,0.07570905,0.03916388
47.94921875,0.08367485,0.04868849
48.19335938,0.09427926,0.06120318
48.48632812,0.11197599,0.08175978
48.73046875,0.13275705,0.10550118
48.97460938,0.16165674,0.13799541
