# Figure 3: Coexistence scan, beta=50.0
U,ImG_metallic,ImG_insulating,Z_metallic,Z_insulating
2.00000000,-1.66698978,-1.66698868,0.34308801,0.34308675
2.05000000,-1.65157166,-1.65157076,0.32624508,0.32624415
2.10000000,-1.63503326,-1.63503227,0.30974533,0.30974439
2.15000000,-1.61725724,-1.61725608,0.29358414,0.29358313
2.20000000,-1.59810861,-1.59810758,0.27775582,0.27775502
2.25000000,-1.57743192,-1.57743090,0.26225418,0.26225345
2.30000000,-1.55504584,-1.55504470,0.24707146,0.24707073
2.35000000,-1.53073942,-1.53073833,0.23219956,0.23219892
2.40000000,-1.50426488,-1.50426372,0.21762940,0.21762879
2.45000000,-1.47532973,-1.47532858,0.20335108,0.20335054
2.50000000,-1.44358606,-1.44356815,0.18935361,0.18934615
2.55000000,-1.40861690,-0.80313857,0.17562472,0.06016472
2.60000000,-1.36991584,-0.10298539,0.16214969,0.00648797
2.65000000,-1.32685839,-0.08527476,0.14890994,0.00536773
2.70000000,-1.27865432,-0.07487469,0.13587950,0.00471112
2.75000000,-1.22426406,-0.06737569,0.12301851,0.00423815
2.80000000,-1.16222902,-0.06150889,0.11025872,0.00386838
2.85000000,-1.09027511,-0.05670666,0.09746950,0.00356585
2.90000000,-1.00416331,-0.05265948,0.08435922,0.00331099
2.95000000,-0.89294867,-0.04917780,0.07007416,0.00309180
3.00000000,-0.68947470,-0.04613625,0.04916379,0.00290037
3.05000000,-0.04348605,-0.04344720,0.00273360,0.00273116
3.10000000,-0.04104687,-0.04104679,0.00258014,0.00258013
3.15000000,-0.03888696,-0.03888696,0.00244426,0.00244426
3.20000000,-0.03693058,-0.03693058,0.00232121,0.00232121
3.25000000,-0.03514835,-0.03514835,0.00220912,0.00220912
3.30000000,-0.03351671,-0.03351670,0.00210651,0.00210651
3.35000000,-0.03201645,-0.03201644,0.00201217,0.00201217
3.40000000,-0.03063169,-0.03063169,0.00192510,0.00192510
