# Figure 3: Double occupancy scan, beta=64.0
# Columns: U, d_metallic, d_insulating, ImSig_metallic, ImSig_insulating
U,d_metallic,d_insulating,ImSig_metallic,ImSig_insulating
2.00000000,0.16388443,0.16388478,-0.09341715,-0.09341743
2.05000000,0.16806927,0.16806960,-0.10069597,-0.10069626
2.10000000,0.17216785,0.17216817,-0.10858344,-0.10858377
2.15000000,0.17618122,0.17618156,-0.11715567,-0.11715606
2.20000000,0.18011075,0.18011101,-0.12650265,-0.12650301
2.25000000,0.18395788,0.18395815,-0.13673126,-0.13673168
2.30000000,0.18772443,0.18772465,-0.14796991,-0.14797032
2.35000000,0.19141223,0.19141241,-0.16037364,-0.16037403
2.40000000,0.19502327,0.19502343,-0.17413166,-0.17413206
2.45000000,0.19855960,0.19855975,-0.18947711,-0.18947756
2.50000000,0.20202332,0.20202348,-0.20670051,-0.20670107
2.55000000,0.20541656,0.20542540,-0.22616847,-0.22620596
2.60000000,0.20874140,0.24897789,-0.24834999,-11.95687513
2.65000000,0.21199984,0.24917080,-0.27385474,-14.75060360
2.70000000,0.21519398,0.24927554,-0.30349103,-16.89024885
2.75000000,0.21832591,0.24934964,-0.33835394,-18.82010490
2.80000000,0.22139817,0.24940710,-0.37997080,-20.64885269
2.85000000,0.22441445,0.24945390,-0.43055250,-22.42265460
2.90000000,0.22738163,0.24949321,-0.49347383,-24.16595186
2.95000000,0.23031491,0.24952696,-0.57432106,-25.89340838
3.00000000,0.23325297,0.24955639,-0.68369099,-27.61457203
