# Figure 4: Phase diagram
# IPT boundaries
T,Uc1_IPT,Uc2_IPT
0.03333333,2.50000000,2.70000000
0.02857143,2.50000000,2.80000000
0.02500000,2.55000000,2.90000000
0.02222222,2.55000000,2.95000000
0.02000000,2.55000000,3.00000000
0.01666667,2.55000000,3.10000000
0.01250000,2.55000000,3.20000000
0.01000000,2.55000000,3.30000000
0.00666667,2.55000000,3.35000000

# QMC data from paper
beta,T,Uc1_low,Uc1_high,Uc2_low,Uc2_high
57,0.01754386,2.36,2.4,2.42,2.53
64,0.01562500,2.36,2.41,2.48,2.52
100,0.01000000,2.35,2.45,2.58,2.62
