# Figure 1b: Sum of Im(b_0l) vs nqR
# Parameters: R/a=0.1, n=10, 511x511 array, l_max=1, k=1.01q
nqR,sum_Im_b0l
0.50000000,-0.00000116
0.51879699,-0.00000215
0.53759398,-0.00000449
0.55639098,-0.00000638
0.57518797,-0.00000908
0.59398496,-0.00001235
0.61278195,-0.00001543
0.63157895,-0.00002034
0.65037594,-0.00002380
0.66917293,-0.00003063
0.68796992,-0.00003463
0.70676692,-0.00004324
0.72556391,-0.00004865
0.74436090,-0.00005865
0.76315789,-0.00006623
0.78195489,-0.00007725
0.80075188,-0.00008793
0.81954887,-0.00009922
0.83834586,-0.00011406
0.85714286,-0.00012563
0.87593985,-0.00014491
0.89473684,-0.00015736
0.91353383,-0.00018098
0.93233083,-0.00019510
0.95112782,-0.00022212
0.96992481,-0.00024008
0.98872180,-0.00026899
1.00751880,-0.00029310
1.02631579,-0.00032286
1.04511278,-0.00035495
1.06390977,-0.00038421
1.08270677,-0.00042587
1.10150376,-0.00045482
1.12030075,-0.00050600
1.13909774,-0.00053695
1.15789474,-0.00059643
1.17669173,-0.00063212
1.19548872,-0.00069709
1.21428571,-0.00074214
1.23308271,-0.00080880
1.25187970,-0.00086837
1.27067669,-0.00093462
1.28947368,-0.00101232
1.30827068,-0.00107654
1.32706767,-0.00117435
1.34586466,-0.00123760
1.36466165,-0.00135419
1.38345865,-0.00142239
1.40225564,-0.00155415
1.42105263,-0.00163485
1.43984962,-0.00177566
1.45864662,-0.00187820
1.47744361,-0.00202036
1.49624060,-0.00215466
1.51503759,-0.00229440
1.53383459,-0.00246743
1.55263158,-0.00260436
1.57142857,-0.00281853
1.59022556,-0.00295687
1.60902256,-0.00320830
1.62781955,-0.00336076
1.64661654,-0.00364171
1.66541353,-0.00382564
1.68421053,-0.00412545
1.70300752,-0.00435921
1.72180451,-0.00466620
1.74060150,-0.00496682
1.75939850,-0.00527657
1.77819549,-0.00565598
1.79699248,-0.00597386
1.81578947,-0.00643457
1.83458647,-0.00677512
1.85338346,-0.00731030
1.87218045,-0.00769847
1.89097744,-0.00829636
1.90977444,-0.00876451
1.92857143,-0.00941284
1.94736842,-0.00998849
1.96616541,-0.01068394
1.98496241,-0.01138460
2.00375940,-0.01213763
2.02255639,-0.01296719
2.04135338,-0.01380968
2.06015038,-0.01474811
2.07894737,-0.01572835
2.09774436,-0.01675285
2.11654135,-0.01791892
2.13533835,-0.01900744
2.15413534,-0.02039419
2.17293233,-0.02154299
2.19172932,-0.02312360
2.21052632,-0.02440339
2.22932331,-0.02609643
2.24812030,-0.02764643
2.26691729,-0.02929177
2.28571429,-0.03133523
2.30451128,-0.03266603
