# Figure 2b: |b_0|^2 vs nqR
# Parameters: R/a=0.1, n=10, 511x511 array, l_max=1, k~q
nqR,b0_squared
0.50000000,0.00000000
0.51879699,0.00000000
0.53759398,0.00000000
0.55639098,0.00000000
0.57518797,0.00000000
0.59398496,0.00000000
0.61278195,0.00000000
0.63157895,0.00000000
0.65037594,0.00000000
0.66917293,0.00000000
0.68796992,0.00000001
0.70676692,0.00000001
0.72556391,0.00000001
0.74436090,0.00000001
0.76315789,0.00000001
0.78195489,0.00000001
0.80075188,0.00000001
0.81954887,0.00000002
0.83834586,0.00000002
0.85714286,0.00000002
0.87593985,0.00000002
0.89473684,0.00000003
0.91353383,0.00000003
0.93233083,0.00000004
0.95112782,0.00000004
0.96992481,0.00000005
0.98872180,0.00000006
1.00751880,0.00000006
1.02631579,0.00000007
1.04511278,0.00000008
1.06390977,0.00000009
1.08270677,0.00000010
1.10150376,0.00000011
1.12030075,0.00000012
1.13909774,0.00000014
1.15789474,0.00000015
1.17669173,0.00000017
1.19548872,0.00000019
1.21428571,0.00000021
1.23308271,0.00000024
1.25187970,0.00000026
1.27067669,0.00000029
1.28947368,0.00000031
1.30827068,0.00000036
1.32706767,0.00000038
1.34586466,0.00000043
1.36466165,0.00000046
1.38345865,0.00000053
1.40225564,0.00000056
1.42105263,0.00000063
1.43984962,0.00000068
1.45864662,0.00000076
1.47744361,0.00000082
1.49624060,0.00000091
1.51503759,0.00000099
1.53383459,0.00000108
1.55263158,0.00000119
1.57142857,0.00000128
1.59022556,0.00000143
1.60902256,0.00000153
1.62781955,0.00000171
1.64661654,0.00000181
1.66541353,0.00000204
1.68421053,0.00000216
1.70300752,0.00000243
1.72180451,0.00000258
1.74060150,0.00000287
1.75939850,0.00000308
1.77819549,0.00000340
1.79699248,0.00000367
1.81578947,0.00000402
1.83458647,0.00000439
1.85338346,0.00000476
1.87218045,0.00000523
1.89097744,0.00000564
1.90977444,0.00000624
1.92857143,0.00000670
1.94736842,0.00000743
1.96616541,0.00000799
1.98496241,0.00000885
2.00375940,0.00000957
2.02255639,0.00001056
2.04135338,0.00001148
2.06015038,0.00001262
2.07894737,0.00001384
2.09774436,0.00001516
2.11654135,0.00001668
2.13533835,0.00001834
2.15413534,0.00002016
2.17293233,0.00002238
2.19172932,0.00002446
2.21052632,0.00002759
2.22932331,0.00002973
2.24812030,0.00003443
2.26691729,0.00003648
2.28571429,0.00004348
2.30451128,0.00004530
2.32330827,0.00005549
2.34210526,0.00005709
2.36090226,0.00007132
2.37969925,0.00007403
2.39849624,0.00009249
2.41729323,0.00009981
2.43609023,0.00012103
2.45488722,0.00014153
2.47368421,0.00015951
2.49248120,0.00021806
2.51127820,0.00021646
2.53007519,0.00038323
2.54887218,0.00030991
2.56766917,0.00082527
2.58646617,0.00048031
2.60526316,0.00251664
2.62406015,0.00089306
2.64285714,0.00730860
2.66165414,0.00257123
2.68045113,0.00280830
2.69924812,0.03093206
2.71804511,0.00109800
2.73684211,0.00402444
2.75563910,0.00059538
2.77443609,0.00066031
2.79323308,0.00039658
2.81203008,0.00021288
2.83082707,0.00029129
