# Figure 4b: 11x11 array |b_0l| vs nqR
# Parameters: R/a=0.35, n=4, k~q
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
0.30000000,0.00006060,0.00838013,0.00000452
0.32575251,0.00008635,0.00978833,0.00000651
0.35150502,0.00011965,0.01129634,0.00000909
0.37725753,0.00016177,0.01291689,0.00001237
0.40301003,0.00021403,0.01466629,0.00001644
0.42876254,0.00027766,0.01656255,0.00002140
0.45451505,0.00035379,0.01862301,0.00002732
0.48026756,0.00044315,0.02086133,0.00003424
0.50602007,0.00054592,0.02328342,0.00004217
0.53177258,0.00066133,0.02588239,0.00005104
0.55752508,0.00078724,0.02863252,0.00006068
0.58327759,0.00091980,0.03148349,0.00007082
0.60903010,0.00105310,0.03435694,0.00008108
0.63478261,0.00117940,0.03714861,0.00009102
0.66053512,0.00128989,0.03973912,0.00010022
0.68628763,0.00137615,0.04201340,0.00010848
0.71204013,0.00143230,0.04388413,0.00011600
0.73779264,0.00145711,0.04531058,0.00012351
0.76354515,0.00145586,0.04630486,0.00013231
0.78929766,0.00144174,0.04692409,0.00014404
0.81505017,0.00143622,0.04725352,0.00016027
0.84080268,0.00146726,0.04738827,0.00018210
0.86655518,0.00156297,0.04741906,0.00021002
0.89230769,0.00174221,0.04742409,0.00024400
0.91806020,0.00200961,0.04746580,0.00028376
0.94381271,0.00235892,0.04759100,0.00032887
0.96956522,0.00277970,0.04783256,0.00037893
0.99531773,0.00326150,0.04821169,0.00043352
1.02107023,0.00379528,0.04874015,0.00049223
1.04682274,0.00437329,0.04942240,0.00055467
1.07257525,0.00498871,0.05025740,0.00062042
1.09832776,0.00563520,0.05124030,0.00068903
1.12408027,0.00630655,0.05236383,0.00076002
1.14983278,0.00699646,0.05361958,0.00083285
1.17558528,0.00769827,0.05499898,0.00090692
1.20133779,0.00840474,0.05649420,0.00098153
1.22709030,0.00910775,0.05809870,0.00105589
1.25284281,0.00979793,0.05980774,0.00112907
1.27859532,0.01046415,0.06161849,0.00119997
1.30434783,0.01109286,0.06353003,0.00126727
1.33010033,0.01166725,0.06554290,0.00132939
1.35585284,0.01216619,0.06765809,0.00138435
1.38160535,0.01256308,0.06987526,0.00142980
1.40735786,0.01282472,0.07218945,0.00146288
1.43311037,0.01291105,0.07458582,0.00148029
1.45886288,0.01277713,0.07703139,0.00147860
1.48461538,0.01238100,0.07946381,0.00145499
1.51036789,0.01170461,0.08177872,0.00140911
1.53612040,0.01080096,0.08382195,0.00134661
1.56187291,0.00988280,0.08539909,0.00128441
1.58762542,0.00941957,0.08631686,0.00125406
1.61337793,0.01000817,0.08645581,0.00129336
1.63913043,0.01184732,0.08584043,0.00142134
1.66488294,0.01457285,0.08465200,0.00162334
1.69063545,0.01769918,0.08316418,0.00186656
1.71638796,0.02089123,0.08164487,0.00212151
1.74214047,0.02397533,0.08028640,0.00236986
1.76789298,0.02688552,0.07918800,0.00260299
1.79364548,0.02961552,0.07837430,0.00281824
1.81939799,0.03218705,0.07782425,0.00301599
1.84515050,0.03463188,0.07749541,0.00319775
1.87090301,0.03698291,0.07733930,0.00336528
1.89665552,0.03927053,0.07730937,0.00352005
