# Figure 4c: 201x201 array |b_0l| vs nqR
# Parameters: R/a=0.35, n=4, k~q
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
0.30000000,0.00000615,0.00124098,0.00000073
0.32575251,0.00001176,0.00132016,0.00000135
0.35150502,0.00000935,0.00144049,0.00000085
0.37725753,0.00001778,0.00155664,0.00000183
0.40301003,0.00001772,0.00162008,0.00000168
0.42876254,0.00002188,0.00175535,0.00000203
0.45451505,0.00003018,0.00180712,0.00000339
0.48026756,0.00002198,0.00194742,0.00000234
0.50602007,0.00004402,0.00203887,0.00000512
0.53177258,0.00003671,0.00213464,0.00000390
0.55752508,0.00004945,0.00227566,0.00000537
0.58327759,0.00006386,0.00232306,0.00000639
0.60903010,0.00005245,0.00246468,0.00000437
0.63478261,0.00008837,0.00251084,0.00000905
0.66053512,0.00006345,0.00262991,0.00000634
0.68628763,0.00010222,0.00272739,0.00001098
0.71204013,0.00010592,0.00279266,0.00001189
0.73779264,0.00009309,0.00296051,0.00001003
0.76354515,0.00015428,0.00297891,0.00001636
0.78929766,0.00010993,0.00313503,0.00000931
0.81505017,0.00018080,0.00317882,0.00001764
0.84080268,0.00016551,0.00326450,0.00001585
0.86655518,0.00017959,0.00339232,0.00001670
0.89230769,0.00023766,0.00339432,0.00002543
0.91806020,0.00015758,0.00360815,0.00001581
0.94381271,0.00028873,0.00358330,0.00003096
0.96956522,0.00023939,0.00373217,0.00002282
0.99531773,0.00028974,0.00381966,0.00002809
1.02107023,0.00035279,0.00381702,0.00003297
1.04682274,0.00027148,0.00403013,0.00002155
1.07257525,0.00043517,0.00393698,0.00004209
1.09832776,0.00030781,0.00417517,0.00002951
1.12408027,0.00045569,0.00415616,0.00004574
1.14983278,0.00047697,0.00421266,0.00004785
1.17558528,0.00039559,0.00444192,0.00003743
1.20133779,0.00061649,0.00428322,0.00005790
1.22709030,0.00043955,0.00458617,0.00003354
1.25284281,0.00067751,0.00444424,0.00005942
1.27859532,0.00062091,0.00458989,0.00005541
1.30434783,0.00063452,0.00471883,0.00005506
1.33010033,0.00082210,0.00457388,0.00007884
1.35585284,0.00054477,0.00499636,0.00004826
1.38160535,0.00093254,0.00469304,0.00008688
