# Figure 4a: Single cylinder |b_0l| vs nqR
# Parameters: R/a=0.35, n=4
nqR,abs_b0_l0,abs_b0_l1,abs_b0_l2
0.30000000,0.00004722,0.00784273,0.00000548
0.32575251,0.00006580,0.00925463,0.00000762
0.35150502,0.00008945,0.01078495,0.00001033
0.37725753,0.00011902,0.01243411,0.00001371
0.40301003,0.00015548,0.01420252,0.00001785
0.42876254,0.00019985,0.01609059,0.00002287
0.45451505,0.00025326,0.01809873,0.00002888
0.48026756,0.00031691,0.02022738,0.00003600
0.50602007,0.00039211,0.02247693,0.00004436
0.53177258,0.00048026,0.02484781,0.00005410
0.55752508,0.00058287,0.02734043,0.00006537
0.58327759,0.00070156,0.02995519,0.00007831
0.60903010,0.00083807,0.03269250,0.00009308
0.63478261,0.00099426,0.03555273,0.00010984
0.66053512,0.00117212,0.03853628,0.00012878
0.68628763,0.00137379,0.04164352,0.00015006
0.71204013,0.00160155,0.04487481,0.00017389
0.73779264,0.00185786,0.04823050,0.00020044
0.76354515,0.00214533,0.05171093,0.00022992
0.78929766,0.00246678,0.05531642,0.00026253
0.81505017,0.00282520,0.05904727,0.00029851
0.84080268,0.00322383,0.06290380,0.00033805
0.86655518,0.00366612,0.06688626,0.00038141
0.89230769,0.00415579,0.07099493,0.00042880
0.91806020,0.00469681,0.07523005,0.00048049
0.94381271,0.00529348,0.07959184,0.00053671
0.96956522,0.00595041,0.08408051,0.00059772
0.99531773,0.00667257,0.08869625,0.00066380
1.02107023,0.00746531,0.09343923,0.00073521
1.04682274,0.00833441,0.09830961,0.00081224
1.07257525,0.00928613,0.10330752,0.00089518
1.09832776,0.01032723,0.10843306,0.00098431
1.12408027,0.01146506,0.11368634,0.00107994
1.14983278,0.01270756,0.11906744,0.00118238
1.17558528,0.01406342,0.12457640,0.00129194
1.20133779,0.01554205,0.13021327,0.00140896
1.22709030,0.01715377,0.13597809,0.00153376
1.25284281,0.01890981,0.14187084,0.00166669
1.27859532,0.02082251,0.14789153,0.00180808
1.30434783,0.02290539,0.15404015,0.00195830
1.33010033,0.02517335,0.16031665,0.00211770
1.35585284,0.02764278,0.16672099,0.00228666
1.38160535,0.03033182,0.17325313,0.00246556
1.40735786,0.03326053,0.17991300,0.00265478
1.43311037,0.03645122,0.18670056,0.00285470
1.45886288,0.03992869,0.19361572,0.00306574
1.48461538,0.04372067,0.20065844,0.00328831
1.51036789,0.04785818,0.20782866,0.00352281
1.53612040,0.05237605,0.21512634,0.00376968
1.56187291,0.05731354,0.22255143,0.00402935
1.58762542,0.06271501,0.23010393,0.00430226
1.61337793,0.06863076,0.23778384,0.00458886
1.63913043,0.07511807,0.24559120,0.00488960
1.66488294,0.08224232,0.25352607,0.00520496
1.69063545,0.09007851,0.26158855,0.00553541
1.71638796,0.09871297,0.26977881,0.00588144
1.74214047,0.10824546,0.27809704,0.00624353
1.76789298,0.11879174,0.28654352,0.00662220
1.79364548,0.13048672,0.29511857,0.00701794
1.81939799,0.14348819,0.30382263,0.00743129
1.84515050,0.15798150,0.31265618,0.00786277
1.87090301,0.17418510,0.32161985,0.00831291
1.89665552,0.19235723,0.33071436,0.00878228
1.92240803,0.21280386,0.33994054,0.00927143
1.94816054,0.23588779,0.34929939,0.00978092
1.97391304,0.26203851,0.35879204,0.01031134
1.99966555,0.29176189,0.36841980,0.01086328
2.02541806,0.32564732,0.37818419,0.01143733
2.05117057,0.36436725,0.38808689,0.01203412
2.07692308,0.40865960,0.39812987,0.01265425
2.10267559,0.45927518,0.40831529,0.01329837
2.12842809,0.51685935,0.41864564,0.01396711
2.15418060,0.58172046,0.42912369,0.01466115
2.17993311,0.65342775,0.43975253,0.01538114
2.20568562,0.73021110,0.45053564,0.01612778
2.23143813,0.80827486,0.46147690,0.01690175
2.25719064,0.88144753,0.47258061,0.01770376
