kDelta,eta_exact,eta_short_wavelength,eta_long_wavelength
1.00000000e-02,2.22911600e-02,5.77350269e-02,2.23606798e-02
3.00200401e-02,5.05257043e-02,1.00033395e-01,5.09968620e-02
5.00400802e-02,7.36717362e-02,1.29151178e-01,7.48123849e-02
7.00601202e-02,9.42562551e-02,1.52818106e-01,9.62915463e-02
9.00801603e-02,1.13138025e-01,1.73282198e-01,1.16267107e-01
1.10100200e-01,1.30749981e-01,1.91572615e-01,1.35153123e-01
1.30120240e-01,1.47352054e-01,2.08262847e-01,1.53194666e-01
1.50140281e-01,1.63117201e-01,2.23711332e-01,1.70552433e-01
1.70160321e-01,1.78168658e-01,2.38159835e-01,1.87339227e-01
1.90180361e-01,1.92598648e-01,2.51780566e-01,2.03638201e-01
2.10200401e-01,2.06478779e-01,2.64701342e-01,2.19512955e-01
2.30220441e-01,2.19866278e-01,2.77020120e-01,2.35013556e-01
2.50240481e-01,2.32807949e-01,2.88813943e-01,2.50180339e-01
2.70260521e-01,2.45342797e-01,3.00144699e-01,2.65046430e-01
2.90280561e-01,2.57503846e-01,3.11062995e-01,2.79639468e-01
3.10300601e-01,2.69319431e-01,3.21610842e-01,2.93982829e-01
3.30320641e-01,2.80814143e-01,3.31823568e-01,3.08096516e-01
3.50340681e-01,2.92009529e-01,3.41731221e-01,3.21997819e-01
3.70360721e-01,3.02924640e-01,3.51359608e-01,3.35701818e-01
3.90380762e-01,3.13576442e-01,3.60731092e-01,3.49221769e-01
4.10400802e-01,3.23980146e-01,3.69865201e-01,3.62569404e-01
4.30420842e-01,3.34149472e-01,3.78779110e-01,3.75755176e-01
4.50440882e-01,3.44096861e-01,3.87488013e-01,3.88788448e-01
4.70460922e-01,3.53833650e-01,3.96005438e-01,4.01677651e-01
4.90480962e-01,3.63370211e-01,4.04343485e-01,4.14430413e-01
5.10501002e-01,3.72716075e-01,4.12513031e-01,4.27053663e-01
5.30521042e-01,3.81880029e-01,4.20523896e-01,4.39553723e-01
5.50541082e-01,3.90870200e-01,4.28384983e-01,4.51936379e-01
5.70561122e-01,3.99694131e-01,4.36104392e-01,4.64206945e-01
5.90581162e-01,4.08358839e-01,4.43689517e-01,4.76370320e-01
6.10601202e-01,4.16870868e-01,4.51147131e-01,4.88431026e-01
6.30621242e-01,4.25236341e-01,4.58483458e-01,5.00393257e-01
6.50641283e-01,4.33460992e-01,4.65704228e-01,5.12260907e-01
6.70661323e-01,4.41550205e-01,4.72814736e-01,5.24037599e-01
6.90681363e-01,4.49509048e-01,4.79819884e-01,5.35726717e-01
7.10701403e-01,4.57342296e-01,4.86724221e-01,5.47331422e-01
7.30721443e-01,4.65054456e-01,4.93531979e-01,5.58854679e-01
7.50741483e-01,4.72649789e-01,5.00247100e-01,5.70299266e-01
