r_over_l_AGN,gamma_AGN,r_over_l_GRB,gamma_GRB,r_over_l_Pulsar,gamma_Pulsar
1.00000000e+00,6.08220200e-01,1.00000000e+00,2.82310809e+00,1.00000000e+00,6.08220200e+00
1.02513718e+00,6.13274398e-01,1.04423445e+00,2.86413518e+00,1.05391609e+00,6.18960381e+00
1.05090625e+00,6.18370596e-01,1.09042560e+00,2.90575851e+00,1.11073912e+00,6.29890216e+00
1.07732307e+00,6.23509142e-01,1.13865998e+00,2.94798673e+00,1.17062583e+00,6.41013054e+00
1.10440394e+00,6.28690389e-01,1.18902798e+00,2.99082864e+00,1.23374140e+00,6.52332304e+00
1.13216554e+00,6.33914691e-01,1.24162398e+00,3.03429315e+00,1.30025991e+00,6.63851433e+00
1.16062499e+00,6.39182406e-01,1.29654654e+00,3.07838932e+00,1.37036484e+00,6.75573971e+00
1.18979984e+00,6.44493895e-01,1.35389857e+00,3.12312631e+00,1.44424955e+00,6.87503510e+00
1.21970805e+00,6.49849521e-01,1.41378753e+00,3.16851345e+00,1.52211784e+00,6.99643706e+00
1.25036808e+00,6.55249652e-01,1.47632565e+00,3.21456019e+00,1.60418448e+00,7.11998278e+00
1.28179881e+00,6.60694656e-01,1.54163011e+00,3.26127610e+00,1.69067584e+00,7.24571011e+00
1.31401962e+00,6.66184908e-01,1.60982328e+00,3.30867092e+00,1.78183047e+00,7.37365758e+00
1.34705038e+00,6.71720782e-01,1.68103293e+00,3.35675450e+00,1.87789980e+00,7.50386440e+00
1.38091143e+00,6.77302659e-01,1.75539251e+00,3.40553687e+00,1.97914881e+00,7.63637046e+00
1.41562365e+00,6.82930920e-01,1.83304134e+00,3.45502817e+00,2.08585677e+00,7.77121636e+00
1.45120844e+00,6.88605951e-01,1.91412492e+00,3.50523871e+00,2.19831801e+00,7.90844342e+00
1.48768774e+00,6.94328140e-01,1.99879519e+00,3.55617893e+00,2.31684272e+00,8.04809369e+00
1.52508402e+00,7.00097880e-01,2.08721081e+00,3.60785945e+00,2.44175782e+00,8.19020996e+00
1.56342033e+00,7.05915565e-01,2.17953744e+00,3.66029103e+00,2.57340785e+00,8.33483577e+00
1.60272032e+00,7.11781594e-01,2.27594809e+00,3.71348457e+00,2.71215594e+00,8.48201543e+00
1.64300819e+00,7.17696369e-01,2.37662341e+00,3.76745115e+00,2.85838478e+00,8.63179405e+00
1.68430879e+00,7.23660294e-01,2.48175205e+00,3.82220200e+00,3.01249771e+00,8.78421751e+00
1.72664757e+00,7.29673779e-01,2.59153100e+00,3.87774853e+00,3.17491981e+00,8.93933253e+00
1.77005063e+00,7.35737234e-01,2.70616595e+00,3.93410229e+00,3.34609907e+00,9.09718663e+00
1.81454472e+00,7.41851076e-01,2.82587173e+00,3.99127502e+00,3.52650764e+00,9.25782817e+00
1.86015726e+00,7.48015723e-01,2.95087262e+00,4.04927862e+00,3.71664314e+00,9.42130638e+00
1.90691637e+00,7.54231596e-01,3.08140286e+00,4.10812516e+00,3.91703001e+00,9.58767135e+00
1.95485088e+00,7.60499123e-01,3.21770704e+00,4.16782689e+00,4.12822094e+00,9.75697406e+00
2.00399033e+00,7.66818731e-01,3.36004055e+00,4.22839625e+00,4.35079847e+00,9.92926638e+00
2.05436500e+00,7.73190855e-01,3.50867011e+00,4.28984583e+00,4.58537651e+00,1.01046011e+01
2.10600595e+00,7.79615929e-01,3.66387422e+00,4.35218844e+00,4.83260208e+00,1.02830319e+01
2.15894501e+00,7.86094395e-01,3.82594369e+00,4.41543705e+00,5.09315709e+00,1.04646136e+01
2.21321480e+00,7.92626695e-01,3.99518222e+00,4.47960482e+00,5.36776020e+00,1.06494017e+01
2.26884879e+00,7.99213278e-01,4.17190693e+00,4.54470512e+00,5.65716884e+00,1.08374528e+01
2.32588126e+00,8.05854594e-01,4.35644895e+00,4.61075150e+00,5.96218125e+00,1.10288246e+01
2.38434736e+00,8.12551098e-01,4.54915410e+00,4.67775770e+00,6.28363875e+00,1.12235758e+01
2.44428314e+00,8.19303249e-01,4.75038344e+00,4.74573767e+00,6.62242798e+00,1.14217659e+01
2.50572554e+00,8.26111509e-01,4.96051406e+00,4.81470557e+00,6.97948340e+00,1.16234557e+01
2.56871242e+00,8.32976344e-01,5.17993970e+00,4.88467576e+00,7.35578985e+00,1.18287071e+01
2.63328261e+00,8.39898225e-01,5.40907150e+00,4.95566279e+00,7.75238527e+00,1.20375828e+01
2.69947592e+00,8.46877625e-01,5.64833883e+00,5.02768145e+00,8.17036356e+00,1.22501470e+01
2.76733314e+00,8.53915023e-01,5.89819001e+00,5.10074672e+00,8.61087761e+00,1.24664647e+01
2.83689611e+00,8.61010901e-01,6.15909323e+00,5.17487383e+00,9.07514246e+00,1.26866022e+01
2.90820768e+00,8.68165744e-01,6.43153735e+00,5.25007819e+00,9.56443865e+00,1.29106270e+01
2.98131183e+00,8.75380042e-01,6.71603290e+00,5.32637547e+00,1.00801158e+01,1.31386077e+01
3.05625362e+00,8.82654290e-01,7.01311295e+00,5.40378155e+00,1.06235962e+01,1.33706142e+01
3.13307923e+00,8.89988985e-01,7.32333417e+00,5.48231253e+00,1.11963790e+01,1.36067175e+01
3.21183601e+00,8.97384631e-01,7.64727786e+00,5.56198478e+00,1.18000439e+01,1.38469901e+01
3.29257253e+00,9.04841733e-01,7.98555102e+00,5.64281487e+00,1.24362561e+01,1.40915054e+01
3.37533853e+00,9.12360802e-01,8.33878752e+00,5.72481964e+00,1.31067704e+01,1.43403385e+01
3.46018503e+00,9.19942353e-01,8.70764923e+00,5.80801614e+00,1.38134362e+01,1.45935656e+01
3.54716434e+00,9.27586905e-01,9.09282734e+00,5.89242171e+00,1.45582027e+01,1.48512643e+01
3.63633006e+00,9.35294983e-01,9.49504359e+00,5.97805391e+00,1.53431241e+01,1.51135135e+01
3.72773715e+00,9.43067113e-01,9.91505167e+00,6.06493057e+00,1.61703653e+01,1.53803936e+01
3.82144197e+00,9.50903828e-01,1.03536386e+01,6.15306977e+00,1.70422082e+01,1.56519864e+01
3.91750225e+00,9.58805664e-01,1.08116261e+01,6.24248986e+00,1.79610574e+01,1.59283750e+01
4.01597723e+00,9.66773164e-01,1.12898725e+01,6.33320946e+00,1.89294474e+01,1.62096443e+01
4.11692759e+00,9.74806872e-01,1.17892738e+01,6.42524745e+00,1.99500491e+01,1.64958803e+01
4.22041555e+00,9.82907338e-01,1.23107659e+01,6.51862299e+00,2.10256778e+01,1.67871707e+01
4.32650491e+00,9.91075118e-01,1.28553259e+01,6.61335552e+00,2.21593001e+01,1.70836049e+01
4.43526106e+00,9.99310771e-01,1.34239743e+01,6.70946476e+00,2.33540429e+01,1.73852736e+01
4.54675103e+00,1.00761486e+00,1.40177765e+01,6.80697072e+00,2.46132015e+01,1.76922693e+01
4.66104355e+00,1.01598796e+00,1.46378451e+01,6.90589369e+00,2.59402491e+01,1.80046861e+01
4.77820905e+00,1.02443063e+00,1.52853422e+01,7.00625428e+00,2.73388459e+01,1.83226196e+01
4.89831977e+00,1.03294346e+00,1.59614810e+01,7.10807336e+00,2.88128495e+01,1.86461673e+01
5.02144973e+00,1.04152703e+00,1.66675284e+01,7.21137213e+00,3.03663257e+01,1.89754283e+01
5.14767484e+00,1.05018193e+00,1.74048074e+01,7.31617211e+00,3.20035592e+01,1.93105036e+01
5.27707289e+00,1.05890875e+00,1.81746996e+01,7.42249510e+00,3.37290660e+01,1.96514957e+01
5.40972364e+00,1.06770809e+00,1.89786475e+01,7.53036324e+00,3.55476053e+01,1.99985092e+01
5.54570885e+00,1.07658055e+00,1.98181576e+01,7.63979899e+00,3.74641932e+01,2.03516504e+01
5.68511235e+00,1.08552673e+00,2.06948030e+01,7.75082512e+00,3.94841160e+01,2.07110275e+01
5.82802007e+00,1.09454726e+00,2.16102263e+01,7.86346475e+00,4.16129451e+01,2.10767506e+01
5.97452008e+00,1.10364275e+00,2.25661429e+01,7.97774133e+00,4.38565523e+01,2.14489318e+01
6.12470268e+00,1.11281382e+00,2.35643439e+01,8.09367864e+00,4.62211261e+01,2.18276851e+01
6.27866046e+00,1.12206110e+00,2.46066998e+01,8.21130082e+00,4.87131885e+01,2.22131266e+01
6.43648830e+00,1.13138522e+00,2.56951637e+01,8.33063236e+00,5.13396131e+01,2.26053743e+01
6.59828349e+00,1.14078682e+00,2.68317753e+01,8.45169810e+00,5.41076443e+01,2.30045485e+01
6.76414575e+00,1.15026655e+00,2.80186642e+01,8.57452323e+00,5.70249168e+01,2.34107715e+01
6.93417733e+00,1.15982506e+00,2.92580545e+01,8.69913334e+00,6.00994773e+01,2.38241677e+01
7.10848301e+00,1.16946299e+00,3.05522686e+01,8.82555435e+00,6.33398061e+01,2.42448638e+01
7.28717026e+00,1.17918101e+00,3.19037315e+01,8.95381259e+00,6.67548408e+01,2.46729888e+01
7.47034919e+00,1.18897979e+00,3.33149756e+01,9.08393475e+00,7.03540007e+01,2.51086737e+01
7.65813273e+00,1.19886000e+00,3.47886454e+01,9.21594793e+00,7.41472133e+01,2.55520521e+01
7.85063662e+00,1.20882230e+00,3.63275022e+01,9.34987960e+00,7.81449410e+01,2.60032598e+01
8.04797952e+00,1.21886740e+00,3.79344294e+01,9.48575765e+00,8.23582107e+01,2.64624352e+01
8.25028305e+00,1.22899596e+00,3.96124382e+01,9.62361036e+00,8.67986433e+01,2.69297188e+01
8.45767193e+00,1.23920869e+00,4.13646727e+01,9.76346642e+00,9.14784867e+01,2.74052539e+01
8.67027399e+00,1.24950629e+00,4.31944165e+01,9.90535496e+00,9.64106489e+01,2.78891862e+01
8.88822026e+00,1.25988946e+00,4.51050979e+01,1.00493055e+01,1.01608734e+02,2.83816639e+01
9.11164508e+00,1.27035891e+00,4.71002973e+01,1.01953480e+01,1.07087080e+02,2.88828380e+01
9.34068618e+00,1.28091536e+00,4.91837532e+01,1.03435129e+01,1.12860796e+02,2.93928620e+01
9.57548472e+00,1.29155953e+00,5.13593697e+01,1.04938311e+01,1.18945809e+02,2.99118922e+01
9.81618544e+00,1.30229215e+00,5.36312234e+01,1.06463337e+01,1.25358902e+02,3.04400877e+01
1.00629367e+01,1.31311396e+00,5.60035713e+01,1.08010526e+01,1.32117764e+02,3.09776102e+01
1.03158906e+01,1.32402570e+00,5.84808587e+01,1.09580199e+01,1.39241037e+02,3.15246245e+01
1.05752030e+01,1.33502811e+00,6.10677276e+01,1.11172684e+01,1.46748369e+02,3.20812982e+01
1.08410338e+01,1.34612195e+00,6.37690252e+01,1.12788312e+01,1.54660467e+02,3.26478018e+01
1.11135469e+01,1.35730798e+00,6.65898132e+01,1.14427420e+01,1.62999154e+02,3.32243089e+01
1.13929102e+01,1.36858696e+00,6.95353772e+01,1.16090347e+01,1.71787431e+02,3.38109963e+01
1.16792958e+01,1.37995966e+00,7.26112367e+01,1.17777442e+01,1.81049538e+02,3.44080436e+01
1.19728804e+01,1.39142688e+00,7.58231551e+01,1.19489054e+01,1.90811021e+02,3.50156338e+01
1.22738449e+01,1.40298938e+00,7.91771510e+01,1.21225541e+01,2.01098805e+02,3.56339530e+01
1.25823748e+01,1.41464796e+00,8.26795090e+01,1.22987263e+01,2.11941266e+02,3.62631907e+01
1.28986603e+01,1.42640343e+00,8.63367920e+01,1.24774587e+01,2.23368310e+02,3.69035398e+01
1.32228963e+01,1.43825658e+00,9.01558529e+01,1.26587886e+01,2.35411456e+02,3.75551964e+01
1.35552827e+01,1.45020823e+00,9.41438478e+01,1.28427537e+01,2.48103921e+02,3.82183602e+01
1.38960243e+01,1.46225919e+00,9.83082495e+01,1.30293923e+01,2.61480714e+02,3.88932343e+01
1.42453312e+01,1.47441030e+00,1.02656861e+02,1.32187432e+01,2.75578732e+02,3.95800257e+01
1.46034187e+01,1.48666238e+00,1.07197832e+02,1.34108459e+01,2.90436859e+02,4.02789447e+01
1.49705075e+01,1.49901627e+00,1.11939669e+02,1.36057404e+01,3.06096079e+02,4.09902054e+01
1.53468239e+01,1.51147282e+00,1.16891259e+02,1.38034671e+01,3.22599582e+02,4.17140259e+01
1.57325998e+01,1.52403289e+00,1.22061880e+02,1.40040674e+01,3.39992890e+02,4.24506278e+01
1.61280731e+01,1.53669732e+00,1.27461221e+02,1.42075829e+01,3.58323977e+02,4.32002370e+01
1.65334874e+01,1.54946699e+00,1.33099398e+02,1.44140560e+01,3.77643405e+02,4.39630830e+01
1.69490927e+01,1.56234278e+00,1.38986978e+02,1.46235296e+01,3.98004460e+02,4.47393997e+01
1.73751452e+01,1.57532556e+00,1.45134991e+02,1.48360475e+01,4.19463304e+02,4.55294248e+01
1.78119074e+01,1.58841623e+00,1.51554958e+02,1.50516539e+01,4.42079125e+02,4.63334005e+01
1.82596486e+01,1.60161568e+00,1.58258909e+02,1.52703935e+01,4.65914303e+02,4.71515731e+01
1.87186447e+01,1.61492481e+00,1.65259405e+02,1.54923120e+01,4.91034580e+02,4.79841934e+01
1.91891787e+01,1.62834454e+00,1.72569565e+02,1.57174555e+01,5.17509244e+02,4.88315163e+01
1.96715407e+01,1.64187578e+00,1.80203085e+02,1.59458710e+01,5.45411319e+02,4.96938016e+01
2.01660278e+01,1.65551947e+00,1.88174270e+02,1.61776060e+01,5.74817764e+02,5.05713134e+01
2.06729449e+01,1.66927654e+00,1.96498057e+02,1.64127086e+01,6.05809690e+02,5.14643207e+01
2.11926045e+01,1.68314792e+00,2.05190041e+02,1.66512279e+01,6.38472579e+02,5.23730970e+01
2.17253269e+01,1.69713457e+00,2.14266510e+02,1.68932135e+01,6.72896523e+02,5.32979208e+01
2.22714405e+01,1.71123745e+00,2.23744472e+02,1.71387158e+01,7.09176472e+02,5.42390756e+01
2.28312817e+01,1.72545752e+00,2.33641687e+02,1.73877859e+01,7.47412494e+02,5.51968496e+01
2.34051959e+01,1.73979575e+00,2.43976700e+02,1.76404756e+01,7.87710053e+02,5.61715363e+01
2.39935366e+01,1.75425314e+00,2.54768876e+02,1.78968376e+01,8.30180299e+02,5.71634344e+01
2.45966665e+01,1.76883066e+00,2.66038438e+02,1.81569251e+01,8.74940374e+02,5.81728478e+01
2.52149574e+01,1.78352932e+00,2.77806503e+02,1.84207924e+01,9.22113737e+02,5.92000859e+01
2.58487904e+01,1.79835012e+00,2.90095122e+02,1.86884944e+01,9.71830503e+02,6.02454632e+01
2.64985562e+01,1.81329408e+00,3.02927321e+02,1.89600868e+01,1.02422780e+03,6.13093003e+01
2.71646553e+01,1.82836222e+00,3.16327146e+02,1.92356261e+01,1.07945016e+03,6.23919230e+01
2.78474982e+01,1.84355558e+00,3.30319705e+02,1.95151698e+01,1.13764989e+03,6.34936630e+01
2.85475059e+01,1.85887519e+00,3.44931217e+02,1.97987759e+01,1.19898753e+03,6.46148580e+01
2.92651098e+01,1.87432210e+00,3.60189061e+02,2.00865035e+01,1.26363224e+03,6.57558515e+01
3.00007523e+01,1.88989737e+00,3.76121827e+02,2.03784126e+01,1.33176235e+03,6.69169930e+01
