gamma_max,r_diss_over_l_zeta_0.05,r_diss_over_l_zeta_0.1,r_diss_over_l_zeta_0.3,r_diss_over_l_zeta_0.5
3.16227766e+00,4.80000000e+04,1.20000000e+04,1.33333333e+03,4.80000000e+02
3.31182126e+00,5.26471683e+04,1.31617921e+04,1.46242134e+03,5.26471683e+02
3.46843675e+00,5.77442568e+04,1.44360642e+04,1.60400713e+03,5.77442568e+02
3.63245856e+00,6.33348250e+04,1.58337063e+04,1.75930070e+03,6.33348250e+02
3.80423694e+00,6.94666498e+04,1.73666624e+04,1.92962916e+03,6.94666498e+02
3.98413869e+00,7.61921333e+04,1.90480333e+04,2.11644815e+03,7.61921333e+02
4.17254797e+00,8.35687513e+04,2.08921878e+04,2.32135420e+03,8.35687513e+02
4.36986708e+00,9.16595440e+04,2.29148860e+04,2.54609844e+03,9.16595440e+02
4.57651739e+00,1.00533655e+05,2.51334137e+04,2.79260152e+03,1.00533655e+03
4.79294016e+00,1.10266922e+05,2.75667304e+04,3.06297005e+03,1.10266922e+03
5.01959752e+00,1.20942525e+05,3.02356312e+04,3.35951457e+03,1.20942525e+03
5.25697348e+00,1.32651697e+05,3.31629242e+04,3.68476935e+03,1.32651697e+03
5.50557490e+00,1.45494504e+05,3.63736260e+04,4.04151400e+03,1.45494504e+03
5.76593265e+00,1.59580701e+05,3.98951752e+04,4.43279724e+03,1.59580701e+03
6.03860267e+00,1.75030667e+05,4.37576667e+04,4.86196296e+03,1.75030667e+03
6.32416722e+00,1.91976437e+05,4.79941092e+04,5.33267880e+03,1.91976437e+03
6.62323606e+00,2.10562828e+05,5.26407071e+04,5.84896745e+03,2.10562828e+03
6.93644782e+00,2.30948680e+05,5.77371701e+04,6.41524112e+03,2.30948680e+03
7.26447132e+00,2.53308209e+05,6.33270522e+04,7.03633914e+03,2.53308209e+03
7.60800699e+00,2.77832498e+05,6.94581245e+04,7.71756938e+03,2.77832498e+03
7.96778841e+00,3.04731130e+05,7.61827826e+04,8.46475362e+03,3.04731130e+03
8.34458384e+00,3.34233981e+05,8.35584953e+04,9.28427725e+03,3.34233981e+03
8.73919786e+00,3.66593180e+05,9.16482950e+04,1.01831439e+04,3.66593180e+03
9.15247311e+00,4.02085267e+05,1.00521317e+05,1.11690352e+04,4.02085267e+03
9.58529208e+00,4.41013557e+05,1.10253389e+05,1.22503766e+04,4.41013557e+03
1.00385790e+01,4.83710727e+05,1.20927682e+05,1.34364091e+04,4.83710727e+03
1.05133018e+01,5.30541668e+05,1.32635417e+05,1.47372685e+04,5.30541668e+03
1.10104741e+01,5.81906593e+05,1.45476648e+05,1.61640720e+04,5.81906593e+03
1.15311576e+01,6.38244464e+05,1.59561116e+05,1.77290129e+04,6.38244464e+03
1.20764642e+01,7.00036744e+05,1.75009186e+05,1.94454651e+04,7.00036744e+03
1.26475583e+01,7.67811505e+05,1.91952876e+05,2.13280974e+04,7.67811505e+03
1.32456593e+01,8.42147948e+05,2.10536987e+05,2.33929985e+04,8.42147948e+03
1.38720443e+01,9.23681348e+05,2.30920337e+05,2.56578152e+04,9.23681348e+03
1.45280511e+01,1.01310849e+06,2.53277121e+05,2.81419024e+04,1.01310849e+04
1.52150803e+01,1.11119360e+06,2.77798401e+05,3.08664890e+04,1.11119360e+04
1.59345989e+01,1.21877493e+06,3.04693732e+05,3.38548591e+04,1.21877493e+04
1.66881435e+01,1.33677185e+06,3.34192962e+05,3.71325513e+04,1.33677185e+04
1.74773232e+01,1.46619276e+06,3.66548190e+05,4.07275766e+04,1.46619276e+04
1.83038229e+01,1.60814368e+06,4.02035921e+05,4.46706579e+04,1.60814368e+04
1.91694078e+01,1.76383773e+06,4.40959433e+05,4.89954925e+04,1.76383773e+04
2.00759260e+01,1.93460545e+06,4.83651364e+05,5.37390404e+04,1.93460545e+04
2.10253132e+01,2.12190623e+06,5.30476557e+05,5.89418396e+04,2.12190623e+04
2.20195969e+01,2.32734071e+06,5.81835178e+05,6.46483531e+04,2.32734071e+04
2.30609001e+01,2.55266454e+06,6.38166135e+05,7.09073484e+04,2.55266454e+04
2.41514463e+01,2.79980333e+06,6.99950831e+05,7.77723146e+04,2.79980333e+04
2.52935643e+01,3.07086910e+06,7.67717275e+05,8.53019194e+04,3.07086910e+04
2.64896929e+01,3.36817838e+06,8.42044594e+05,9.35605105e+04,3.36817838e+04
2.77423862e+01,3.69427195e+06,9.23567988e+05,1.02618665e+05,3.69427195e+04
2.90543191e+01,4.05193661e+06,1.01298415e+06,1.12553795e+05,4.05193661e+04
3.04282932e+01,4.44422892e+06,1.11105723e+06,1.23450803e+05,4.44422892e+04
3.18672422e+01,4.87450141e+06,1.21862535e+06,1.35402817e+05,4.87450141e+04
3.33742390e+01,5.34643117e+06,1.33660779e+06,1.48511977e+05,5.34643117e+04
3.49525013e+01,5.86405128e+06,1.46601282e+06,1.62890313e+05,5.86405128e+04
3.66053995e+01,6.43178529e+06,1.60794632e+06,1.78660703e+05,6.43178529e+04
3.83364629e+01,7.05448505e+06,1.76362126e+06,1.95957918e+05,7.05448505e+04
4.01493880e+01,7.73747212e+06,1.93436803e+06,2.14929781e+05,7.73747212e+04
4.20480461e+01,8.48658326e+06,2.12164581e+06,2.35738424e+05,8.48658326e+04
4.40364914e+01,9.30822035e+06,2.32705509e+06,2.58561676e+05,9.30822035e+04
4.61189699e+01,1.02094051e+07,2.55235126e+06,2.83594585e+05,1.02094051e+05
