wpe_dt,omega_over_wpe_EC,omega_over_wpe_explicit
1.00000000e-01,9.99791550e-01,1.00041714e+00
1.39698492e-01,9.99592978e-01,1.00081494e+00
1.79396985e-01,9.99328304e-01,1.00134585e+00
2.19095477e-01,9.98997250e-01,1.00201100e+00
2.58793970e-01,9.98599472e-01,1.00281183e+00
2.98492462e-01,9.98134556e-01,1.00375012e+00
3.38190955e-01,9.97602029e-01,1.00482793e+00
3.77889447e-01,9.97001351e-01,1.00604769e+00
4.17587940e-01,9.96331924e-01,1.00741217e+00
4.57286432e-01,9.95593091e-01,1.00892454e+00
4.96984925e-01,9.94784141e-01,1.01058836e+00
5.36683417e-01,9.93904307e-01,1.01240762e+00
5.76381910e-01,9.92952779e-01,1.01438680e+00
6.16080402e-01,9.91928696e-01,1.01653088e+00
6.55778894e-01,9.90831161e-01,1.01884537e+00
6.95477387e-01,9.89659238e-01,1.02133643e+00
7.35175879e-01,9.88411961e-01,1.02401086e+00
7.74874372e-01,9.87088337e-01,1.02687620e+00
8.14572864e-01,9.85687355e-01,1.02994082e+00
8.54271357e-01,9.84207987e-01,1.03321399e+00
8.93969849e-01,9.82649199e-01,1.03670602e+00
9.33668342e-01,9.81009960e-01,1.04042839e+00
9.73366834e-01,9.79289241e-01,1.04439386e+00
1.01306533e+00,9.77486031e-01,1.04861671e+00
1.05276382e+00,9.75599343e-01,1.05311294e+00
1.09246231e+00,9.73628220e-01,1.05790050e+00
1.13216080e+00,9.71571747e-01,1.06299966e+00
1.17185930e+00,9.69429059e-01,1.06843336e+00
1.21155779e+00,9.67199349e-01,1.07422769e+00
1.25125628e+00,9.64881881e-01,1.08041249e+00
1.29095477e+00,9.62475995e-01,1.08702205e+00
1.33065327e+00,9.59981121e-01,1.09409607e+00
1.37035176e+00,9.57396786e-01,1.10168084e+00
1.41005025e+00,9.54722622e-01,1.10983076e+00
1.44974874e+00,9.51958380e-01,1.11861040e+00
1.48944724e+00,9.49103934e-01,1.12809718e+00
1.52914573e+00,9.46159292e-01,1.13838512e+00
1.56884422e+00,9.43124600e-01,1.14959003e+00
1.60854271e+00,9.40000155e-01,1.16185702e+00
1.64824121e+00,9.36786406e-01,1.17537150e+00
1.68793970e+00,9.33483963e-01,1.19037633e+00
1.72763819e+00,9.30093598e-01,1.20719912e+00
1.76733668e+00,9.26616251e-01,1.22629899e+00
1.80703518e+00,9.23053031e-01,1.24835188e+00
1.84673367e+00,9.19405217e-01,1.27442271e+00
1.88643216e+00,9.15674258e-01,1.30636307e+00
1.92613065e+00,9.11861773e-01,1.34794968e+00
1.96582915e+00,9.07969545e-01,1.40976495e+00
2.00552764e+00,9.03999521e-01,nan
2.04522613e+00,8.99953802e-01,nan
2.08492462e+00,8.95834642e-01,nan
2.12462312e+00,8.91644436e-01,nan
