time,Bz_k1_simulation,Bz_k1_linear_theory
0.00000000e+00,0.00000000e+00,9.08313988e-04
5.00000000e-02,5.15776402e-06,9.18360597e-04
1.00000000e-01,2.05945862e-05,9.28518329e-04
1.50000000e-01,4.62115370e-05,9.38788412e-04
2.00000000e-01,8.18579814e-05,9.49172091e-04
2.50000000e-01,1.27332992e-04,9.59670620e-04
3.00000000e-01,1.82386914e-04,9.70285270e-04
3.50000000e-01,2.46721855e-04,9.81017326e-04
4.00000000e-01,3.19992803e-04,9.91868086e-04
4.50000000e-01,4.01809704e-04,1.00283886e-03
5.00000000e-01,4.91739682e-04,1.01393099e-03
5.50000000e-01,5.89309513e-04,1.02514580e-03
6.00000000e-01,6.94008373e-04,1.03648465e-03
6.50000000e-01,8.05290224e-04,1.04794892e-03
7.00000000e-01,9.22576281e-04,1.05953999e-03
7.50000000e-01,1.04525812e-03,1.07125927e-03
8.00000000e-01,1.17270032e-03,1.08310817e-03
8.50000000e-01,1.30424406e-03,1.09508813e-03
9.00000000e-01,1.43921178e-03,1.10720059e-03
9.50000000e-01,1.57691046e-03,1.11944703e-03
1.00000000e+00,1.71663452e-03,1.13182892e-03
1.05000000e+00,1.85766944e-03,1.14434777e-03
1.10000000e+00,1.99929540e-03,1.15700508e-03
1.15000000e+00,2.14079072e-03,1.16980240e-03
1.20000000e+00,2.28143590e-03,1.18274126e-03
1.25000000e+00,2.42051818e-03,1.19582323e-03
1.30000000e+00,2.55733488e-03,1.20904990e-03
1.35000000e+00,2.69119611e-03,1.22242286e-03
1.40000000e+00,2.82142857e-03,1.23594374e-03
1.45000000e+00,2.94737962e-03,1.24961417e-03
1.50000000e+00,3.06842079e-03,1.26343581e-03
1.55000000e+00,3.18395031e-03,1.27741032e-03
1.60000000e+00,3.29339603e-03,1.29153940e-03
1.65000000e+00,3.39621860e-03,1.30582476e-03
1.70000000e+00,3.49191453e-03,1.32026813e-03
1.75000000e+00,3.58001896e-03,1.33487125e-03
1.80000000e+00,3.66010842e-03,1.34963589e-03
1.85000000e+00,3.73180293e-03,1.36456383e-03
1.90000000e+00,3.79476794e-03,1.37965690e-03
1.95000000e+00,3.84871622e-03,1.39491690e-03
2.00000000e+00,3.89340938e-03,1.41034569e-03
2.05000000e+00,3.92865902e-03,1.42594513e-03
2.10000000e+00,3.95432721e-03,1.44171711e-03
2.15000000e+00,3.97032713e-03,1.45766354e-03
2.20000000e+00,3.97662355e-03,1.47378636e-03
2.25000000e+00,3.97323406e-03,1.49008750e-03
2.30000000e+00,3.96022951e-03,1.50656894e-03
2.35000000e+00,3.93773289e-03,1.52323268e-03
2.40000000e+00,3.90591812e-03,1.54008074e-03
2.45000000e+00,3.86500899e-03,1.55711514e-03
2.50000000e+00,3.81527810e-03,1.57433796e-03
2.55000000e+00,3.75704537e-03,1.59175128e-03
2.60000000e+00,3.69067634e-03,1.60935720e-03
2.65000000e+00,3.61657985e-03,1.62715785e-03
2.70000000e+00,3.53520577e-03,1.64515539e-03
2.75000000e+00,3.44704262e-03,1.66335200e-03
2.80000000e+00,3.35261587e-03,1.68174987e-03
2.85000000e+00,3.25248564e-03,1.70035124e-03
2.90000000e+00,3.14724359e-03,1.71915835e-03
2.95000000e+00,3.03751024e-03,1.73817349e-03
3.00000000e+00,2.92393090e-03,1.75739894e-03
3.05000000e+00,2.80717142e-03,1.77683704e-03
3.10000000e+00,2.68791519e-03,1.79649015e-03
3.15000000e+00,2.56686057e-03,1.81636062e-03
3.20000000e+00,2.44471738e-03,1.83645088e-03
3.25000000e+00,2.32220329e-03,1.85676336e-03
3.30000000e+00,2.20003999e-03,1.87730050e-03
3.35000000e+00,2.07894859e-03,1.89806480e-03
3.40000000e+00,1.95964543e-03,1.91905877e-03
3.45000000e+00,1.84283895e-03,1.94028495e-03
3.50000000e+00,1.72922699e-03,1.96174590e-03
3.55000000e+00,1.61949291e-03,1.98344423e-03
3.60000000e+00,1.51430144e-03,2.00538255e-03
3.65000000e+00,1.41429560e-03,2.02756353e-03
3.70000000e+00,1.32009395e-03,2.04998985e-03
3.75000000e+00,1.23228679e-03,2.07266422e-03
3.80000000e+00,1.15143250e-03,2.09558938e-03
3.85000000e+00,1.07805479e-03,2.11876812e-03
3.90000000e+00,1.01264098e-03,2.14220322e-03
3.95000000e+00,9.55639901e-04,2.16589754e-03
4.00000000e+00,9.07459335e-04,2.18985393e-03
4.05000000e+00,8.68464179e-04,2.21407529e-03
4.10000000e+00,8.38973547e-04,2.23856457e-03
4.15000000e+00,8.19258467e-04,2.26332471e-03
4.20000000e+00,8.09540368e-04,2.28835871e-03
4.25000000e+00,8.09989753e-04,2.31366961e-03
4.30000000e+00,8.20725438e-04,2.33926047e-03
4.35000000e+00,8.41814599e-04,2.36513438e-03
4.40000000e+00,8.73273260e-04,2.39129448e-03
4.45000000e+00,9.15065907e-04,2.41774392e-03
4.50000000e+00,9.67106256e-04,2.44448592e-03
4.55000000e+00,1.02925838e-03,2.47152370e-03
4.60000000e+00,1.10133666e-03,2.49886054e-03
4.65000000e+00,1.18310597e-03,2.52649974e-03
4.70000000e+00,1.27428290e-03,2.55444465e-03
4.75000000e+00,1.37453707e-03,2.58269865e-03
4.80000000e+00,1.48349240e-03,2.61126517e-03
4.85000000e+00,1.60072923e-03,2.64014765e-03
4.90000000e+00,1.72578749e-03,2.66934959e-03
4.95000000e+00,1.85816956e-03,2.69887452e-03
5.00000000e+00,1.99734299e-03,2.72872602e-03
5.05000000e+00,2.14274239e-03,2.75890770e-03
5.10000000e+00,2.29377186e-03,2.78942322e-03
5.15000000e+00,2.44980895e-03,2.82027625e-03
5.20000000e+00,2.61020815e-03,2.85147055e-03
5.25000000e+00,2.77430381e-03,2.88300987e-03
5.30000000e+00,2.94141347e-03,2.91489804e-03
5.35000000e+00,3.11084103e-03,2.94713892e-03
5.40000000e+00,3.28188028e-03,2.97973641e-03
5.45000000e+00,3.45381844e-03,3.01269444e-03
5.50000000e+00,3.62593989e-03,3.04601702e-03
5.55000000e+00,3.79753132e-03,3.07970817e-03
5.60000000e+00,3.96788618e-03,3.11377197e-03
5.65000000e+00,4.13630844e-03,3.14821253e-03
5.70000000e+00,4.30211597e-03,3.18303404e-03
5.75000000e+00,4.46464302e-03,3.21824069e-03
5.80000000e+00,4.62324312e-03,3.25383676e-03
5.85000000e+00,4.77729255e-03,3.28982655e-03
5.90000000e+00,4.92619335e-03,3.32621440e-03
5.95000000e+00,5.06937690e-03,3.36300474e-03
6.00000000e+00,5.20630727e-03,3.40020200e-03
6.05000000e+00,5.33648371e-03,3.43781069e-03
6.10000000e+00,5.45944351e-03,3.47583536e-03
6.15000000e+00,5.57476544e-03,3.51428061e-03
6.20000000e+00,5.68207155e-03,3.55315109e-03
6.25000000e+00,5.78102899e-03,3.59245151e-03
6.30000000e+00,5.87135208e-03,3.63218662e-03
6.35000000e+00,5.95280306e-03,3.67236123e-03
6.40000000e+00,6.02519212e-03,3.71298020e-03
6.45000000e+00,6.08837840e-03,3.75404844e-03
6.50000000e+00,6.14227222e-03,3.79557093e-03
6.55000000e+00,6.18683541e-03,3.83755269e-03
6.60000000e+00,6.22208069e-03,3.87999879e-03
6.65000000e+00,6.24807184e-03,3.92291438e-03
6.70000000e+00,6.26492402e-03,3.96630465e-03
6.75000000e+00,6.27280371e-03,4.01017484e-03
6.80000000e+00,6.27192788e-03,4.05453027e-03
6.85000000e+00,6.26256255e-03,4.09937631e-03
6.90000000e+00,6.24502133e-03,4.14471837e-03
6.95000000e+00,6.21966425e-03,4.19056195e-03
7.00000000e+00,6.18689618e-03,4.23691259e-03
