time,total_energy,total_momentum,dE_percent
0.00000000e+00,5.34515451e-01,-7.08990541e-02,0.00000000e+00
5.00000000e-02,5.34516497e-01,-7.08990541e-02,1.95611219e-04
1.00000000e-01,5.34517133e-01,-7.08997817e-02,3.14568902e-04
1.50000000e-01,5.34517207e-01,-7.09013842e-02,3.28364450e-04
2.00000000e-01,5.34517129e-01,-7.09034393e-02,3.13817167e-04
2.50000000e-01,5.34517048e-01,-7.09054412e-02,2.98717755e-04
3.00000000e-01,5.34517019e-01,-7.09072298e-02,2.93189653e-04
3.50000000e-01,5.34517110e-01,-7.09090581e-02,3.10339107e-04
4.00000000e-01,5.34517122e-01,-7.09112597e-02,3.12483079e-04
4.50000000e-01,5.34516938e-01,-7.09139710e-02,2.78104529e-04
5.00000000e-01,5.34516795e-01,-7.09170548e-02,2.51361765e-04
5.50000000e-01,5.34516774e-01,-7.09203763e-02,2.47454047e-04
6.00000000e-01,5.34516781e-01,-7.09238475e-02,2.48690017e-04
6.50000000e-01,5.34516799e-01,-7.09276233e-02,2.52047790e-04
7.00000000e-01,5.34516707e-01,-7.09317686e-02,2.34889117e-04
7.50000000e-01,5.34516484e-01,-7.09360890e-02,1.93208567e-04
8.00000000e-01,5.34516322e-01,-7.09403174e-02,1.62807931e-04
8.50000000e-01,5.34516273e-01,-7.09442769e-02,1.53741261e-04
9.00000000e-01,5.34516284e-01,-7.09479069e-02,1.55818056e-04
9.50000000e-01,5.34516411e-01,-7.09512966e-02,1.79481972e-04
1.00000000e+00,5.34516569e-01,-7.09545366e-02,2.09030825e-04
1.05000000e+00,5.34516647e-01,-7.09577282e-02,2.23713687e-04
1.10000000e+00,5.34516670e-01,-7.09610519e-02,2.27994056e-04
1.15000000e+00,5.34516614e-01,-7.09646193e-02,2.17577039e-04
1.20000000e+00,5.34516512e-01,-7.09684488e-02,1.98384686e-04
1.25000000e+00,5.34516456e-01,-7.09725174e-02,1.87961730e-04
1.30000000e+00,5.34516419e-01,-7.09767972e-02,1.81076337e-04
1.35000000e+00,5.34516366e-01,-7.09812681e-02,1.71138726e-04
1.40000000e+00,5.34516292e-01,-7.09859119e-02,1.57227397e-04
1.45000000e+00,5.34516203e-01,-7.09907755e-02,1.40511372e-04
1.50000000e+00,5.34516141e-01,-7.09959025e-02,1.29033097e-04
