time,dE_tol_1e-05_percent,dE_tol_1e-07_percent,dE_tol_1e-09_percent
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-01,2.17427147e-09,2.17427147e-09,-1.68644918e-14
2.00000000e-01,2.00690825e-09,2.00690825e-09,1.68644918e-14
3.00000000e-01,5.92007748e-09,5.92007748e-09,0.00000000e+00
4.00000000e-01,5.26428485e-09,5.26428485e-09,4.06602898e-10
5.00000000e-01,6.02077536e-09,6.02077536e-09,4.06569169e-10
6.00000000e-01,6.68204895e-09,6.68204895e-09,4.06569169e-10
7.00000000e-01,8.81103926e-09,8.81103926e-09,4.06569169e-10
8.00000000e-01,1.04794266e-08,1.04794266e-08,4.06552304e-10
9.00000000e-01,1.25564574e-08,1.25564574e-08,4.06552304e-10
1.00000000e+00,1.21205103e-08,1.21205103e-08,-3.17187362e-10
1.10000000e+00,1.47215377e-08,1.47215377e-08,2.72872537e-09
1.20000000e+00,1.60238138e-08,1.60238138e-08,3.59724670e-09
1.30000000e+00,1.60613541e-08,1.60613541e-08,3.84404167e-09
1.40000000e+00,1.64946704e-08,1.64946704e-08,3.84402481e-09
1.50000000e+00,1.71035797e-08,1.71035797e-08,4.28012370e-09
1.60000000e+00,1.69219154e-08,1.69219154e-08,3.95789385e-09
1.70000000e+00,1.71893188e-08,1.71893188e-08,4.03612823e-09
1.80000000e+00,1.64803861e-08,1.64803861e-08,3.25547091e-09
1.90000000e+00,1.61716648e-08,1.61716648e-08,2.88566633e-09
2.00000000e+00,1.60681674e-08,1.60681674e-08,2.78272547e-09
2.10000000e+00,1.59167917e-08,1.59167917e-08,2.59232536e-09
2.20000000e+00,1.59151558e-08,1.59151558e-08,2.64762403e-09
2.30000000e+00,1.59336056e-08,1.59336056e-08,2.59384316e-09
2.40000000e+00,1.59680766e-08,1.59680766e-08,2.50425898e-09
2.50000000e+00,1.51755298e-08,1.51755298e-08,1.56991554e-09
2.60000000e+00,1.40146625e-08,1.40146625e-08,3.26901309e-10
2.70000000e+00,1.14391848e-08,1.14391848e-08,-2.11436880e-09
2.80000000e+00,7.60462097e-09,7.60462097e-09,-5.90943598e-09
2.90000000e+00,2.82901850e-09,2.82901850e-09,-9.62316572e-09
3.00000000e+00,-1.28927353e-09,-1.28927353e-09,-9.62314886e-09
3.10000000e+00,-6.44542326e-09,-6.44542326e-09,-9.62318259e-09
3.20000000e+00,-1.35405005e-08,-1.35405005e-08,-1.64769627e-08
3.30000000e+00,-1.58998429e-08,-1.58998429e-08,-1.64768952e-08
3.40000000e+00,-1.90296059e-08,-1.90296059e-08,-2.02880511e-08
3.50000000e+00,-1.44868346e-08,-1.44868346e-08,-1.64843156e-08
3.60000000e+00,-1.00467343e-08,-1.00467343e-08,-1.64843324e-08
3.70000000e+00,5.76782484e-10,5.76782484e-10,-1.64843493e-08
3.80000000e+00,1.87846491e-08,1.87846491e-08,-1.64842481e-08
3.90000000e+00,4.28950204e-08,4.28950204e-08,-1.64842650e-08
4.00000000e+00,8.09495776e-08,8.09495776e-08,-1.64842144e-08
4.10000000e+00,1.24776108e-07,1.24776108e-07,-1.64842144e-08
4.20000000e+00,1.81044924e-07,1.81044924e-07,-1.64841301e-08
4.30000000e+00,2.41445034e-07,2.41445034e-07,-1.64841301e-08
4.40000000e+00,3.07383932e-07,3.07383932e-07,-1.64840963e-08
4.50000000e+00,3.85000883e-07,3.85000883e-07,-1.64841469e-08
4.60000000e+00,4.78585743e-07,4.78585743e-07,-1.64840795e-08
4.70000000e+00,5.77471972e-07,5.77471972e-07,-1.64840457e-08
4.80000000e+00,6.92021739e-07,6.92021739e-07,-1.64840289e-08
4.90000000e+00,8.21529265e-07,8.21529265e-07,-1.64841638e-08
5.00000000e+00,9.61182149e-07,9.61182149e-07,-1.64840120e-08
5.10000000e+00,1.11146965e-06,1.11146965e-06,-1.64838940e-08
5.20000000e+00,1.27649136e-06,1.27649136e-06,-1.64839277e-08
5.30000000e+00,1.45783362e-06,1.45783362e-06,-1.64840289e-08
5.40000000e+00,1.64903760e-06,1.64903760e-06,-1.64840289e-08
5.50000000e+00,1.86769064e-06,1.86769064e-06,-1.64841132e-08
5.60000000e+00,2.11326009e-06,2.11326009e-06,-1.64841807e-08
5.70000000e+00,2.40678220e-06,2.40678220e-06,-1.64842650e-08
5.80000000e+00,2.73171993e-06,2.73171993e-06,-1.64841469e-08
5.90000000e+00,3.10268751e-06,3.10268751e-06,-1.64840795e-08
6.00000000e+00,3.53301558e-06,3.53301558e-06,-1.64840795e-08
6.10000000e+00,4.04157234e-06,4.04157234e-06,-1.64843156e-08
6.20000000e+00,4.63407825e-06,4.63407825e-06,-1.64841975e-08
6.30000000e+00,5.32951481e-06,4.63407847e-06,-1.64839783e-08
6.40000000e+00,6.14787222e-06,4.63407847e-06,-1.64839277e-08
6.50000000e+00,7.12256160e-06,5.60928176e-06,-1.64839108e-08
6.60000000e+00,8.32756210e-06,6.81493456e-06,-1.64838096e-08
6.70000000e+00,9.78018239e-06,8.26732758e-06,-1.64840289e-08
6.80000000e+00,1.15540793e-05,8.26732804e-06,-1.64845685e-08
6.90000000e+00,1.37380585e-05,1.04432252e-05,-1.64845685e-08
7.00000000e+00,1.64808748e-05,1.31873514e-05,-1.64846529e-08
7.10000000e+00,1.99134330e-05,1.31873501e-05,-1.64851757e-08
7.20000000e+00,2.42426232e-05,1.75131109e-05,-1.64853949e-08
7.30000000e+00,2.96644839e-05,1.75131110e-05,-1.64849902e-08
7.40000000e+00,3.64802264e-05,2.43170021e-05,-1.64847372e-08
7.50000000e+00,4.49584290e-05,2.43170018e-05,-1.64852937e-08
7.60000000e+00,5.55340490e-05,2.43170011e-05,-1.64850407e-08
7.70000000e+00,6.86582309e-05,2.43170014e-05,-1.64862719e-08
7.80000000e+00,8.48841492e-05,2.43170005e-05,-1.64867103e-08
7.90000000e+00,1.04867754e-04,2.43169994e-05,-1.64878403e-08
8.00000000e+00,1.29217426e-04,4.86582437e-05,-1.64876210e-08
8.10000000e+00,1.58917579e-04,4.86582433e-05,-1.64874018e-08
8.20000000e+00,1.95064496e-04,4.86582412e-05,-1.64885823e-08
8.30000000e+00,2.38790749e-04,4.86582379e-05,-1.64919889e-08
8.40000000e+00,2.91237127e-04,4.86582364e-05,-1.64949571e-08
8.50000000e+00,3.54113943e-04,4.86582343e-05,-1.64970314e-08
8.60000000e+00,4.29479255e-04,4.86582309e-05,-1.65018546e-08
8.70000000e+00,5.19213628e-04,4.86582278e-05,-1.65056829e-08
8.80000000e+00,6.26585309e-04,4.86582231e-05,-1.65088197e-08
8.90000000e+00,7.53808470e-04,4.86582193e-05,-1.65120577e-08
9.00000000e+00,9.05242362e-04,4.86582151e-05,-1.65167966e-08
9.10000000e+00,1.08519571e-03,4.86582103e-05,-1.65190396e-08
9.20000000e+00,1.29878653e-03,4.86582077e-05,-1.65206754e-08
9.30000000e+00,1.55263034e-03,4.86582006e-05,-1.65243181e-08
9.40000000e+00,1.85377876e-03,4.86581778e-05,-1.65516386e-08
9.50000000e+00,2.21197772e-03,4.86581666e-05,-1.65616730e-08
9.60000000e+00,2.63796951e-03,4.86581809e-05,-1.65518410e-08
9.70000000e+00,3.14785747e-03,4.86581932e-05,-1.65423800e-08
9.80000000e+00,3.76170194e-03,4.86582203e-05,-1.65206248e-08
9.90000000e+00,4.51777216e-03,4.86582398e-05,-1.65014162e-08
1.00000000e+01,5.45970475e-03,4.86585246e-05,-1.62038085e-08
1.01000000e+01,6.59242264e-03,4.86594864e-05,-1.52412845e-08
1.02000000e+01,7.85993197e-03,4.86614011e-05,-1.33238929e-08
1.03000000e+01,9.44465192e-03,4.86635803e-05,-1.11649682e-08
1.04000000e+01,1.19967515e-02,4.86649598e-05,-9.81688814e-09
