time,energy_ec,energy_explicit,dE_ec_percent,dE_explicit_percent
0.00000000e+00,1.18291333e+04,1.18291333e+04,0.00000000e+00,0.00000000e+00
5.00000000e-01,1.18291333e+04,3.72077029e+03,5.59872296e-08,-6.85457065e+01
1.00000000e+00,1.18291333e+04,2.11972913e+03,4.43266839e-08,-8.20804358e+01
1.50000000e+00,1.18291333e+04,1.12063608e+04,1.98842565e-09,-5.26473483e+00
2.00000000e+00,1.18291333e+04,6.08873997e+03,1.98900998e-09,-4.85275900e+01
2.50000000e+00,1.18291333e+04,8.73139798e+02,1.98916376e-09,-9.26187339e+01
3.00000000e+00,1.18291333e+04,9.87702549e+03,-1.99519008e-08,-1.65025427e+01
3.50000000e+00,1.18291333e+04,8.32788608e+03,-1.99509320e-08,-2.95985099e+01
4.00000000e+00,1.18291333e+04,5.78718201e+02,-1.99502247e-08,-9.51076872e+01
4.50000000e+00,1.18291333e+04,7.75883604e+03,-1.99478720e-08,-3.44090909e+01
5.00000000e+00,1.18291333e+04,1.01217753e+04,-1.99508551e-08,-1.44335002e+01
5.50000000e+00,1.18291333e+04,1.28365357e+03,-1.99508859e-08,-8.91483717e+01
6.00000000e+00,1.18291333e+04,5.51176192e+03,-1.99509935e-08,-5.34051921e+01
6.50000000e+00,1.18291333e+04,1.11550297e+04,1.62432140e-07,-5.69867227e+00
7.00000000e+00,1.18291333e+04,2.73516036e+03,2.66539301e-07,-7.68777618e+01
7.50000000e+00,1.18291333e+04,3.30207237e+03,2.66539563e-07,-7.20852551e+01
8.00000000e+00,1.18291333e+04,1.10819942e+04,3.48064307e-07,-6.31609310e+00
8.50000000e+00,1.18291333e+04,4.77599947e+03,3.48065122e-07,-5.96251106e+01
9.00000000e+00,1.18291333e+04,1.76491683e+03,3.47777168e-07,-8.50799142e+01
9.50000000e+00,1.18291333e+04,1.00214181e+04,3.47774032e-07,-1.52818905e+01
1.00000000e+01,1.18291333e+04,6.94053479e+03,3.47773616e-07,-4.13267681e+01
1.05000000e+01,1.18291333e+04,1.09410956e+03,3.47770218e-07,-9.07507208e+01
1.10000000e+01,1.18291333e+04,8.21159018e+03,3.47761930e-07,-3.05816411e+01
1.15000000e+01,1.18291333e+04,8.77196937e+03,3.47754379e-07,-2.58443609e+01
1.20000000e+01,1.18291334e+04,1.33108269e+03,1.16623565e-06,-8.87474199e+01
1.25000000e+01,1.18291334e+04,6.13610663e+03,1.16623460e-06,-4.81271663e+01
1.30000000e+01,1.18291334e+04,1.00566191e+04,1.31644007e-06,-1.49843116e+01
1.35000000e+01,1.18291334e+04,2.36157798e+03,1.34977593e-06,-8.00359170e+01
1.40000000e+01,1.18291334e+04,4.18679596e+03,1.34538147e-06,-6.46060631e+01
1.45000000e+01,1.18291334e+04,1.03599903e+04,1.36502262e-06,-1.24197011e+01
1.50000000e+01,1.18291334e+04,3.97271114e+03,1.34545325e-06,-6.64158730e+01
1.55000000e+01,1.18291334e+04,2.63224942e+03,1.35864090e-06,-7.77477406e+01
1.60000000e+01,1.18291334e+04,9.83977508e+03,1.36259649e-06,-1.68174466e+01
1.65000000e+01,1.18291334e+04,5.93379138e+03,1.35998687e-06,-4.98374796e+01
1.70000000e+01,1.18291334e+04,1.80622468e+03,1.37600305e-06,-8.47307098e+01
1.75000000e+01,1.18291334e+04,8.49024963e+03,1.31206913e-06,-2.82259364e+01
1.80000000e+01,1.18291334e+04,7.66477439e+03,1.36498921e-06,-3.52042603e+01
1.85000000e+01,1.18291334e+04,1.58294243e+03,1.41720144e-06,-8.66182720e+01
1.90000000e+01,1.18291334e+04,6.88731608e+03,1.42610134e-06,-4.17766633e+01
