time,E_k1_simulation,E_k1_linear_theory
0.00000000e+00,1.28683243e-03,2.71568720e-04
1.00000000e-01,1.28023297e-03,2.81341777e-04
2.00000000e-01,1.26057279e-03,2.91466541e-04
3.00000000e-01,1.22826409e-03,3.01955670e-04
4.00000000e-01,1.18398529e-03,3.12822275e-04
5.00000000e-01,1.12866859e-03,3.24079942e-04
6.00000000e-01,1.06348264e-03,3.35742742e-04
7.00000000e-01,9.89810771e-04,3.47825257e-04
8.00000000e-01,9.09225641e-04,3.60342590e-04
9.00000000e-01,8.23459874e-04,3.73310390e-04
1.00000000e+00,7.34374122e-04,3.86744867e-04
1.10000000e+00,6.43922685e-04,4.00662817e-04
1.20000000e+00,5.54117210e-04,4.15081638e-04
1.30000000e+00,4.66989712e-04,4.30019355e-04
1.40000000e+00,3.84555112e-04,4.45494641e-04
1.50000000e+00,3.08773806e-04,4.61526844e-04
1.60000000e+00,2.41516012e-04,4.78136004e-04
1.70000000e+00,1.84527095e-04,4.95342884e-04
1.80000000e+00,1.39395700e-04,5.13168996e-04
1.90000000e+00,1.07524851e-04,5.31636624e-04
2.00000000e+00,9.01061773e-05,5.50768854e-04
2.10000000e+00,8.80987601e-05,5.70589604e-04
2.20000000e+00,1.02211774e-04,5.91123651e-04
2.30000000e+00,1.32892171e-04,6.12396665e-04
2.40000000e+00,1.80317243e-04,6.34435241e-04
2.50000000e+00,2.44392128e-04,6.57266928e-04
2.60000000e+00,3.24752694e-04,6.80920268e-04
2.70000000e+00,4.20773305e-04,7.05424831e-04
2.80000000e+00,5.31579658e-04,7.30811250e-04
2.90000000e+00,6.56066167e-04,7.57111261e-04
3.00000000e+00,7.92917804e-04,7.84357741e-04
3.10000000e+00,9.40636105e-04,8.12584752e-04
3.20000000e+00,1.09756806e-03,8.41827580e-04
3.30000000e+00,1.26193880e-03,8.72122781e-04
3.40000000e+00,1.43188590e-03,9.03508229e-04
3.50000000e+00,1.60549567e-03,9.36023159e-04
3.60000000e+00,1.78084074e-03,9.69708216e-04
3.70000000e+00,1.95601721e-03,1.00460551e-03
3.80000000e+00,2.12918218e-03,1.04075867e-03
3.90000000e+00,2.29859014e-03,1.07821289e-03
4.00000000e+00,2.46262677e-03,1.11701499e-03
4.10000000e+00,2.61984184e-03,1.15721348e-03
4.20000000e+00,2.76897758e-03,1.19885860e-03
4.30000000e+00,2.90899436e-03,1.24200243e-03
4.40000000e+00,3.03909286e-03,1.28669889e-03
4.50000000e+00,3.15873034e-03,1.33300386e-03
4.60000000e+00,3.26763365e-03,1.38097523e-03
4.70000000e+00,3.36580699e-03,1.43067297e-03
4.80000000e+00,3.45353333e-03,1.48215919e-03
4.90000000e+00,3.53137309e-03,1.53549828e-03
5.00000000e+00,3.60015542e-03,1.59075690e-03
5.10000000e+00,3.66096558e-03,1.64800413e-03
5.20000000e+00,3.71512861e-03,1.70731155e-03
5.30000000e+00,3.76418613e-03,1.76875328e-03
5.40000000e+00,3.80987183e-03,1.83240615e-03
5.50000000e+00,3.85408232e-03,1.89834972e-03
5.60000000e+00,3.89884408e-03,1.96666643e-03
5.70000000e+00,3.94628079e-03,2.03744167e-03
5.80000000e+00,3.99857596e-03,2.11076394e-03
5.90000000e+00,4.05793619e-03,2.18672489e-03
6.00000000e+00,4.12655501e-03,2.26541947e-03
6.10000000e+00,4.20657427e-03,2.34694607e-03
6.20000000e+00,4.30004959e-03,2.43140660e-03
6.30000000e+00,4.40891622e-03,2.51890665e-03
6.40000000e+00,4.53495656e-03,2.60955560e-03
6.50000000e+00,4.67977286e-03,2.70346677e-03
6.60000000e+00,4.84476103e-03,2.80075756e-03
6.70000000e+00,5.03109000e-03,2.90154960e-03
6.80000000e+00,5.23968557e-03,3.00596888e-03
6.90000000e+00,5.47121733e-03,3.11414594e-03
7.00000000e+00,5.72609299e-03,3.22621602e-03
7.10000000e+00,6.00445579e-03,3.34231921e-03
7.20000000e+00,6.30618770e-03,3.46260065e-03
7.30000000e+00,6.63091851e-03,3.58721071e-03
7.40000000e+00,6.97803825e-03,3.71630516e-03
7.50000000e+00,7.34671564e-03,3.85004540e-03
7.60000000e+00,7.73592075e-03,3.98859859e-03
7.70000000e+00,8.14445037e-03,4.13213796e-03
7.80000000e+00,8.57095868e-03,4.28084294e-03
7.90000000e+00,9.01398957e-03,4.43489943e-03
8.00000000e+00,9.47201114e-03,4.59450002e-03
8.10000000e+00,9.94345318e-03,4.75984421e-03
8.20000000e+00,1.04267440e-02,4.93113872e-03
8.30000000e+00,1.09203484e-02,5.10859768e-03
8.40000000e+00,1.14228057e-02,5.29244292e-03
8.50000000e+00,1.19327650e-02,5.48290428e-03
8.60000000e+00,1.24490204e-02,5.68021986e-03
8.70000000e+00,1.29705426e-02,5.88463631e-03
8.80000000e+00,1.34965080e-02,6.09640918e-03
8.90000000e+00,1.40263244e-02,6.31580322e-03
9.00000000e+00,1.45596517e-02,6.54309267e-03
9.10000000e+00,1.50964191e-02,6.77856169e-03
9.20000000e+00,1.56368374e-02,7.02250463e-03
9.30000000e+00,1.61814058e-02,7.27522645e-03
9.40000000e+00,1.67309139e-02,7.53704307e-03
9.50000000e+00,1.72864388e-02,7.80828180e-03
9.60000000e+00,1.78493365e-02,8.08928171e-03
9.70000000e+00,1.84212288e-02,8.38039408e-03
9.80000000e+00,1.90039854e-02,8.68198283e-03
9.90000000e+00,1.95997014e-02,8.99442499e-03
1.00000000e+01,2.02106707e-02,9.31811113e-03
1.01000000e+01,2.08393570e-02,9.65344590e-03
1.02000000e+01,2.14883599e-02,1.00008485e-02
1.03000000e+01,2.21603801e-02,1.03607532e-02
1.04000000e+01,2.28581829e-02,1.07336100e-02
1.05000000e+01,2.35845592e-02,1.11198849e-02
1.06000000e+01,2.43422879e-02,1.15200609e-02
1.07000000e+01,2.51340969e-02,1.19346381e-02
1.08000000e+01,2.59626270e-02,1.23641350e-02
1.09000000e+01,2.68303948e-02,1.28090883e-02
1.10000000e+01,2.77397604e-02,1.32700543e-02
1.11000000e+01,2.86928962e-02,1.37476093e-02
1.12000000e+01,2.96917599e-02,1.42423503e-02
1.13000000e+01,3.07380702e-02,1.47548957e-02
1.14000000e+01,3.18332873e-02,1.52858863e-02
1.15000000e+01,3.29785979e-02,1.58359859e-02
1.16000000e+01,3.41749039e-02,1.64058822e-02
1.17000000e+01,3.54228158e-02,1.69962875e-02
1.18000000e+01,3.67226517e-02,1.76079400e-02
1.19000000e+01,3.80744385e-02,1.82416044e-02
1.20000000e+01,3.94779196e-02,1.88980726e-02
1.21000000e+01,4.09325645e-02,1.95781655e-02
1.22000000e+01,4.24375826e-02,2.02827331e-02
1.23000000e+01,4.39919400e-02,2.10126563e-02
1.24000000e+01,4.55943778e-02,2.17688476e-02
1.25000000e+01,4.72434317e-02,2.25522523e-02
1.26000000e+01,4.89374547e-02,2.33638496e-02
1.27000000e+01,5.06746366e-02,2.42046543e-02
1.28000000e+01,5.24530249e-02,2.50757173e-02
1.29000000e+01,5.42705440e-02,2.59781276e-02
1.30000000e+01,5.61250114e-02,2.69130134e-02
1.31000000e+01,5.80141505e-02,2.78815433e-02
1.32000000e+01,5.99356013e-02,2.88849281e-02
1.33000000e+01,6.18869248e-02,2.99244221e-02
1.34000000e+01,6.38656029e-02,3.10013248e-02
1.35000000e+01,6.58690312e-02,3.21169825e-02
1.36000000e+01,6.78945090e-02,3.32727898e-02
1.37000000e+01,6.99392191e-02,3.44701916e-02
1.38000000e+01,7.20049867e-02,3.57106848e-02
1.39000000e+01,7.40842582e-02,3.69958202e-02
1.40000000e+01,7.61736430e-02,3.83272043e-02
1.41000000e+01,7.82694882e-02,3.97065015e-02
1.42000000e+01,8.03678284e-02,4.11354360e-02
1.43000000e+01,8.24643332e-02,4.26157942e-02
1.44000000e+01,8.45542471e-02,4.41494266e-02
1.45000000e+01,8.66323286e-02,4.57382505e-02
1.46000000e+01,8.86927863e-02,4.73842521e-02
1.47000000e+01,9.07292127e-02,4.90894890e-02
1.48000000e+01,9.27345243e-02,5.08560931e-02
1.49000000e+01,9.47008994e-02,5.26862726e-02
1.50000000e+01,9.66197178e-02,5.45823156e-02
1.51000000e+01,9.84815132e-02,5.65465922e-02
1.52000000e+01,1.00275929e-01,5.85815581e-02
1.53000000e+01,1.01991685e-01,6.06897572e-02
1.54000000e+01,1.03616555e-01,6.28738249e-02
1.55000000e+01,1.05137360e-01,6.51364916e-02
1.56000000e+01,1.06539976e-01,6.74805858e-02
1.57000000e+01,1.07809358e-01,6.99090380e-02
1.58000000e+01,1.08929588e-01,7.24248838e-02
1.59000000e+01,1.09883939e-01,7.50312685e-02
1.60000000e+01,1.10654972e-01,7.77314502e-02
1.61000000e+01,1.11224687e-01,8.05288044e-02
1.62000000e+01,1.11574570e-01,8.34268283e-02
1.63000000e+01,1.11685899e-01,8.64291445e-02
1.64000000e+01,1.11539579e-01,8.95395063e-02
1.65000000e+01,1.11115517e-01,9.27618021e-02
1.66000000e+01,1.10392309e-01,9.61000599e-02
1.67000000e+01,1.09350656e-01,9.95584530e-02
1.68000000e+01,1.07984094e-01,1.03141305e-01
1.69000000e+01,1.06297774e-01,1.06853094e-01
1.70000000e+01,1.04283622e-01,1.10698461e-01
1.71000000e+01,1.01908127e-01,1.14682213e-01
1.72000000e+01,9.91557348e-02,1.18809330e-01
1.73000000e+01,9.60367930e-02,1.23084971e-01
1.74000000e+01,9.25679787e-02,1.27514482e-01
1.75000000e+01,8.87752921e-02,1.32103399e-01
1.76000000e+01,8.46993108e-02,1.36857459e-01
1.77000000e+01,8.03948353e-02,1.41782606e-01
1.78000000e+01,7.59408564e-02,1.46884996e-01
1.79000000e+01,7.14460949e-02,1.52171008e-01
1.80000000e+01,6.70382114e-02,1.57647250e-01
1.81000000e+01,6.28504692e-02,1.63320567e-01
1.82000000e+01,5.90255301e-02,1.69198053e-01
1.83000000e+01,5.57154235e-02,1.75287054e-01
1.84000000e+01,5.30503079e-02,1.81595183e-01
1.85000000e+01,5.11441017e-02,1.88130325e-01
1.86000000e+01,5.00831571e-02,1.94900650e-01
1.87000000e+01,4.99104477e-02,2.01914621e-01
1.88000000e+01,5.06324898e-02,2.09181007e-01
1.89000000e+01,5.22339201e-02,2.16708892e-01
1.90000000e+01,5.46743575e-02,2.24507685e-01
1.91000000e+01,5.79006787e-02,2.32587137e-01
1.92000000e+01,6.18361857e-02,2.40957348e-01
1.93000000e+01,6.63892326e-02,2.49628781e-01
1.94000000e+01,7.14439536e-02,2.58612277e-01
1.95000000e+01,7.68732222e-02,2.67919065e-01
1.96000000e+01,8.25344630e-02,2.77560781e-01
1.97000000e+01,8.82825732e-02,2.87549477e-01
1.98000000e+01,9.39715874e-02,2.97897641e-01
1.99000000e+01,9.94557184e-02,3.08618208e-01
2.00000000e+01,1.04600250e-01,3.19724581e-01
2.01000000e+01,1.09278322e-01,3.31230643e-01
2.02000000e+01,1.13381366e-01,3.43150779e-01
2.03000000e+01,1.16814825e-01,3.55499890e-01
2.04000000e+01,1.19504837e-01,3.68293413e-01
2.05000000e+01,1.21395048e-01,3.81547343e-01
2.06000000e+01,1.22448614e-01,3.95278247e-01
2.07000000e+01,1.22647393e-01,4.09503291e-01
2.08000000e+01,1.21990073e-01,4.24240257e-01
2.09000000e+01,1.20492432e-01,4.39507569e-01
2.10000000e+01,1.18184625e-01,4.55324312e-01
2.11000000e+01,1.15111045e-01,4.71710259e-01
2.12000000e+01,1.11328126e-01,4.88685894e-01
2.13000000e+01,1.06901986e-01,5.06272438e-01
2.14000000e+01,1.01905333e-01,5.24491876e-01
2.15000000e+01,9.64143470e-02,5.43366985e-01
2.16000000e+01,9.05090640e-02,5.62921361e-01
2.17000000e+01,8.42733565e-02,5.83179448e-01
2.18000000e+01,7.77923495e-02,6.04166571e-01
2.19000000e+01,7.11519445e-02,6.25908966e-01
2.20000000e+01,6.44396238e-02,6.48433815e-01
2.21000000e+01,5.77474227e-02,6.71769274e-01
2.22000000e+01,5.11696145e-02,6.95944516e-01
2.23000000e+01,4.48015554e-02,7.20989763e-01
2.24000000e+01,3.87397115e-02,7.46936324e-01
2.25000000e+01,3.30798791e-02,7.73816635e-01
2.26000000e+01,2.79158558e-02,8.01664298e-01
2.27000000e+01,2.33377644e-02,8.30514127e-01
2.28000000e+01,1.94295012e-02,8.60402187e-01
2.29000000e+01,1.62662553e-02,8.91365841e-01
2.30000000e+01,1.39133445e-02,9.23443797e-01
2.31000000e+01,1.24236076e-02,9.56676156e-01
2.32000000e+01,1.18369208e-02,9.91104462e-01
2.33000000e+01,1.21785064e-02,1.02677175e+00
2.34000000e+01,1.34595876e-02,1.06372262e+00
2.35000000e+01,1.56762879e-02,1.10200325e+00
2.36000000e+01,1.88099461e-02,1.14166150e+00
2.37000000e+01,2.28270180e-02,1.18274695e+00
2.38000000e+01,2.76807526e-02,1.22531096e+00
2.39000000e+01,3.33104120e-02,1.26940674e+00
2.40000000e+01,3.96431676e-02,1.31508942e+00
2.41000000e+01,4.65953615e-02,1.36241609e+00
2.42000000e+01,5.40731437e-02,1.41144593e+00
2.43000000e+01,6.19743605e-02,1.46224023e+00
2.44000000e+01,7.01904898e-02,1.51486248e+00
2.45000000e+01,7.86088714e-02,1.56937847e+00
2.46000000e+01,8.71153851e-02,1.62585635e+00
2.47000000e+01,9.55962983e-02,1.68436672e+00
2.48000000e+01,1.03940069e-01,1.74498273e+00
2.49000000e+01,1.12039642e-01,1.80778016e+00
2.50000000e+01,1.19792573e-01,1.87283750e+00
2.51000000e+01,1.27104318e-01,1.94023609e+00
2.52000000e+01,1.33888416e-01,2.01006018e+00
2.53000000e+01,1.40067325e-01,2.08239705e+00
2.54000000e+01,1.45581353e-01,2.15733715e+00
2.55000000e+01,1.50362224e-01,2.23497415e+00
2.56000000e+01,1.54356830e-01,2.31540510e+00
2.57000000e+01,1.57532161e-01,2.39873055e+00
2.58000000e+01,1.59853973e-01,2.48505467e+00
2.59000000e+01,1.61295511e-01,2.57448538e+00
2.60000000e+01,1.61836978e-01,2.66713446e+00
2.61000000e+01,1.61465492e-01,2.76311775e+00
2.62000000e+01,1.60173890e-01,2.86255522e+00
2.63000000e+01,1.57960641e-01,2.96557120e+00
2.64000000e+01,1.54830881e-01,3.07229445e+00
