time,energy_ec,energy_explicit,dE_ec_percent,dE_explicit_percent
0.00000000e+00,4.10977724e-02,4.10977724e-02,0.00000000e+00,0.00000000e+00
1.00000000e-01,4.10977724e-02,4.10934293e-02,8.75090910e-10,-1.05678493e-02
2.00000000e-01,4.10977724e-02,4.10825856e-02,3.18755621e-09,-3.69528476e-02
3.00000000e-01,4.10977724e-02,4.10706759e-02,3.48918652e-09,-6.59317870e-02
4.00000000e-01,4.10977724e-02,4.10635567e-02,5.12308914e-09,-8.32544954e-02
5.00000000e-01,4.10977724e-02,4.10644816e-02,5.34965377e-09,-8.10039493e-02
6.00000000e-01,4.10977724e-02,4.10724573e-02,5.89866653e-09,-6.15973168e-02
7.00000000e-01,4.10977724e-02,4.10828308e-02,6.24098696e-09,-3.63563232e-02
8.00000000e-01,4.10977724e-02,4.10897984e-02,6.28312910e-09,-1.94026007e-02
9.00000000e-01,4.10977724e-02,4.10895033e-02,6.90492821e-09,-2.01205986e-02
1.00000000e+00,4.10977724e-02,4.10820952e-02,7.60008774e-09,-3.81461267e-02
1.10000000e+00,4.10977724e-02,4.10716706e-02,7.95578020e-09,-6.35116275e-02
1.20000000e+00,4.10977724e-02,4.10640941e-02,8.22131280e-09,-8.19468226e-02
1.30000000e+00,4.10977724e-02,4.10638906e-02,8.16228679e-09,-8.24421135e-02
1.40000000e+00,4.10977724e-02,4.10717975e-02,8.18438778e-09,-6.32027782e-02
1.50000000e+00,4.10977724e-02,4.10843033e-02,8.21378259e-09,-3.27735199e-02
1.60000000e+00,4.10977724e-02,4.10954002e-02,8.20702904e-09,-5.77218137e-03
1.70000000e+00,4.10977724e-02,4.10996413e-02,8.22225829e-09,4.54736609e-03
1.80000000e+00,4.10977724e-02,4.10949701e-02,8.10835972e-09,-6.81869225e-03
1.90000000e+00,4.10977724e-02,4.10837153e-02,8.06648772e-09,-3.42042665e-02
2.00000000e+00,4.10977724e-02,4.10713818e-02,8.08995630e-09,-6.42143831e-02
2.10000000e+00,4.10977724e-02,4.10637939e-02,8.09427857e-09,-8.26772366e-02
2.20000000e+00,4.10977724e-02,4.10641023e-02,8.04724011e-09,-8.19268944e-02
2.30000000e+00,4.10977724e-02,4.10712344e-02,8.03599546e-09,-6.45729846e-02
2.40000000e+00,4.10977724e-02,4.10805820e-02,8.05748862e-09,-4.18282401e-02
2.50000000e+00,4.10977724e-02,4.10865611e-02,7.84770655e-09,-2.72797256e-02
2.60000000e+00,4.10977724e-02,4.10856440e-02,7.24446281e-09,-2.95112582e-02
2.70000000e+00,4.10977724e-02,4.10783289e-02,6.53189602e-09,-4.73105454e-02
2.80000000e+00,4.10977724e-02,4.10689034e-02,5.62242955e-09,-7.02448663e-02
2.90000000e+00,4.10977724e-02,4.10631922e-02,4.46630665e-09,-8.41413804e-02
3.00000000e+00,4.10977724e-02,4.10654190e-02,3.41084537e-09,-7.87229874e-02
3.10000000e+00,4.10977724e-02,4.10758585e-02,-2.92965511e-09,-5.33215639e-02
3.20000000e+00,4.10977724e-02,4.10905173e-02,-5.93967744e-09,-1.76534398e-02
3.30000000e+00,4.10977724e-02,4.11030112e-02,-2.84189277e-10,1.27470650e-02
3.40000000e+00,4.10977725e-02,4.11077282e-02,2.49395507e-08,2.42246148e-02
3.50000000e+00,4.10977725e-02,4.11025967e-02,8.13839274e-08,1.17385152e-02
3.60000000e+00,4.10977725e-02,4.10900566e-02,8.38093120e-08,-1.87743771e-02
3.70000000e+00,4.10977725e-02,4.10757537e-02,8.57128838e-08,-5.35765153e-02
3.80000000e+00,4.10977725e-02,4.10656414e-02,8.94429694e-08,-7.81819684e-02
3.90000000e+00,4.10977725e-02,4.10630285e-02,9.45469291e-08,-8.45396336e-02
4.00000000e+00,4.10977725e-02,4.10670923e-02,1.02302720e-07,-7.46516174e-02
4.10000000e+00,4.10977725e-02,4.10736346e-02,1.11346277e-07,-5.87326709e-02
4.20000000e+00,4.10977725e-02,4.10776216e-02,1.23064779e-07,-4.90314992e-02
4.30000000e+00,4.10977725e-02,4.10761363e-02,1.34903984e-07,-5.26455790e-02
4.40000000e+00,4.10977725e-02,4.10701613e-02,1.47880521e-07,-6.71841240e-02
4.50000000e+00,4.10977725e-02,4.10641729e-02,1.63436540e-07,-8.17551313e-02
4.60000000e+00,4.10977725e-02,4.10637726e-02,1.81692156e-07,-8.27290621e-02
4.70000000e+00,4.10977725e-02,4.10725530e-02,2.02137525e-07,-6.13643919e-02
4.80000000e+00,4.10977725e-02,4.10898637e-02,2.24997861e-07,-1.92437018e-02
4.90000000e+00,4.10977725e-02,4.11106916e-02,2.49509236e-07,3.14352375e-02
5.00000000e+00,4.10977726e-02,4.11277502e-02,2.76403871e-07,7.29424746e-02
5.10000000e+00,4.10977726e-02,4.11347768e-02,3.03948181e-07,9.00397054e-02
5.20000000e+00,4.10977726e-02,4.11293816e-02,3.32534732e-07,7.69119849e-02
5.30000000e+00,4.10977726e-02,4.11139956e-02,3.65052607e-07,3.94745416e-02
5.40000000e+00,4.10977726e-02,4.10945457e-02,3.97369074e-07,-7.85133888e-03
5.50000000e+00,4.10977726e-02,4.10775305e-02,4.39023030e-07,-4.92531152e-02
5.60000000e+00,4.10977726e-02,4.10670765e-02,4.82027273e-07,-7.46900001e-02
5.70000000e+00,4.10977727e-02,4.10634644e-02,5.29931485e-07,-8.34790707e-02
5.80000000e+00,4.10977727e-02,4.10638338e-02,5.81393787e-07,-8.25803251e-02
5.90000000e+00,4.10977727e-02,4.10645958e-02,6.42849161e-07,-8.07262538e-02
6.00000000e+00,4.10977727e-02,4.10641585e-02,7.12833387e-07,-8.17901059e-02
6.10000000e+00,4.10977728e-02,4.10644014e-02,7.90494962e-07,-8.11992242e-02
6.20000000e+00,4.10977728e-02,4.10700092e-02,8.81487297e-07,-6.75541722e-02
6.30000000e+00,4.10977728e-02,4.10859437e-02,9.87114433e-07,-2.87818634e-02
6.40000000e+00,4.10977729e-02,4.11143272e-02,1.11284247e-06,4.02814684e-02
6.50000000e+00,4.10977730e-02,4.11524143e-02,1.25448711e-06,1.32955745e-01
6.60000000e+00,4.10977730e-02,4.11928287e-02,1.42181560e-06,2.31292988e-01
6.70000000e+00,4.10977731e-02,4.12260140e-02,1.61648346e-06,3.12040065e-01
6.80000000e+00,4.10977732e-02,4.12439181e-02,1.85561798e-06,3.55604770e-01
6.90000000e+00,4.10977733e-02,4.12431230e-02,2.15004726e-06,3.53670249e-01
7.00000000e+00,4.10977735e-02,4.12259511e-02,2.51137628e-06,3.11887204e-01
7.10000000e+00,4.10977737e-02,4.11992254e-02,2.96309443e-06,2.46857465e-01
7.20000000e+00,4.10977739e-02,4.11713929e-02,3.52811623e-06,1.79134971e-01
7.30000000e+00,4.10977742e-02,4.11494518e-02,4.24688668e-06,1.25747340e-01
7.40000000e+00,4.10977746e-02,4.11374095e-02,5.16273464e-06,9.64456700e-02
7.50000000e+00,4.10977750e-02,4.11366170e-02,6.29887945e-06,9.45173404e-02
7.60000000e+00,4.10977756e-02,4.11477441e-02,7.72692847e-06,1.21592249e-01
7.70000000e+00,4.10977763e-02,4.11729590e-02,9.49768405e-06,1.82945620e-01
7.80000000e+00,4.10977773e-02,4.12167779e-02,1.17023410e-05,2.89566675e-01
7.90000000e+00,4.10977784e-02,4.12849180e-02,1.44443384e-05,4.55366568e-01
8.00000000e+00,4.10977797e-02,4.13816568e-02,1.77705575e-05,6.90753564e-01
8.10000000e+00,4.10977814e-02,4.15067960e-02,2.18569032e-05,9.95245036e-01
8.20000000e+00,4.10977835e-02,4.16543366e-02,2.67980880e-05,1.35424409e+00
8.30000000e+00,4.10977835e-02,4.18136987e-02,2.67980878e-05,1.74200741e+00
8.40000000e+00,4.10977864e-02,4.19733214e-02,3.40293293e-05,2.13040491e+00
8.50000000e+00,4.10977900e-02,4.21259067e-02,4.26786469e-05,2.50167880e+00
8.60000000e+00,4.10977942e-02,4.22725842e-02,5.30488491e-05,2.85857768e+00
8.70000000e+00,4.10977942e-02,4.24255818e-02,5.30488496e-05,3.23085475e+00
8.80000000e+00,4.10978003e-02,4.26079600e-02,6.77437116e-05,3.67462143e+00
8.90000000e+00,4.10978003e-02,4.28519582e-02,6.77437117e-05,4.26832319e+00
9.00000000e+00,4.10978003e-02,4.31966905e-02,6.77437110e-05,5.10713334e+00
9.10000000e+00,4.10978003e-02,4.36877038e-02,6.77437104e-05,6.30187760e+00
9.20000000e+00,4.10978003e-02,4.43779784e-02,6.77437101e-05,7.98146909e+00
9.30000000e+00,4.10978003e-02,4.53307024e-02,6.77437095e-05,1.02996578e+01
9.40000000e+00,4.10978003e-02,4.66226663e-02,6.77437080e-05,1.34432926e+01
9.50000000e+00,4.10978003e-02,4.83452285e-02,6.77437061e-05,1.76346688e+01
9.60000000e+00,4.10978003e-02,5.06050539e-02,6.77437055e-05,2.31333254e+01
9.70000000e+00,4.10978003e-02,5.35224298e-02,6.77437043e-05,3.02319483e+01
9.80000000e+00,4.10978003e-02,5.72233670e-02,6.77437011e-05,3.92371498e+01
9.90000000e+00,4.10978003e-02,6.18342245e-02,6.77437000e-05,5.04563892e+01
1.00000000e+01,4.10978003e-02,6.74691184e-02,6.77436963e-05,6.41673366e+01
1.01000000e+01,4.10978003e-02,7.42133341e-02,6.77436944e-05,8.05775098e+01
1.02000000e+01,4.10978003e-02,8.20897062e-02,6.77436925e-05,9.97424711e+01
1.03000000e+01,4.10978003e-02,9.09741074e-02,6.77436892e-05,1.21360190e+02
1.04000000e+01,4.10978003e-02,1.00595192e-01,6.77436841e-05,1.44770425e+02
1.05000000e+01,4.10978003e-02,1.10721504e-01,6.77436786e-05,1.69409988e+02
1.06000000e+01,4.10978003e-02,1.20135676e-01,6.77436759e-05,1.92316758e+02
1.07000000e+01,4.10978003e-02,1.22769505e-01,6.77436796e-05,1.98725448e+02
1.08000000e+01,4.10978003e-02,1.18593123e-01,6.77436920e-05,1.88563384e+02
1.09000000e+01,4.10978003e-02,9.99007121e-02,6.77437021e-05,1.43080601e+02
1.10000000e+01,4.10978003e-02,7.47249551e-02,6.77437124e-05,8.18223974e+01
1.11000000e+01,4.10978003e-02,5.58437595e-02,6.77438600e-05,3.58802587e+01
1.12000000e+01,4.10978003e-02,5.52843470e-02,6.77445866e-05,3.45190839e+01
1.13000000e+01,4.10978003e-02,5.78831727e-02,6.77462088e-05,4.08426035e+01
1.14000000e+01,4.10978003e-02,6.04650662e-02,6.77483657e-05,4.71249233e+01
1.15000000e+01,4.10978003e-02,6.69174581e-02,6.77503612e-05,6.28250246e+01
1.16000000e+01,4.10978003e-02,7.40641085e-02,6.77505709e-05,8.02144109e+01
1.17000000e+01,4.10978003e-02,7.79475714e-02,6.77554632e-05,8.96637380e+01
1.18000000e+01,4.10978003e-02,7.62797783e-02,6.77600676e-05,8.56056271e+01
1.19000000e+01,4.10978003e-02,6.99404083e-02,6.77611421e-05,7.01805334e+01
1.20000000e+01,4.10978003e-02,6.25789227e-02,6.77692195e-05,5.22684052e+01
1.21000000e+01,4.10978003e-02,5.64298518e-02,6.77752489e-05,3.73063512e+01
1.22000000e+01,4.10978003e-02,5.22537128e-02,6.77767968e-05,2.71448784e+01
1.23000000e+01,4.10978003e-02,4.97812920e-02,6.77844352e-05,2.11289300e+01
1.24000000e+01,4.10978003e-02,4.84902023e-02,6.77892581e-05,1.79874221e+01
1.25000000e+01,4.10978003e-02,4.83358335e-02,6.77938133e-05,1.76118086e+01
1.26000000e+01,4.10978003e-02,4.95436757e-02,6.77985287e-05,2.05507567e+01
1.27000000e+01,4.10978003e-02,5.28011553e-02,6.78012926e-05,2.84769274e+01
1.28000000e+01,4.10978003e-02,5.86756744e-02,6.78026387e-05,4.27709359e+01
1.29000000e+01,4.10978003e-02,6.69467238e-02,6.78033927e-05,6.28962345e+01
1.30000000e+01,4.10978003e-02,7.74550361e-02,6.78034264e-05,8.84652903e+01
1.31000000e+01,4.10978003e-02,8.93209817e-02,6.78034547e-05,1.17337769e+02
1.32000000e+01,4.10978003e-02,1.00889615e-01,6.78034691e-05,1.45486821e+02
1.33000000e+01,4.10978003e-02,1.10656715e-01,6.78034954e-05,1.69252343e+02
1.34000000e+01,4.10978003e-02,1.16914274e-01,6.78035094e-05,1.84478372e+02
1.35000000e+01,4.10977475e-02,1.19771471e-01,-6.05939288e-05,1.91430566e+02
1.36000000e+01,4.10977475e-02,1.19875125e-01,-6.05939206e-05,1.91682779e+02
1.37000000e+01,4.10977475e-02,1.18951178e-01,-6.05938263e-05,1.89434611e+02
1.38000000e+01,4.10977475e-02,1.16807385e-01,-6.05938075e-05,1.84218287e+02
1.39000000e+01,4.10976865e-02,1.15313012e-01,-2.09057252e-04,1.80582146e+02
1.40000000e+01,4.10976865e-02,1.10955447e-01,-2.09057167e-04,1.69979223e+02
1.41000000e+01,4.10976865e-02,1.05946195e-01,-2.09057079e-04,1.57790603e+02
1.42000000e+01,4.10976865e-02,1.03866832e-01,-2.09056999e-04,1.52731050e+02
1.43000000e+01,4.10976865e-02,1.08983771e-01,-2.09056939e-04,1.65181698e+02
1.44000000e+01,4.10976865e-02,1.18241068e-01,-2.09056818e-04,1.87706757e+02
1.45000000e+01,4.10976865e-02,1.22748093e-01,-2.09056782e-04,1.98673349e+02
1.46000000e+01,4.10976865e-02,1.22679578e-01,-2.09056513e-04,1.98506636e+02
1.47000000e+01,4.10976865e-02,1.22871150e-01,-2.09056598e-04,1.98972774e+02
1.48000000e+01,4.10976865e-02,1.21538822e-01,-2.09056198e-04,1.95730925e+02
1.49000000e+01,4.10976865e-02,1.14190476e-01,-2.09056335e-04,1.77850767e+02
1.50000000e+01,4.10976865e-02,1.02298686e-01,-2.09056349e-04,1.48915402e+02
1.51000000e+01,4.10976865e-02,8.93887893e-02,-2.09055689e-04,1.17502760e+02
1.52000000e+01,4.10976865e-02,7.82910150e-02,-2.09055548e-04,9.04994124e+01
1.53000000e+01,4.10976865e-02,7.20698572e-02,-2.09055401e-04,7.53619549e+01
1.54000000e+01,4.10976865e-02,7.19089826e-02,-2.09055202e-04,7.49705113e+01
1.55000000e+01,4.10976865e-02,7.32982037e-02,-2.09055143e-04,7.83507946e+01
1.56000000e+01,4.10976865e-02,7.15676312e-02,-2.09055131e-04,7.41399277e+01
1.57000000e+01,4.10976865e-02,6.83455762e-02,-2.09055123e-04,6.62999530e+01
1.58000000e+01,4.10976865e-02,6.50876098e-02,-2.09055136e-04,5.83725978e+01
1.59000000e+01,4.10976865e-02,6.61452732e-02,-2.09055143e-04,6.09461273e+01
1.60000000e+01,4.10976865e-02,7.26489555e-02,-2.09055136e-04,7.67710296e+01
1.61000000e+01,4.10976865e-02,8.09756322e-02,-2.09055134e-04,9.70316817e+01
1.62000000e+01,4.10976865e-02,8.63805689e-02,-2.09055135e-04,1.10183092e+02
1.63000000e+01,4.10976865e-02,8.71685597e-02,-2.09055130e-04,1.12100449e+02
1.64000000e+01,4.10976865e-02,8.45365400e-02,-2.09055132e-04,1.05696161e+02
1.65000000e+01,4.10976865e-02,8.00558398e-02,-2.09055130e-04,9.47936228e+01
1.66000000e+01,4.10977056e-02,7.57270475e-02,-1.62710292e-04,8.42607105e+01
1.67000000e+01,4.10977154e-02,7.43356836e-02,-1.38906131e-04,8.08752133e+01
1.68000000e+01,4.10977170e-02,7.58924478e-02,-1.34863397e-04,8.46631662e+01
1.69000000e+01,4.10977179e-02,7.98638062e-02,-1.32706705e-04,9.43263625e+01
1.70000000e+01,4.10977192e-02,8.48864476e-02,-1.29538638e-04,1.06547564e+02
1.71000000e+01,4.10977166e-02,8.86600860e-02,-1.35956527e-04,1.15729663e+02
1.72000000e+01,4.10977096e-02,9.25657185e-02,-1.52951244e-04,1.25232933e+02
1.73000000e+01,4.10977041e-02,9.86235524e-02,-1.66319877e-04,1.39972988e+02
1.74000000e+01,4.10977012e-02,1.06141424e-01,-1.73388027e-04,1.58265637e+02
1.75000000e+01,4.10976995e-02,1.12253025e-01,-1.77584928e-04,1.73136519e+02
1.76000000e+01,4.10976983e-02,1.14334081e-01,-1.80349526e-04,1.78200189e+02
1.77000000e+01,4.10976980e-02,1.10877741e-01,-1.81230465e-04,1.69790149e+02
1.78000000e+01,4.10977001e-02,1.03084109e-01,-1.75994291e-04,1.50826512e+02
1.79000000e+01,4.10977039e-02,9.39649099e-02,-1.66730703e-04,1.28637477e+02
1.80000000e+01,4.10977054e-02,8.58490970e-02,-1.63198864e-04,1.08889903e+02
1.81000000e+01,4.10977054e-02,7.98182409e-02,-1.63198869e-04,9.42154920e+01
1.82000000e+01,4.10977143e-02,7.62643691e-02,-1.41425795e-04,8.55681331e+01
1.83000000e+01,4.10977278e-02,7.42091388e-02,-1.08686834e-04,8.05673019e+01
1.84000000e+01,4.10977278e-02,7.40160255e-02,-1.08686834e-04,8.00974143e+01
1.85000000e+01,4.10977548e-02,7.56462708e-02,-4.29211179e-05,8.40641629e+01
1.86000000e+01,4.10977860e-02,7.89213306e-02,3.31026888e-05,9.20331102e+01
1.87000000e+01,4.10977860e-02,8.27585709e-02,3.31026798e-05,1.01369967e+02
1.88000000e+01,4.10977860e-02,8.60926543e-02,3.31026813e-05,1.09482532e+02
1.89000000e+01,4.10977860e-02,8.76616065e-02,3.31026796e-05,1.13300141e+02
1.90000000e+01,4.10977860e-02,8.74940985e-02,3.31026847e-05,1.12892557e+02
1.91000000e+01,4.10977860e-02,8.57042972e-02,3.31026654e-05,1.08537573e+02
1.92000000e+01,4.10977860e-02,8.32997241e-02,3.31026598e-05,1.02686713e+02
1.93000000e+01,4.10977860e-02,8.03514666e-02,3.31026654e-05,9.55129483e+01
1.94000000e+01,4.10977860e-02,7.77827626e-02,3.31026507e-05,8.92627216e+01
1.95000000e+01,4.10977860e-02,7.73606603e-02,3.31026404e-05,8.82356529e+01
1.96000000e+01,4.10977860e-02,7.93480008e-02,3.31026649e-05,9.30712932e+01
1.97000000e+01,4.10977860e-02,8.34922156e-02,3.31026710e-05,1.03155088e+02
1.98000000e+01,4.10977860e-02,8.74883599e-02,3.31026702e-05,1.12878593e+02
1.99000000e+01,4.10977860e-02,8.90430422e-02,3.31026441e-05,1.16661480e+02
2.00000000e+01,4.10977860e-02,8.78386279e-02,3.31026308e-05,1.13730873e+02
2.01000000e+01,4.10977860e-02,8.55634949e-02,3.31026231e-05,1.08194970e+02
2.02000000e+01,4.10977860e-02,8.40781303e-02,3.31025913e-05,1.04580748e+02
2.03000000e+01,4.10977860e-02,8.32040533e-02,3.31025854e-05,1.02453925e+02
2.04000000e+01,4.10977860e-02,8.25749492e-02,3.31025938e-05,1.00923175e+02
2.05000000e+01,4.10977860e-02,8.19121682e-02,3.31026023e-05,9.93104816e+01
2.06000000e+01,4.10977860e-02,8.01336547e-02,3.31026546e-05,9.49829636e+01
2.07000000e+01,4.10977860e-02,7.71940235e-02,3.31026997e-05,8.78301887e+01
2.08000000e+01,4.10977860e-02,7.41484111e-02,3.31030788e-05,8.04195379e+01
2.09000000e+01,4.10977860e-02,7.17716188e-02,3.31032537e-05,7.46362748e+01
2.10000000e+01,4.10977860e-02,7.10860052e-02,3.31040968e-05,7.29680246e+01
2.11000000e+01,4.10977860e-02,7.29488234e-02,3.31044218e-05,7.75006747e+01
2.12000000e+01,4.10977860e-02,7.74274768e-02,3.31049366e-05,8.83982322e+01
2.13000000e+01,4.10977860e-02,8.32924050e-02,3.31052251e-05,1.02668904e+02
2.14000000e+01,4.10977860e-02,8.89040613e-02,3.31060784e-05,1.16323309e+02
2.15000000e+01,4.10977860e-02,9.24674726e-02,3.31075775e-05,1.24993879e+02
2.16000000e+01,4.10977860e-02,9.29732211e-02,3.31071120e-05,1.26224478e+02
2.17000000e+01,4.10977861e-02,9.00865896e-02,3.31094119e-05,1.19200663e+02
2.18000000e+01,4.10977861e-02,8.50362061e-02,3.31111759e-05,1.06911959e+02
2.19000000e+01,4.10977861e-02,7.90211968e-02,3.31111591e-05,9.22761067e+01
2.20000000e+01,4.10977861e-02,7.40058251e-02,3.31112101e-05,8.00725945e+01
2.21000000e+01,4.10977861e-02,7.12034806e-02,3.31114514e-05,7.32538684e+01
2.22000000e+01,4.10977861e-02,7.12546514e-02,3.31115968e-05,7.33783784e+01
