# Fig 1(a): Band structure with Delta = gamma1
# Columns: vp_over_gamma1, E_band1_eV, E_band2_eV, E_band3_eV, E_band4_eV
vp_over_gamma1,E_band1_eV,E_band2_eV,E_band3_eV,E_band4_eV
0.00000000,-0.43603326,-0.19500000,0.19500000,0.43603326
0.00501002,-0.43604639,-0.19499021,0.19499021,0.43604639
0.01002004,-0.43608578,-0.19496086,0.19496086,0.43608578
0.01503006,-0.43615141,-0.19491196,0.19491196,0.43615141
0.02004008,-0.43624323,-0.19484356,0.19484356,0.43624323
0.02505010,-0.43636120,-0.19475573,0.19475573,0.43636120
0.03006012,-0.43650524,-0.19464854,0.19464854,0.43650524
0.03507014,-0.43667527,-0.19452210,0.19452210,0.43667527
0.04008016,-0.43687120,-0.19437650,0.19437650,0.43687120
0.04509018,-0.43709292,-0.19421189,0.19421189,0.43709292
0.05010020,-0.43734029,-0.19402840,0.19402840,0.43734029
0.05511022,-0.43761319,-0.19382620,0.19382620,0.43761319
0.06012024,-0.43791145,-0.19360547,0.19360547,0.43791145
0.06513026,-0.43823491,-0.19336640,0.19336640,0.43823491
0.07014028,-0.43858340,-0.19310920,0.19310920,0.43858340
0.07515030,-0.43895673,-0.19283408,0.19283408,0.43895673
0.08016032,-0.43935469,-0.19254129,0.19254129,0.43935469
0.08517034,-0.43977708,-0.19223108,0.19223108,0.43977708
0.09018036,-0.44022367,-0.19190369,0.19190369,0.44022367
0.09519038,-0.44069424,-0.19155942,0.19155942,0.44069424
0.10020040,-0.44118854,-0.19119854,0.19119854,0.44118854
0.10521042,-0.44170632,-0.19082135,0.19082135,0.44170632
0.11022044,-0.44224733,-0.19042816,0.19042816,0.44224733
0.11523046,-0.44281131,-0.19001928,0.19001928,0.44281131
0.12024048,-0.44339798,-0.18959505,0.18959505,0.44339798
0.12525050,-0.44400707,-0.18915579,0.18915579,0.44400707
0.13026052,-0.44463829,-0.18870186,0.18870186,0.44463829
0.13527054,-0.44529136,-0.18823360,0.18823360,0.44529136
0.14028056,-0.44596599,-0.18775138,0.18775138,0.44596599
0.14529058,-0.44666186,-0.18725556,0.18725556,0.44666186
0.15030060,-0.44737870,-0.18674651,0.18674651,0.44737870
0.15531062,-0.44811619,-0.18622461,0.18622461,0.44811619
0.16032064,-0.44887403,-0.18569025,0.18569025,0.44887403
0.16533066,-0.44965191,-0.18514382,0.18514382,0.44965191
0.17034068,-0.45044952,-0.18458570,0.18458570,0.45044952
0.17535070,-0.45126655,-0.18401630,0.18401630,0.45126655
0.18036072,-0.45210270,-0.18343601,0.18343601,0.45210270
0.18537074,-0.45295765,-0.18284525,0.18284525,0.45295765
0.19038076,-0.45383108,-0.18224442,0.18224442,0.45383108
0.19539078,-0.45472270,-0.18163392,0.18163392,0.45472270
0.20040080,-0.45563218,-0.18101417,0.18101417,0.45563218
0.20541082,-0.45655923,-0.18038559,0.18038559,0.45655923
0.21042084,-0.45750354,-0.17974859,0.17974859,0.45750354
0.21543086,-0.45846479,-0.17910359,0.17910359,0.45846479
0.22044088,-0.45944269,-0.17845100,0.17845100,0.45944269
0.22545090,-0.46043695,-0.17779125,0.17779125,0.46043695
0.23046092,-0.46144725,-0.17712476,0.17712476,0.46144725
0.23547094,-0.46247330,-0.17645194,0.17645194,0.46247330
0.24048096,-0.46351482,-0.17577323,0.17577323,0.46351482
0.24549098,-0.46457152,-0.17508903,0.17508903,0.46457152
0.25050100,-0.46564310,-0.17439977,0.17439977,0.46564310
0.25551102,-0.46672929,-0.17370588,0.17370588,0.46672929
0.26052104,-0.46782981,-0.17300778,0.17300778,0.46782981
0.26553106,-0.46894438,-0.17230588,0.17230588,0.46894438
0.27054108,-0.47007274,-0.17160061,0.17160061,0.47007274
0.27555110,-0.47121462,-0.17089239,0.17089239,0.47121462
0.28056112,-0.47236974,-0.17018164,0.17018164,0.47236974
0.28557114,-0.47353787,-0.16946878,0.16946878,0.47353787
0.29058116,-0.47471873,-0.16875423,0.16875423,0.47471873
0.29559118,-0.47591208,-0.16803841,0.16803841,0.47591208
0.30060120,-0.47711768,-0.16732173,0.16732173,0.47711768
0.30561122,-0.47833528,-0.16660463,0.16660463,0.47833528
0.31062124,-0.47956464,-0.16588750,0.16588750,0.47956464
0.31563126,-0.48080553,-0.16517078,0.16517078,0.48080553
0.32064128,-0.48205773,-0.16445487,0.16445487,0.48205773
0.32565130,-0.48332100,-0.16374019,0.16374019,0.48332100
0.33066132,-0.48459512,-0.16302716,0.16302716,0.48459512
0.33567134,-0.48587989,-0.16231619,0.16231619,0.48587989
0.34068136,-0.48717508,-0.16160770,0.16160770,0.48717508
0.34569138,-0.48848049,-0.16090209,0.16090209,0.48848049
