# Fig 1(b): Self-consistent Delta_tilde(n) with Delta0=0
# Columns: n_1e11_cm2, delta_tilde_numerical_meV, delta_tilde_analytic_meV
n_1e11_cm2,delta_tilde_numerical_meV,delta_tilde_analytic_meV
0.50000000,0.35976414,0.30449542
1.75949367,1.39373197,1.29028748
3.01898734,2.54982107,2.42288365
4.27848101,3.79787643,3.65297070
5.53797468,5.11812812,4.95905750
6.79746835,6.49765283,6.32825010
8.05696203,7.92721197,7.75164686
9.31645570,9.39992671,9.22257623
10.57594937,10.91013137,10.73575843
11.83544304,12.45319189,12.28685020
13.09493671,14.02521190,13.87217383
14.35443038,15.62292424,15.48854504
15.61392405,17.24320483,17.13315768
16.87341772,18.88347752,18.80350353
18.13291139,20.54137583,20.49731448
19.39240506,22.21490601,22.21251987
20.65189873,23.90188564,23.94721412
21.91139241,25.60062938,25.69963185
23.17088608,27.30949587,27.46812831
24.43037975,29.02696937,29.25116381
25.68987342,30.75178729,31.04729119
26.94936709,32.48239701,32.85514558
28.20886076,34.21769484,34.67343599
29.46835443,35.95654784,36.50093826
30.72784810,37.69789757,38.33648919
31.98734177,39.44075398,40.17898156
33.24683544,41.18419001,42.02735988
34.50632911,42.92733696,43.88061678
35.76582278,44.66938033,45.73778980
37.02531646,46.40955612,47.59795869
38.28481013,48.14714755,49.46024300
39.54430380,49.88148209,51.32379996
40.80379747,51.61215262,53.18782260
42.06329114,53.33814051,55.05153807
43.32278481,55.05909381,56.91420613
44.58227848,56.77449216,58.77511782
45.84177215,58.48384806,60.63359415
47.10126582,60.18670512,62.48898505
48.36075949,61.88263647,64.34066825
49.62025316,63.57124315,66.18804835
50.87974684,65.25215275,68.03055592
52.13924051,66.92501803,69.86764664
53.39873418,68.58951566,71.69880050
54.65822785,70.24534503,73.52352109
55.91772152,71.89222714,75.34133480
57.17721519,73.52990350,77.15179024
58.43670886,75.15813516,78.95445749
59.69620253,76.77670174,80.74892753
60.95569620,78.38540049,82.53481161
62.21518987,79.98404545,84.31174066
63.47468354,81.57246666,86.07936474
64.73417722,83.15050928,87.83735242
65.99367089,84.71803293,89.58539033
67.25316456,86.27491094,91.32318256
68.51265823,87.82102965,93.05045015
69.77215190,89.35628778,94.76693061
71.03164557,90.88059579,96.47237743
72.29113924,92.39387531,98.16655954
73.55063291,93.89605851,99.84926088
74.81012658,95.38708765,101.52027991
76.06962025,96.86691444,103.17942916
77.32911392,98.33549965,104.82653477
78.58860759,99.79281256,106.46143605
79.84810127,101.23883053,108.08398504
81.10759494,102.67353856,109.69404607
82.36708861,104.09692887,111.29149537
83.62658228,105.50900051,112.87622063
84.88607595,106.90975895,114.44812062
86.14556962,108.29921576,116.00710475
87.40506329,109.67738820,117.55309273
88.66455696,111.04429896,119.08601417
89.92405063,112.39997576,120.60580819
91.18354430,113.74445112,122.11242307
92.44303797,115.07776202,123.60581591
93.70253165,116.39994964,125.08595224
94.96202532,117.71105909,126.55280572
96.22151899,119.01113916,128.00635776
97.48101266,120.30024209,129.44659725
98.74050633,121.57842331,130.87352020
100.00000000,122.84574126,132.28712946
