# Fig 2(a): Delta(n) for different Delta0
# Columns: n_1e11_cm2, delta_D0_0_meV, delta_D0_01g1_meV, delta_D0_02g1_meV
n_1e11_cm2,delta_D0_0_meV,delta_D0_01g1_meV,delta_D0_02g1_meV
-100.00000000,-129.43456983,-112.84450943,-96.23299109
-98.31932773,-127.45814127,-110.84779762,-94.21366569
-96.63865546,-125.46808153,-108.83801387,-92.18187779
-94.95798319,-123.46434368,-106.81516293,-90.13768840
-93.27731092,-121.44688872,-104.77926076,-88.08117325
-91.59663866,-119.41568631,-102.73033546,-86.01242391
-89.91596639,-117.37071552,-100.66842821,-83.93154897
-88.23529412,-115.31196561,-98.59359432,-81.83867525
-86.55462185,-113.23943689,-96.50590429,-79.73394925
-84.87394958,-111.15314162,-94.40544505,-77.61753849
-83.19327731,-109.05310503,-92.29232116,-75.48963313
-81.51260504,-106.93936629,-90.16665617,-73.35044759
-79.83193277,-104.81197971,-88.02859409,-71.20022231
-78.15126050,-102.67101588,-85.87830092,-69.03922566
-76.47058824,-100.51656297,-83.71596629,-66.86775601
-74.78991597,-98.34872811,-81.54180529,-64.68614383
-73.10924370,-96.16763885,-79.35606032,-62.49475412
-71.42857143,-93.97344475,-77.15900321,-60.29398888
-69.74789916,-91.76631905,-74.95093736,-58.08428983
-68.06722689,-89.54646051,-72.73220017,-55.86614137
-66.38655462,-87.31409534,-70.50316558,-53.64007370
-64.70588235,-85.06947929,-68.26424686,-51.40666627
-63.02521008,-82.81289992,-66.01589958,-49.16655145
-61.34453782,-80.54467901,-63.75862486,-46.92041857
-59.66386555,-78.26517519,-61.49297287,-44.66901826
-57.98319328,-75.97478672,-59.21954670,-42.41316727
-56.30252101,-73.67395461,-56.93900646,-40.15375361
-54.62184874,-71.36316585,-54.65207389,-37.89174229
-52.94117647,-69.04295703,-52.35953732,-35.62818158
-51.26050420,-66.71391823,-50.06225715,-33.36420998
-49.57983193,-64.37669726,-47.76117190,-31.10106381
-47.89915966,-62.03200432,-45.45730492,-28.84008579
-46.21848739,-59.68061707,-43.15177181,-26.58273455
-44.53781513,-57.32338621,-40.84578878,-24.33059528
-42.85714286,-54.96124171,-38.54068197,-22.08539183
