# Fig 2(b): Layer densities for Delta0 = 0.2*gamma1
# Columns: n_1e11_cm2, n1_1e11_cm2, n2_1e11_cm2
n_1e11_cm2,n1_1e11_cm2,n2_1e11_cm2
-100.00000000,-71.25744052,-28.74255948
-98.31932773,-69.90988675,-28.40944098
-96.63865546,-68.56438901,-28.07426645
-94.95798319,-67.22093725,-27.73704594
-93.27731092,-65.87951899,-27.39779194
-91.59663866,-64.54011912,-27.05651953
-89.91596639,-63.20271976,-26.71324663
-88.23529412,-61.86729999,-26.36799413
-86.55462185,-60.53383565,-26.02078620
-84.87394958,-59.20229912,-25.67165046
-83.19327731,-57.87265904,-25.32061827
-81.51260504,-56.54488004,-24.96772500
-79.83193277,-55.21892248,-24.61301030
-78.15126050,-53.89474207,-24.25651843
-76.47058824,-52.57228962,-23.89829862
-74.78991597,-51.25151059,-23.53840538
-73.10924370,-49.93234479,-23.17689891
-71.42857143,-48.61472589,-22.81384554
-69.74789916,-47.29858102,-22.44931814
-68.06722689,-45.98383026,-22.08339663
-66.38655462,-44.67038613,-21.71616849
-64.70588235,-43.35815304,-21.34772931
-63.02521008,-42.04702665,-20.97818344
-61.34453782,-40.73689321,-20.60764460
-59.66386555,-39.42762888,-20.23623667
-57.98319328,-38.11909889,-19.86409439
-56.30252101,-36.81115672,-19.49136429
-54.62184874,-35.50364313,-19.11820561
-52.94117647,-34.19638516,-18.74479131
-51.26050420,-32.88919495,-18.37130925
-49.57983193,-31.58186851,-17.99796342
-47.89915966,-30.27418429,-17.62497537
-46.21848739,-28.96590163,-17.25258577
-44.53781513,-27.65675896,-16.88105616
-42.85714286,-26.34647188,-16.51067097
-41.17647059,-25.03473087,-16.14173972
-39.49579832,-23.72119872,-15.77459960
-37.81512605,-22.40549322,-15.40963283
-36.13445378,-21.08724500,-15.04720879
-34.45378151,-19.76599654,-14.68778498
-32.77310924,-18.44126719,-14.33184205
-31.09243697,-17.11253239,-13.97990459
-29.41176471,-15.77923149,-13.63253321
-27.73109244,-14.44087352,-13.29021892
-26.05042017,-13.10231637,-12.94810379
-24.36974790,-11.79317522,-12.57657268
-22.68907563,-10.43408635,-12.25498928
-21.00840336,-9.06574813,-11.94265523
-19.32773109,-7.68736981,-11.64036129
-17.64705882,-6.29764466,-11.34941416
-15.96638655,-4.89496849,-11.07141807
-14.28571429,-3.47747643,-10.80823785
-12.60504202,-2.04293343,-10.56210859
-10.92436975,-0.58856859,-10.33580116
-9.24369748,0.88893410,-10.13263158
-7.56302521,2.39380639,-9.95683160
-5.88235294,3.93108290,-9.81343584
-4.20168067,5.50654260,-9.70822327
-2.52100840,7.12491491,-9.64592331
-0.84033613,8.78347847,-9.62381461
0.84033613,10.21288910,-9.37255296
2.52100840,11.39924127,-8.87823287
4.20168067,12.59825256,-8.39657189
5.88235294,13.80847828,-7.92612533
7.56302521,15.02714938,-7.46412417
9.24369748,16.25187969,-7.00818221
10.92436975,17.48119097,-6.55682122
12.60504202,18.71395231,-6.10891030
14.28571429,19.94951761,-5.66380333
15.96638655,21.18745369,-5.22106714
17.64705882,22.42758193,-4.78052311
19.32773109,23.66960298,-4.34187189
21.00840336,24.91349642,-3.90509305
22.68907563,26.15923303,-3.47015740
24.36974790,27.40681846,-3.03707056
26.05042017,28.65635994,-2.60593977
27.73109244,29.90776184,-2.17666940
29.41176471,31.16114028,-1.74937557
31.09243697,32.41655386,-1.32411689
32.77310924,33.67406359,-0.90095435
34.45378151,34.93373074,-0.47994923
36.13445378,36.19561539,-0.06116161
37.81512605,37.45977540,0.35535065
39.49579832,38.72626563,0.76953269
41.17647059,39.99513753,1.18133305
42.85714286,41.26643879,1.59070406
44.53781513,42.54021319,1.99760194
46.21848739,43.81659231,2.40189508
47.89915966,45.09543473,2.80372493
49.57983193,46.37685761,3.20297432
51.26050420,47.66088898,3.59961522
52.94117647,48.94755313,3.99362334
54.62184874,50.23687083,4.38497791
56.30252101,51.52885941,4.77366160
57.98319328,52.82353295,5.15966032
59.66386555,54.12090249,5.54296306
61.34453782,55.42097612,5.92356169
63.02521008,56.72375922,6.30145086
64.70588235,58.02925459,6.67662776
66.38655462,59.33746261,7.04909201
68.06722689,60.64838143,7.41884546
69.74789916,61.96200706,7.78589210
71.42857143,63.27833360,8.15023783
73.10924370,64.59735330,8.51189040
74.78991597,65.91905675,8.87085921
76.47058824,67.24343299,9.22715524
78.15126050,68.57046962,9.58079088
79.83193277,69.90015291,9.93177986
81.51260504,71.23246796,10.28013708
83.19327731,72.56739872,10.62587859
84.87394958,73.90492817,10.96902141
86.55462185,75.24503834,11.30958351
88.23529412,76.58771047,11.64758365
89.91596639,77.93292502,11.98304137
91.59663866,79.28066178,12.31597688
93.27731092,80.63089995,12.64641098
94.95798319,81.98361818,12.97436502
96.63865546,83.33879465,13.29986081
98.31932773,84.69640714,13.62292060
100.00000000,86.05643304,13.94356696
