# Fig 2(c): Delta(0) vs Delta0
# Columns: delta0_meV, delta_0_epsr1_meV, delta_0_epsr2_meV
delta0_meV,delta_0_epsr1_meV,delta_0_epsr2_meV
0.00000000,-0.00000000,0.00000000
1.69491525,0.28409348,0.49560658
3.38983051,0.58556866,1.02946857
5.08474576,0.90203968,1.58883743
6.77966102,1.22977871,2.16917450
8.47457627,1.56738819,2.76755204
10.16949153,1.91415887,3.38144895
11.86440678,2.26938669,4.00900205
13.55932203,2.63245345,4.64871045
15.25423729,3.00266026,5.29947315
16.94915254,3.37961229,5.96032677
18.64406780,3.76273500,6.63051530
20.33898305,4.15177856,7.30938653
22.03389831,4.54638147,7.99638010
23.72881356,4.94616421,8.69105462
25.42372881,5.35102362,9.39290444
27.11864407,5.76070687,10.10158244
28.81355932,6.17490276,10.81674785
30.50847458,6.59345260,11.53809337
32.20338983,7.01632894,12.26534012
33.89830508,7.44327990,12.99829233
35.59322034,7.87419470,13.73661156
37.28813559,8.30892575,14.48013047
38.98305085,8.74732314,15.22865004
40.67796610,9.18924301,15.98198548
42.37288136,9.63470789,16.73996456
44.06779661,10.08355917,17.50242632
45.76271186,10.53579020,18.26921986
47.45762712,10.99112955,19.04027428
49.15254237,11.44959458,19.81532409
50.84745763,11.91110962,20.59430491
52.54237288,12.37560240,21.37709739
54.23728814,12.84300391,22.16358837
55.93220339,13.31324820,22.95367040
57.62711864,13.78627229,23.74724125
59.32203390,14.26201594,24.54420349
61.01694915,14.74033609,25.34446419
62.71186441,15.22137706,26.14793451
64.40677966,15.70496414,26.95452948
66.10169492,16.19104784,27.76416766
67.79661017,16.67958057,28.57677098
69.49152542,17.17051654,29.39236489
71.18644068,17.66386165,30.21068499
72.88135593,18.15941778,31.03175423
74.57627119,18.65727900,31.85550584
76.27118644,19.15739656,32.68187547
77.96610169,19.65972276,33.51080102
79.66101695,20.16421099,34.34222255
81.35593220,20.67081583,35.17608214
83.05084746,21.17949306,36.01232379
84.74576271,21.69019969,36.85089330
86.44067797,22.20289395,37.69173822
88.13559322,22.71770487,38.53480771
89.83050847,23.23438537,39.38005248
91.52542373,23.75298481,40.22742474
93.22033898,24.27347235,41.07687809
94.91525424,24.79581784,41.92836747
96.61016949,25.31999185,42.78184911
98.30508475,25.84596563,43.63728045
100.00000000,26.37371106,44.49462012
