# Fig 2(d): Cyclotron mass vs density
# Columns: n_1e11_cm2, mc_D0_0, mc_D0_01g1, mc_D0_02g1 (in units of m_e)
n_1e11_cm2,mc_D0_0,mc_D0_01g1,mc_D0_02g1
-100.00000000,0.10420541,0.10242399,0.10093976
-98.31932773,0.10358293,0.10178886,0.10029834
-96.63865546,0.10295561,0.10114883,0.09965220
-94.95798319,0.10232336,0.10050384,0.09900129
-93.27731092,0.10168611,0.09985380,0.09834552
-91.59663866,0.10104374,0.09919861,0.09768485
-89.91596639,0.10039619,0.09853819,0.09701918
-88.23529412,0.09974334,0.09787245,0.09634847
-86.55462185,0.09908510,0.09720131,0.09567262
-84.87394958,0.09842138,0.09652465,0.09499159
-83.19327731,0.09775207,0.09584240,0.09430529
-81.51260504,0.09707708,0.09515445,0.09361366
-79.83193277,0.09639629,0.09446071,0.09291663
-78.15126050,0.09570961,0.09376107,0.09221413
-76.47058824,0.09501691,0.09305543,0.09150609
-74.78991597,0.09431810,0.09234368,0.09079244
-73.10924370,0.09361305,0.09162572,0.09007313
-71.42857143,0.09290165,0.09090144,0.08934808
-69.74789916,0.09218377,0.09017073,0.08861725
-68.06722689,0.09145931,0.08943347,0.08788055
-66.38655462,0.09072813,0.08868954,0.08713796
-64.70588235,0.08999010,0.08793883,0.08638940
-63.02521008,0.08924509,0.08718122,0.08563485
-61.34453782,0.08849298,0.08641657,0.08487425
-59.66386555,0.08773361,0.08564477,0.08410758
-57.98319328,0.08696685,0.08486569,0.08333482
-56.30252101,0.08619256,0.08407918,0.08255595
-54.62184874,0.08541058,0.08328512,0.08177098
-52.94117647,0.08462075,0.08248337,0.08097993
-51.26050420,0.08382293,0.08167378,0.08018284
-49.57983193,0.08301695,0.08085622,0.07937978
-47.89915966,0.08220263,0.08003054,0.07857085
-46.21848739,0.08137981,0.07919660,0.07775618
-44.53781513,0.08054830,0.07835424,0.07693597
-42.85714286,0.07970791,0.07750332,0.07611045
-41.17647059,0.07885844,0.07664369,0.07527996
-39.49579832,0.07799966,0.07577522,0.07444491
-37.81512605,0.07713143,0.07489775,0.07360586
-36.13445378,0.07625348,0.07401119,0.07276352
-34.45378151,0.07536558,0.07311542,0.07191880
-32.77310924,0.07446747,0.07221035,0.07107292
-31.09243697,0.07355890,0.07129595,0.07022743
-29.41176471,0.07263959,0.07037224,0.06938440
-27.73109244,0.07170923,0.06943932,0.06854660
-26.05042017,0.07076752,0.06849742,0.06771766
-24.36974790,0.06981407,0.06754699,0.06690619
-22.68907563,0.06884856,0.06658876,0.06611721
-21.00840336,0.06787056,0.06562393,0.06536023
-19.32773109,0.06687961,0.06465446,0.06464991
-17.64705882,0.06587517,0.06368352,0.06400801
-15.96638655,0.06485673,0.06271639,0.06346778
-14.28571429,0.06382357,0.06176198,0.06308202
-12.60504202,0.06277491,0.06083763,0.06293851
-10.92436975,0.06170982,0.05998316,0.06319170
-9.24369748,0.06062706,0.05925294,0.06413362
-7.56302521,0.05952506,0.05878445,0.06637188
-5.88235294,0.05840160,0.05892711,0.07134788
-4.20168067,0.05725331,0.06078409,0.08323547
-2.52100840,0.05607489,0.06941972,0.11933276
-0.84033613,0.05485144,0.14384879,0.38951113
0.84033613,0.05485144,0.16569462,0.44413332
2.52100840,0.05607489,0.08513059,0.14847844
4.20168067,0.05725331,0.07347225,0.10746100
5.88235294,0.05840160,0.06983815,0.09275275
7.56302521,0.05952506,0.06854172,0.08582991
9.24369748,0.06062706,0.06820288,0.08215297
10.92436975,0.06170982,0.06833624,0.08010374
12.60504202,0.06277491,0.06873104,0.07897168
14.28571429,0.06382357,0.06928196,0.07840031
15.96638655,0.06485673,0.06993110,0.07819248
17.64705882,0.06587517,0.07064428,0.07823132
19.32773109,0.06687961,0.07139990,0.07844292
21.00840336,0.06787056,0.07218396,0.07877908
22.68907563,0.06884856,0.07298694,0.07920687
24.36974790,0.06981407,0.07380217,0.07970311
26.05042017,0.07076752,0.07462496,0.08025123
27.73109244,0.07170923,0.07545173,0.08083870
29.41176471,0.07263959,0.07627995,0.08145637
31.09243697,0.07355890,0.07710768,0.08209718
32.77310924,0.07446747,0.07793347,0.08275569
34.45378151,0.07536558,0.07875619,0.08342761
36.13445378,0.07625348,0.07957498,0.08410955
37.81512605,0.07713143,0.08038917,0.08479880
39.49579832,0.07799966,0.08119826,0.08549319
