xi,E_naive,E_wilson_r1,E_slac,E_mod_slac_0.5
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00629578,0.00629574,0.00629577,0.00629578,0.00629578
0.01259155,0.01259122,0.01259147,0.01259155,0.01259155
0.01888733,0.01888621,0.01888705,0.01888733,0.01888733
0.02518311,0.02518045,0.02518244,0.02518311,0.02518311
0.03147888,0.03147369,0.03147758,0.03147888,0.03147888
0.03777466,0.03776568,0.03777242,0.03777466,0.03777466
0.04407044,0.04405617,0.04406687,0.04407044,0.04407044
0.05036621,0.05034492,0.05036089,0.05036621,0.05036621
0.05666199,0.05663168,0.05665441,0.05666199,0.05666199
0.06295777,0.06291619,0.06294737,0.06295777,0.06295777
0.06925355,0.06919820,0.06923971,0.06925355,0.06925355
0.07554932,0.07547747,0.07553136,0.07554932,0.07554932
0.08184510,0.08175375,0.08182226,0.08184510,0.08184510
0.08814088,0.08802680,0.08811235,0.08814088,0.08814088
0.09443665,0.09429635,0.09440156,0.09443665,0.09443665
0.10073243,0.10056216,0.10068985,0.10073243,0.10073243
0.10702821,0.10682399,0.10697713,0.10702821,0.10702821
0.11332398,0.11308158,0.11326335,0.11332398,0.11332398
0.11961976,0.11933469,0.11954846,0.11961976,0.11961976
0.12591554,0.12558307,0.12583237,0.12591554,0.12591554
0.13221131,0.13182648,0.13211504,0.13221131,0.13221131
0.13850709,0.13806466,0.13839640,0.13850709,0.13850709
0.14480287,0.14429736,0.14467639,0.14480287,0.14480287
0.15109864,0.15052435,0.15095495,0.15109864,0.15109864
0.15739442,0.15674537,0.15723201,0.15739442,0.15739442
0.16369020,0.16296018,0.16350751,0.16369020,0.16369020
0.16998598,0.16916853,0.16978139,0.16998598,0.16998598
0.17628175,0.17537017,0.17605359,0.17628175,0.17628175
0.18257753,0.18156486,0.18232405,0.18257753,0.18257753
0.18887331,0.18775236,0.18859269,0.18887331,0.18887331
0.19516908,0.19393241,0.19485947,0.19516908,0.19516908
0.20146486,0.20010478,0.20112432,0.20146486,0.20146486
0.20776064,0.20626921,0.20738718,0.20776064,0.20776064
0.21405641,0.21242547,0.21364798,0.21405641,0.21405641
0.22035219,0.21857331,0.21990666,0.22035219,0.22035219
0.22664797,0.22471249,0.22616316,0.22664797,0.22664797
0.23294374,0.23084276,0.23241743,0.23294374,0.23294374
0.23923952,0.23696388,0.23866939,0.23923952,0.23923952
0.24553530,0.24307560,0.24491898,0.24553530,0.24553530
0.25183107,0.24917769,0.25116615,0.25183107,0.25183107
0.25812685,0.25526991,0.25741083,0.25812685,0.25812685
0.26442263,0.26135201,0.26365296,0.26442263,0.26442263
0.27071841,0.26742375,0.26989247,0.27071841,0.27071841
0.27701418,0.27348488,0.27612931,0.27701418,0.27701418
0.28330996,0.27953518,0.28236342,0.28330996,0.28330996
0.28960574,0.28557440,0.28859473,0.28960574,0.28960574
0.29590151,0.29160230,0.29482317,0.29590151,0.29590151
0.30219729,0.29761864,0.30104870,0.30219729,0.30219729
0.30849307,0.30362319,0.30727124,0.30849307,0.30849307
0.31478884,0.30961570,0.31349074,0.31478884,0.31478884
0.32108462,0.31559594,0.31970713,0.32108462,0.32108462
0.32738040,0.32156366,0.32592036,0.32738040,0.32738040
0.33367617,0.32751865,0.33213035,0.33367617,0.33367617
0.33997195,0.33346065,0.33833705,0.33997195,0.33997195
